	zld_2011_seq	dl_2015_seq	dl_2009_chip	twi_2011_seq	twi_2014_chip	twi_1_2009_chip	twi_2_2009_chip	sna_2014_chip	sna_1_2009_chip	sna_2_2009_chip	bcd_2013_seq	bcd_1_2009_chip	bcd_2_2009_chip	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_1_2009_chip	hb_2_2009_chip	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_1_2009_chip	hry_2_2009_chip
zld_2011_seq	100	15.1611535199	77.5339270568	35.5047748977	33.8422391858	61.6200169635	64.1963528414	37.6484308736	7.4109414758	24.2684478372	10.1145038168	9.5419847328	10.7824427481	52.3960983885	25.8057675997	32.1458863444	26.6433418151	21.7981340119	26.8659881255	17.1649703138	30.8948261238	10.0084817642	20.9923664122	32.9304495335
dl_2015_seq	15.1611535199	100	94.2219679634	12.801273306	49.4279176201	76.3729977117	79.4050343249	56.7505720824	20.3089244851	43.8787185355	18.5354691076	23.1121281465	24.7711670481	70.4233409611	54.4050343249	46.9679633867	52.1739130435	46.4530892449	37.1853546911	36.1556064073	40.3318077803	25.2288329519	33.295194508	51.9450800915
dl_2009_chip	77.5339270568	94.2219679634	100	73.3856298317	35.0582700738	51.1707473538	54.549342457	33.1230621191	4.9182080616	18.2935956378	49.1023774867	97.0920840065	97.5783475783	96.3164400494	96.9182389937	74.0072202166	15.9414091735	14.9577675612	70.9854450012	9.7936490966	60.0866453193	99.0099009901	14.6156313482	22.2709291137
twi_2011_seq	35.5047748977	12.801273306	73.3856298317	100	38.7789904502	65.4388358345	67.5989085948	34.8794906776	7.0145520691	21.1573442474	8.8562983174	7.9809004093	9.0268303774	44.4861300591	19.6452933151	30.1500682128	21.8508412915	17.8262846749	24.0904956799	13.3924511141	28.5015916326	9.5270577535	20.5775352433	32.2646657572
twi_2014_chip	33.8422391858	49.4279176201	35.0582700738	38.7789904502	100	49.8653500898	45.9536012948	32.8377504848	64.5973154362	41.4285714286	29.6458030082	76.2520193861	75.4985754986	54.1903584672	69.3081761006	33.3333333333	63.5172037138	58.124635993	35.0990217132	74.3685687558	31.5501977774	90.6930693069	60.8568075117	57.7712609971
twi_1_2009_chip	61.6200169635	76.3729977117	51.1707473538	65.4388358345	49.8653500898	100	95.6014362657	44.3596648713	82.7181208054	60.0357142857	42.2610383309	93.0533117932	93.4472934473	82.7688504326	91.5094339623	55.0541516245	85.5270344074	81.5958066395	56.5736101169	92.6099158092	48.8792616312	98.0198019802	84.9765258216	82.1847507331
twi_2_2009_chip	64.1963528414	79.4050343249	54.549342457	67.5989085948	45.9536012948	95.6014362657	100	41.1518748314	88.255033557	65.8928571429	43.91072295	94.830371567	95.0142450142	84.870210136	93.0817610063	57.3405535499	88.2031676679	84.8573092603	59.078978764	94.9485500468	51.007722735	98.6138613861	87.5	85.8504398827
sna_2014_chip	37.6484308736	56.7505720824	33.1230621191	34.8794906776	32.8377504848	44.3596648713	41.1518748314	100	82.0469798658	57.6071428571	31.4895681708	81.9063004847	81.6239316239	54.1409147095	73.3333333333	33.6943441637	64.8825778263	60.3377984857	38.2247673586	82.9747427502	33.5091354304	94.4554455446	62.558685446	57.917888563
sna_1_2009_chip	7.4109414758	20.3089244851	4.9182080616	7.0145520691	64.5973154362	82.7181208054	88.255033557	82.0469798658	100	97.6510067114	10.0921882581	33.2794830372	30.6267806268	10.7292954265	20.4402515723	6.678700361	17.0944838886	15.2591729761	7.9694583632	27.5023386342	6.7432661518	42.1782178218	17.7816901408	15.6891495601
sna_2_2009_chip	24.2684478372	43.8787185355	18.2935956378	21.1573442474	41.4285714286	60.0357142857	65.8928571429	57.6071428571	97.6510067114	100	22.6103833091	65.7512116317	63.3903133903	33.2756489493	51.0691823899	20.1764941837	43.4188967777	39.3127548049	23.0255308995	61.1786716558	19.853079676	77.2277227723	43.3685446009	41.788856305
bcd_2013_seq	10.1145038168	18.5354691076	49.1023774867	8.8562983174	29.6458030082	42.2610383309	43.91072295	31.4895681708	10.0921882581	22.6103833091	100	20.8636584182	22.7074235808	36.1960213489	22.9985443959	33.4788937409	24.5511887433	20.4754973314	32.1688500728	19.3595342067	33.1877729258	14.1193595342	17.903930131	25.5701115963
bcd_1_2009_chip	9.5419847328	23.1121281465	97.0920840065	7.9809004093	76.2520193861	93.0533117932	94.830371567	81.9063004847	33.2794830372	65.7512116317	20.8636584182	100	83.3602584814	12.6823238566	68.3360258481	7.9622944244	68.4975767367	58.6429725363	10.2362204724	65.5896607431	7.7415709173	52.6732673267	53.3117932149	70.5977382876
bcd_2_2009_chip	10.7824427481	24.7711670481	97.5783475783	9.0268303774	75.4985754986	93.4472934473	95.0142450142	81.6239316239	30.6267806268	63.3903133903	22.7074235808	83.3602584814	100	14.1903584672	64.8148148148	9.1656638588	65.0997150997	58.6894586895	11.6201383918	60.3988603989	8.8528913166	55.6435643564	52.849002849	70.3703703704
cad_2010_seq	52.3960983885	70.4233409611	96.3164400494	44.4861300591	54.1903584672	82.7688504326	84.870210136	54.1409147095	10.7292954265	33.2756489493	36.1960213489	12.6823238566	14.1903584672	100	36.3658838072	46.1291616526	35.9703337454	30.9517923362	47.3395371033	23.2880098888	40.3089093991	12.3609394314	30.5809641533	47.935723115
cad_2009_chip	25.8057675997	54.4050343249	96.9182389937	19.6452933151	69.3081761006	91.5094339623	93.0817610063	73.3333333333	20.4402515723	51.0691823899	22.9985443959	68.3360258481	64.8148148148	36.3658838072	100	20.6578419575	59.3710691824	49.5597484277	24.5526127416	45.786163522	20.0979468827	87.1287128713	45.1572327044	64.9685534591
hb_2013_seq	32.1458863444	46.9679633867	74.0072202166	30.1500682128	33.3333333333	55.0541516245	57.3405535499	33.6943441637	6.678700361	20.1764941837	33.4788937409	7.9622944244	9.1656638588	46.1291616526	20.6578419575	100	28.3192940233	25.5716004813	42.9253161537	14.1997593261	38.0465302848	8.7244283995	18.0505415162	28.9009225832
hb_1_2009_chip	26.6433418151	52.1739130435	15.9414091735	21.8508412915	63.5172037138	85.5270344074	88.2031676679	64.8825778263	17.0944838886	43.4188967777	24.5511887433	68.4975767367	65.0997150997	35.9703337454	59.3710691824	28.3192940233	100	73.5663571819	24.9343832021	65.1075771749	21.4352985496	84.1584158416	38.2850901147	58.0010922993
hb_2_2009_chip	21.7981340119	46.4530892449	14.9577675612	17.8262846749	58.124635993	81.5958066395	84.8573092603	60.3377984857	15.2591729761	39.3127548049	20.4754973314	58.6429725363	58.6894586895	30.9517923362	49.5597484277	25.5716004813	73.5663571819	100	21.7131949415	57.6239476146	18.4592201921	73.0693069307	36.1677344205	52.7664531159
gt_2013_seq	26.8659881255	37.1853546911	70.9854450012	24.0904956799	35.0990217132	56.5736101169	59.078978764	38.2247673586	7.9694583632	23.0255308995	32.1688500728	10.2362204724	11.6201383918	47.3395371033	24.5526127416	42.9253161537	24.9343832021	21.7131949415	100	20.9257933667	42.6628489621	11.2383679313	20.3292770222	29.9689811501
gt_2009_chip	17.1649703138	36.1556064073	9.7936490966	13.3924511141	74.3685687558	92.6099158092	94.9485500468	82.9747427502	27.5023386342	61.1786716558	19.3595342067	65.5896607431	60.3988603989	23.2880098888	45.786163522	14.1997593261	65.1075771749	57.6239476146	20.9257933667	100	14.579016764	77.0297029703	50.7015902713	70.0654817587
Kr_2013_seq	30.8948261238	40.3318077803	60.0866453193	28.5015916326	31.5501977774	48.8792616312	51.007722735	33.5091354304	6.7432661518	19.853079676	33.1877729258	7.7415709173	8.8528913166	40.3089093991	20.0979468827	38.0465302848	21.4352985496	18.4592201921	42.6628489621	14.579016764	100	8.7775475608	17.3855716707	25.5038613675
kni_2010_seq	10.0084817642	25.2288329519	99.0099009901	9.5270577535	90.6930693069	98.0198019802	98.6138613861	94.4554455446	42.1782178218	77.2277227723	14.1193595342	52.6732673267	55.6435643564	12.3609394314	87.1287128713	8.7244283995	84.1584158416	73.0693069307	11.2383679313	77.0297029703	8.7775475608	100	70.099009901	88.7128712871
hry_1_2009_chip	20.9923664122	33.295194508	14.6156313482	20.5775352433	60.8568075117	84.9765258216	87.5	62.558685446	17.7816901408	43.3685446009	17.903930131	53.3117932149	52.849002849	30.5809641533	45.1572327044	18.0505415162	38.2850901147	36.1677344205	20.3292770222	50.7015902713	17.3855716707	70.099009901	100	89.3192488263
hry_2_2009_chip	32.9304495335	51.9450800915	22.2709291137	32.2646657572	57.7712609971	82.1847507331	85.8504398827	57.917888563	15.6891495601	41.788856305	25.5701115963	70.5977382876	70.3703703704	47.935723115	64.9685534591	28.9009225832	58.0010922993	52.7664531159	29.9689811501	70.0654817587	25.5038613675	88.7128712871	89.3192488263	100
