model	gene	Percentage_overlap	Percentage_off_target
Dl_Twi_chip_balance_Zld_500	vnd	0	100
Dl_Twi_chip_balance_Twi14_500	rho	0	90
Dl_Twi_chip_balance_Twi14_1000	eve	22.3174603175	67.6825396825
Dl_Twi_chip_balance_Dl15_1500	brk	23.3333333333	66.6666666667
Dl_Twi_chip_balance_Dl15_1000	rho	50	40
Dl_Twi_chip_balance_Dl15_500	vnd	0	80
Dl_Twi_chip_balance_Dl15_2000	brk	18.3333333333	71.6666666667
Dl_Twi_chip_balance_Dl09_500	sna	0	90
Dl_Twi_chip_balance_Twi14_1500	sna	9.5238095238	90.4761904762
Dl_Twi_chip_balance_Dl09_2000	hb	28.1666666667	61.8333333333
Dl_Twi_chip_balance_Dl09_500	hb	0	90
Dl_Twi_chip_balance_Dl09_2000	rho	0	100
Dl_Twi_chip_balance_Twi14_1000	sog	78.3333333333	21.6666666667
Dl_Twi_chip_balance_Zld_1000	Kr	0	100
Dl_Twi_chip_balance_Twi14_1500	Kr	12.6071428571	87.3928571429
Dl_Twi_chip_balance_Dl15_500	Kr	0	90
Dl_Twi_chip_balance_Dl09_1000	vnd	0	70
Dl_Twi_chip_balance_Twi14_1000	vnd	16.1071428571	83.8928571429
Dl_Twi_chip_balance_Twi14_1500	brk	16.1666666667	73.8333333333
Dl_Twi_chip_balance_Dl09_1500	vnd	0	70
Dl_Twi_chip_balance_Dl15_1500	hb	85	15
Dl_Twi_chip_balance_Dl09_500	Kni	0	80
Dl_Twi_chip_balance_Dl15_500	Kni	0	90
Dl_Twi_chip_balance_Twi14_500	sog	0	100
Dl_Twi_chip_balance_Dl15_1000	Kr	0	90
Dl_Twi_chip_balance_Dl15_2000	sog	45	25
Dl_Twi_chip_balance_Twi14_500	vnd	0	100
Dl_Twi_chip_balance_Twi14_1500	sog	63.3333333333	26.6666666667
Dl_Twi_chip_balance_Twi14_1500	Kni	0	90
Dl_Twi_chip_balance_Twi14_1000	hb	31	69
Dl_Twi_chip_balance_Twi14_1500	eve	0	90
