model_name	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
FTwi14_train_all_Test	Dl09	2000	hb	9	3	33.3333333333	33.3333333333	33.3333333333	66.6666666667
FTwi14_train_all_Test	Dl09	2000	rho	6	1.1	0	0	0	100
FTwi14_train_all_Test	Dl09	2000	sog	3	2.6	43.3333333333	43.3333333333	43.3333333333	56.6666666667
FTwi14_train_all_Test	Dl09	2000	vnd	2	1	0	0	0	100
FTwi14_train_all_Test	Dl09	2000	Kr	7	1	0	0	0	100
FTwi14_train_all_Test	Dl09	2000	brk	6	1.5	78.3333333333	78.3333333333	78.3333333333	21.6666666667
FTwi14_train_all_Test	Dl09	2000	eve	4	1.9	0	0	0	100
FTwi14_train_all_Test	Dl09	2000	Kni	3	1	0	0	0	100
FTwi14_train_all_Test	Dl09	2000	sna	6	2.2	46.6666666667	46.6666666667	46.6666666667	53.3333333333
FTwi14_train_all_Test	Dl15	1500	brk	4	2	50	50	50	50
FTwi14_train_all_Test	Dl15	1500	hb	2	2	50	50	50	50
FTwi14_train_all_Test	Dl15	1500	sog	3	2	100	100	100	0
FTwi14_train_all_Test	Dl15	1500	Kni	4	2.8	36.6666666667	36.6666666667	36.6666666667	63.3333333333
FTwi14_train_all_Test	Dl15	1500	Kr	2	2	50	50	50	50
FTwi14_train_all_Test	Dl15	1500	rho	2	1	100	100	100	0
FTwi14_train_all_Test	Dl15	1500	vnd	2	1.9	55	55	55	45
FTwi14_train_all_Test	Dl15	1500	sna	6	2.9	35.8333333333	35.8333333333	35.8333333333	64.1666666667
FTwi14_train_all_Test	Dl15	1500	eve	5	4	75	75	75	25
FTwi14_train_all_Test	Dl15	2000	brk	4	2	50	50	50	50
FTwi14_train_all_Test	Dl15	2000	sog	2	1.9	55	55	55	45
FTwi14_train_all_Test	Dl15	2000	rho	1	1	100	100	100	0
FTwi14_train_all_Test	Dl15	2000	Kni	3	2.9	0	0	0	100
FTwi14_train_all_Test	Dl15	2000	vnd	2	2	100	100	100	0
FTwi14_train_all_Test	Dl15	2000	sna	6	3	68.3333333333	68.3333333333	68.3333333333	31.6666666667
FTwi14_train_all_Test	Dl15	2000	eve	3	2	50	50	50	50
FTwi14_train_all_Test	Dl15	2000	hb	2	2	50	50	50	50
FTwi14_train_all_Test	Dl15	2000	Kr	2	2	50	50	50	50
FTwi14_train_all_Test	Twi14	1500	sna	8	3.1	32.5	32.5	32.5	67.5
FTwi14_train_all_Test	Twi14	1500	Kr	10	2	50	50	50	50
FTwi14_train_all_Test	Twi14	1500	brk	9	2	50	50	50	50
FTwi14_train_all_Test	Twi14	1500	sog	3	2.4	86.6666666667	86.6666666667	86.6666666667	13.3333333333
FTwi14_train_all_Test	Twi14	1500	Kni	5	2.8	0	0	0	100
FTwi14_train_all_Test	Twi14	1500	eve	7	2.9	0	0	0	100
FTwi14_train_all_Test	Twi14	1500	hb	6	2.6	40	40	40	60
FTwi14_train_all_Test	Twi14	1500	vnd	7	1.9	55	55	55	45
FTwi14_train_all_Test	Twi14	1500	rho	4	1.1	95	95	95	5
FTwi14_train_all_Test	Twi14	2000	vnd	5	2	100	100	100	0
FTwi14_train_all_Test	Twi14	2000	brk	7	1.1	0	0	0	100
FTwi14_train_all_Test	Twi14	2000	sog	3	2.3	90	90	90	10
FTwi14_train_all_Test	Twi14	2000	eve	6	2.9	35	35	35	65
FTwi14_train_all_Test	Twi14	2000	rho	3	1.1	0	0	0	100
FTwi14_train_all_Test	Twi14	2000	Kni	4	2	0	0	0	100
FTwi14_train_all_Test	Twi14	2000	Kr	9	2	50	50	50	50
FTwi14_train_all_Test	Twi14	2000	hb	5	2	50	50	50	50
FTwi14_train_all_Test	Twi14	2000	sna	8	3.2	63.3333333333	63.3333333333	63.3333333333	36.6666666667
FTwi14_train_all_Test	Zld	1500	hb	6	2.5	41.6666666667	41.6666666667	41.6666666667	58.3333333333
FTwi14_train_all_Test	Zld	1500	Kr	10	2	50	50	50	50
FTwi14_train_all_Test	Zld	1500	Kni	4	2.8	36.6666666667	36.6666666667	36.6666666667	63.3333333333
FTwi14_train_all_Test	Zld	1500	rho	7	1.1	95	95	95	5
FTwi14_train_all_Test	Zld	1500	vnd	5	2	0	0	0	100
FTwi14_train_all_Test	Zld	1500	sog	3	2.3	48.3333333333	48.3333333333	48.3333333333	51.6666666667
FTwi14_train_all_Test	Zld	1500	brk	8	2.3	45	45	45	55
FTwi14_train_all_Test	Zld	1500	eve	7	4	0	0	0	100
FTwi14_train_all_Test	Zld	1500	sna	8	2.9	71.6666666667	71.6666666667	71.6666666667	28.3333333333
FTwi14_train_all_Test	Zld	2000	vnd	4	1	100	100	100	0
FTwi14_train_all_Test	Zld	2000	eve	6	4	0	0	0	100
FTwi14_train_all_Test	Zld	2000	Kr	10	2	100	100	100	0
FTwi14_train_all_Test	Zld	2000	sna	8	3.2	63.3333333333	63.3333333333	63.3333333333	36.6666666667
FTwi14_train_all_Test	Zld	2000	rho	6	1	0	0	0	100
FTwi14_train_all_Test	Zld	2000	Kni	3	2	0	0	0	100
FTwi14_train_all_Test	Zld	2000	sog	3	2.2	50	50	50	50
FTwi14_train_all_Test	Zld	2000	brk	7	2.1	96.6666666667	96.6666666667	96.6666666667	3.3333333333
FTwi14_train_all_Test	Zld	2000	hb	6	2.6	40	40	40	60
