model_name	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
All_Data_Test	Zld	1500	hb	6	2.6	44.1666666667	44.1666666667	44.1666666667	55.8333333333
All_Data_Test	Zld	1500	Kr	10	6.3	16.4523809524	16.4523809524	16.4523809524	83.5476190476
All_Data_Test	Zld	1500	Kni	4	2.9	25	25	25	75
All_Data_Test	Zld	1500	rho	7	3.6	30.1666666667	30.1666666667	30.1666666667	69.8333333333
All_Data_Test	Zld	1500	vnd	5	3.5	0	0	0	100
All_Data_Test	Zld	1500	sog	3	2.1	43.3333333333	43.3333333333	43.3333333333	46.6666666667
All_Data_Test	Zld	1500	brk	8	5.1	18.7619047619	18.7619047619	18.7619047619	81.2380952381
All_Data_Test	Zld	1500	eve	7	3.2	0	0	0	100
All_Data_Test	Zld	1500	sna	8	5.5	34.6904761905	34.6904761905	34.6904761905	65.3095238095
H3K4me1_train_all_Test	Zld	1500	hb	6	2	50	50	50	50
H3K4me1_train_all_Test	Zld	1500	Kr	10	2	50	50	50	50
H3K4me1_train_all_Test	Zld	1500	Kni	4	2.6	40	40	40	60
H3K4me1_train_all_Test	Zld	1500	rho	7	0.9	90	90	90	0
H3K4me1_train_all_Test	Zld	1500	vnd	5	1	0	0	0	100
H3K4me1_train_all_Test	Zld	1500	sog	3	2.3	45	45	45	55
H3K4me1_train_all_Test	Zld	1500	brk	8	2	50	50	50	50
H3K4me1_train_all_Test	Zld	1500	eve	7	2.7	0	0	0	100
H3K4me1_train_all_Test	Zld	1500	sna	8	2.2	93.3333333333	93.3333333333	93.3333333333	6.6666666667
Dl_chip_Test	Zld	1500	hb	6	3.7	28.6666666667	28.6666666667	28.6666666667	71.3333333333
Dl_chip_Test	Zld	1500	Kr	10	7.6	13.7063492063	13.7063492063	13.7063492063	86.2936507937
Dl_chip_Test	Zld	1500	Kni	4	3.4	30	30	30	70
Dl_chip_Test	Zld	1500	rho	7	4.3	25.5	25.5	25.5	74.5
Dl_chip_Test	Zld	1500	vnd	5	3.9	0	0	0	100
Dl_chip_Test	Zld	1500	sog	3	2.5	35	35	35	65
Dl_chip_Test	Zld	1500	brk	8	5.9	18.3095238095	18.3095238095	18.3095238095	81.6904761905
Dl_chip_Test	Zld	1500	eve	7	4.3	0	0	0	100
Dl_chip_Test	Zld	1500	sna	8	6.9	30.119047619	30.119047619	30.119047619	69.880952381
Dl15_train_all_Test	Zld	1500	hb	6	2	50	50	50	50
Dl15_train_all_Test	Zld	1500	Kr	10	2	50	50	50	50
Dl15_train_all_Test	Zld	1500	Kni	4	2.7	38.3333333333	38.3333333333	38.3333333333	61.6666666667
Dl15_train_all_Test	Zld	1500	rho	7	1.5	78.3333333333	78.3333333333	78.3333333333	21.6666666667
Dl15_train_all_Test	Zld	1500	vnd	5	1.9	0	0	0	100
Dl15_train_all_Test	Zld	1500	sog	3	1.7	68.3333333333	68.3333333333	68.3333333333	31.6666666667
Dl15_train_all_Test	Zld	1500	brk	8	2	50	50	50	50
Dl15_train_all_Test	Zld	1500	eve	7	3.6	0	0	0	100
Dl15_train_all_Test	Zld	1500	sna	8	3.5	61.6666666667	61.6666666667	61.6666666667	38.3333333333
Zld_train_all_Test	Zld	1500	hb	6	2.7	38.3333333333	38.3333333333	38.3333333333	61.6666666667
Zld_train_all_Test	Zld	1500	Kr	10	2.2	46.6666666667	46.6666666667	46.6666666667	53.3333333333
Zld_train_all_Test	Zld	1500	Kni	4	3	33.3333333333	33.3333333333	33.3333333333	66.6666666667
Zld_train_all_Test	Zld	1500	rho	7	1.5	75	75	75	25
Zld_train_all_Test	Zld	1500	vnd	5	1.8	0	0	0	100
Zld_train_all_Test	Zld	1500	sog	3	2	50	50	50	50
Zld_train_all_Test	Zld	1500	brk	8	2	50	50	50	50
Zld_train_all_Test	Zld	1500	eve	7	3.7	0	0	0	100
Zld_train_all_Test	Zld	1500	sna	8	2.9	73.3333333333	73.3333333333	73.3333333333	26.6666666667
Dl_Twi_Test	Zld	1500	hb	6	4.8	21.5	21.5	21.5	78.5
Dl_Twi_Test	Zld	1500	Kr	10	9.4	10.7896825397	10.7896825397	10.7896825397	89.2103174603
Dl_Twi_Test	Zld	1500	Kni	4	3.6	28.3333333333	28.3333333333	28.3333333333	71.6666666667
Dl_Twi_Test	Zld	1500	rho	7	5.6	18.1666666667	18.1666666667	18.1666666667	81.8333333333
Dl_Twi_Test	Zld	1500	vnd	5	4.8	0	0	0	100
Dl_Twi_Test	Zld	1500	sog	3	2.8	36.6666666667	36.6666666667	36.6666666667	63.3333333333
Dl_Twi_Test	Zld	1500	brk	8	7.4	13.630952381	13.630952381	13.630952381	86.369047619
Dl_Twi_Test	Zld	1500	eve	7	6.2	0	0	0	100
Dl_Twi_Test	Zld	1500	sna	8	7.4	27.2619047619	27.2619047619	27.2619047619	72.7380952381
FTwi14_train_all_Test	Zld	1500	hb	6	2.5	41.6666666667	41.6666666667	41.6666666667	58.3333333333
FTwi14_train_all_Test	Zld	1500	Kr	10	2	50	50	50	50
FTwi14_train_all_Test	Zld	1500	Kni	4	2.8	36.6666666667	36.6666666667	36.6666666667	63.3333333333
FTwi14_train_all_Test	Zld	1500	rho	7	1.1	95	95	95	5
FTwi14_train_all_Test	Zld	1500	vnd	5	2	0	0	0	100
FTwi14_train_all_Test	Zld	1500	sog	3	2.3	48.3333333333	48.3333333333	48.3333333333	51.6666666667
FTwi14_train_all_Test	Zld	1500	brk	8	2.3	45	45	45	55
FTwi14_train_all_Test	Zld	1500	eve	7	4	0	0	0	100
FTwi14_train_all_Test	Zld	1500	sna	8	2.9	71.6666666667	71.6666666667	71.6666666667	28.3333333333
All_Data_Test	Zld	2000	vnd	4	2.7	37.5	37.5	37.5	62.5
All_Data_Test	Zld	2000	eve	6	3.9	0	0	0	100
All_Data_Test	Zld	2000	Kr	10	6.5	32.2698412698	32.2698412698	32.2698412698	67.7301587302
All_Data_Test	Zld	2000	sna	8	5.5	34.6904761905	34.6904761905	34.6904761905	65.3095238095
All_Data_Test	Zld	2000	rho	6	2.9	0	0	0	100
All_Data_Test	Zld	2000	Kni	3	2	0	0	0	100
All_Data_Test	Zld	2000	sog	3	2.2	38.3333333333	38.3333333333	38.3333333333	51.6666666667
