	zld_2011_seq	dl_2015_seq	dl_2009_chip	twi_2011_seq	twi_2014_chip	twi_1_2009_chip	twi_2_2009_chip	sna_2014_chip	sna_1_2009_chip	sna_2_2009_chip	bcd_2013_seq	bcd_1_2009_chip	bcd_2_2009_chip	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_1_2009_chip	hb_2_2009_chip	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_1_2009_chip	hry_2_2009_chip
zld_2011_seq	100	14.7727272727	80.3409090909	20.7848837209	54.8863636364	58.2954545455	61.7045454545	71.8181818182	10.4545454545	33.6363636364	21.4772727273	8.75	9.8863636364	52.2727272727	30.7954545455	31.1363636364	20.4545454545	18.8636363636	34.2045454545	17.7272727273	41.7045454545	5.4545454546	15.3409090909	25.1136363636
dl_2015_seq	14.7727272727	100	71.5596330275	5.9593023256	55.0458715596	57.7981651376	58.7155963303	64.2201834862	22.4770642202	47.247706422	27.9816513761	13.7614678899	15.5963302752	46.7889908257	35.3211009174	25.2293577982	22.9357798165	19.2660550459	27.9816513761	17.4311926606	38.0733944954	8.2568807339	14.6788990826	25.6880733945
dl_2009_chip	80.3409090909	71.5596330275	100	59.738372093	50.7590759076	38.8118811881	41.9141914191	50.4290429043	4.8844884488	18.4818481848	71.8475073314	88.8888888889	86.5384615385	86.011342155	82.9545454545	62.1513944223	13.0693069307	11.8151815182	66.149068323	8.9108910891	64.8171500631	93.6170212766	10.0330033003	16.501650165
twi_2011_seq	20.7848837209	5.9593023256	59.738372093	100	78.488372093	73.6918604651	75.8720930233	64.2441860465	6.6860465116	22.238372093	6.5406976744	1.8895348837	2.6162790698	28.488372093	11.4825581395	17.2965116279	10.7558139535	9.011627907	21.6569767442	7.4127906977	25.726744186	2.3255813954	12.0639534884	22.5290697674
twi_2014_chip	54.8863636364	55.0458715596	50.7590759076	78.488372093	100	78.7401574803	75.6684491979	49.3306891423	82.9268292683	67.8378378378	53.6656891496	68.8888888889	69.2307692308	70.3213610586	76.5151515152	40.2390438247	67.8571428571	62.2047244094	56.2111801242	80.4733727811	53.7200504414	85.1063829787	65.0862068966	68.1948424069
twi_1_2009_chip	58.2954545455	57.7981651376	38.8118811881	73.6918604651	78.7401574803	100	96.8503937008	72.2440944882	80.487804878	65.6756756757	57.4780058651	73.3333333333	70.1923076923	68.0529300567	75	39.4422310757	61.9047619048	55.905511811	52.1739130435	75.1479289941	50.6935687264	74.4680851064	61.2068965517	64.7564469914
twi_2_2009_chip	61.7045454545	58.7155963303	41.9141914191	75.8720930233	75.6684491979	96.8503937008	100	69.2513368984	80.487804878	66.7567567568	60.1173020528	76.6666666667	75.9615384615	71.2665406427	75.7575757576	41.567065073	63.0952380952	58.6614173228	56.5217391304	80.4733727811	54.7288776797	82.9787234043	65.9482758621	68.1948424069
sna_2014_chip	71.8181818182	64.2201834862	50.4290429043	64.2441860465	49.3306891423	72.2440944882	69.2513368984	100	100	97.027027027	68.9149560117	87.7777777778	88.4615384615	80.5293005671	87.1212121212	47.8087649402	73.4126984127	68.8976377953	68.6335403727	89.9408284024	65.8259773014	95.7446808511	76.2931034483	73.3524355301
sna_1_2009_chip	10.4545454545	22.4770642202	4.8844884488	6.6860465116	82.9268292683	80.487804878	80.487804878	100	100	100	9.0909090909	14.4444444444	11.5384615385	11.9092627599	13.6363636364	4.6480743692	11.1111111111	8.2677165354	7.298136646	11.8343195266	7.5662042875	25.5319148936	6.0344827586	9.4555873926
sna_2_2009_chip	33.6363636364	47.247706422	18.4818481848	22.238372093	67.8378378378	65.6756756757	66.7567567568	97.027027027	100	100	32.8445747801	44.4444444444	45.1923076923	39.3194706994	42.803030303	15.9362549801	29.3650793651	27.5590551181	26.7080745342	47.9289940828	26.8600252207	46.8085106383	28.4482758621	32.3782234957
