dataset	zelda_2011_seq	dl_2015_seq	dl_2009_chip	sna_2014_chip	sna_2009_chip_1	sna_2009_chip_2	twi_2011_seq	twi_2014_chip	twi_2009_chip_1	twi_2009_chip_2	bcd_2013_seq	bcd_2009_chip_1	bcd_2009_chip_2	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_2009_chip_1	hb_2009_chip_2	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_2009_chip_1	hry_2009_chip_2	p300_2010_seq	H3K27ac_2015_seq	H3K27ac_2010_seq	H3K4me1_2015_seq
zelda_2011_seq	99.9893989187	61.2349914237	43.1580072696	35.5868665977	74.5393634841	52.7311674402	30.7325347185	30.4750869061	52.1166791324	48.5772083614	36.9544131911	91.7741935484	89.9004267425	78.2501235788	87.5549968573	44.0144375376	78.7663755459	72.1769499418	47.0896946565	91.4018691589	41.5630885122	98.2213438735	74.0762463343	71.4181018688	46.9214437367	48.167539267	26.8419378777	88.5788113695
dl_2015_seq	61.2349914237	99.9428244711	10.2309172547	10.8841778697	38.6934673367	17.3509460907	44.4825614637	9.6523754345	12.4457741212	11.7060013486	14.0640155189	42.5806451613	39.8293029872	20.8106772121	37.1464487744	12.813314618	32.5327510917	30.9662398137	13.5257633588	37.8504672897	11.1487758945	50.395256917	23.2258064516	22.9388054232	19.593569912	15.8704188482	36.5351629503	30.8010335917
dl_2009_chip	43.1580072696	10.2309172547	99.9893093864	54.7828335057	84.9246231156	69.4394858979	37.1178105623	53.325608343	79.76065819	76.210384356	8.969424845	5.7836219799	6.6067992303	32.6812059012	13.9726320291	29.0250160359	96.7248908297	93.0151338766	23.6262561471	98.2242990654	25.2939918751	4.7893949113	90.4985337243	91.6086478564	21.1994868505	29.2067564678	32.5849903784	17.9602309173
sna_2014_chip	35.5868665977	10.8841778697	54.7828335057	99.987073423	6.6442605998	22.9705274043	28.9943123061	30.4287369641	48.3583247156	50.1938986556	8.0791106515	7.1354705274	8.0791106515	32.4586349535	17.670630817	22.5310237849	17.8516028956	15.550672182	20.2817993795	12.797311272	22.9188210962	7.006204757	15.2145811789	23.0222337125	15.1628748707	18.4979317477	18.8598759049	23.0222337125
sna_2009_chip_1	74.5393634841	38.6934673367	84.9246231156	6.6442605998	99.8324958124	20.207068904	63.4840871022	4.9130938586	7.0456245325	6.7161159811	31.9932998325	34.5058626466	36.3484087102	71.6917922948	55.2763819095	51.9262981575	53.0988274707	45.0586264657	49.9162479062	49.2462311558	53.7688442211	35.6783919598	50.7537688442	71.3567839196	52.4288107203	38.8609715243	33.3333333333	57.4539363484
sna_2009_chip_2	52.7311674402	17.3509460907	69.4394858979	22.9705274043	20.207068904	99.9642984648	41.3066761871	15.6778679027	23.6050860135	23.3175994606	14.9232416994	14.2092109961	15.6372724027	47.3402356301	29.239557301	32.1670831846	28.3470189218	24.1699393074	29.8464833988	23.0988932524	32.8097108176	13.8521956444	26.1335237415	40.6640485541	27.8828989647	27.8114958943	27.525883613	33.3452338451
twi_2011_seq	30.7325347185	44.4825614637	37.1178105623	28.9943123061	63.4840871022	41.3066761871	99.9772675608	30.5098493627	49.5736724009	45.7990559676	28.4675072745	68.5483870968	69.2745376956	58.4033613445	60.2765556254	37.0763986365	58.1877729258	53.434225844	37.4522900763	64.2056074766	33.5781544256	83.9920948617	65.219941349	62.7702455112	40.6733393995	41.2630890052	34.7909264826	63.5658914729
twi_2014_chip	30.4750869061	9.6523754345	53.325608343	30.4287369641	4.9130938586	15.6778679027	30.5098493627	99.976825029	50.1622247972	51.6570104287	7.0451911935	6.2456546929	6.9988412515	30.1274623407	15.5967555041	20.5214368482	16.4426419467	13.8354577057	17.4855156431	10.8574739282	20.1506373117	6.4658169177	13.8702201622	21.4020857474	14.5654692932	21.4020857474	21.1355735805	21.3093858633
twi_2009_chip_1	52.1166791324	12.4457741212	79.76065819	48.3583247156	7.0456245325	23.6050860135	49.5736724009	50.1622247972	99.9850411369	84.8550236008	11.0396409873	7.9880329095	9.2146596859	44.3530291698	20.2094240838	32.9992520568	21.7202692595	19.8055347794	27.8683620045	13.6424831713	30.9349289454	6.9708302169	20.3739715782	30.6955871354	24.0688107704	30.5908750935	30.3814510097	26.0882572924
twi_2009_chip_2	48.5772083614	11.7060013486	76.210384356	50.1938986556	6.7161159811	23.3175994606	45.7990559676	51.6570104287	84.8550236008	99.9865138233	10.3708698584	7.2825354012	8.3479433581	40.5259608901	18.3546864464	30.8293998651	20.0539447067	18.4356035064	26.068779501	12.5151719488	28.9008766015	6.2845583277	18.7592717465	28.7795010115	22.0229265003	28.5232636548	29.2650033715	23.6547538773
