model_name	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
All_Data_Test	Dl15	1500	brk	4	2.8	31.6666666667	31.6666666667	31.6666666667	68.3333333333
All_Data_Test	Dl15	1500	hb	2	1.5	75	75	75	25
All_Data_Test	Dl15	1500	sog	3	1.9	83.3333333333	83.3333333333	83.3333333333	6.6666666667
All_Data_Test	Dl15	1500	Kni	4	3	20.8333333333	20.8333333333	20.8333333333	79.1666666667
All_Data_Test	Dl15	1500	Kr	2	2	50	50	50	50
All_Data_Test	Dl15	1500	rho	2	1.4	80	80	80	20
All_Data_Test	Dl15	1500	vnd	2	1.8	45	45	45	45
All_Data_Test	Dl15	1500	sna	6	5.3	19	19	19	81
All_Data_Test	Dl15	1500	eve	5	2.9	75	75	75	25
H3K4me1_train_all_Test	Dl15	1500	brk	4	2	50	50	50	50
H3K4me1_train_all_Test	Dl15	1500	hb	2	2	50	50	50	50
H3K4me1_train_all_Test	Dl15	1500	sog	3	2	100	100	100	0
H3K4me1_train_all_Test	Dl15	1500	Kni	4	2.6	40	40	40	60
H3K4me1_train_all_Test	Dl15	1500	Kr	2	2	50	50	50	50
H3K4me1_train_all_Test	Dl15	1500	rho	2	0.9	90	90	90	0
H3K4me1_train_all_Test	Dl15	1500	vnd	2	1	100	100	100	0
H3K4me1_train_all_Test	Dl15	1500	sna	6	2.1	48.3333333333	48.3333333333	48.3333333333	51.6666666667
H3K4me1_train_all_Test	Dl15	1500	eve	5	3.8	72.5	72.5	72.5	27.5
Dl_chip_Test	Dl15	1500	brk	4	3.1	37.5	37.5	37.5	62.5
Dl_chip_Test	Dl15	1500	hb	2	1.9	55	55	55	45
Dl_chip_Test	Dl15	1500	sog	3	2.5	78.3333333333	78.3333333333	78.3333333333	21.6666666667
Dl_chip_Test	Dl15	1500	Kni	4	4	25	25	25	75
Dl_chip_Test	Dl15	1500	Kr	2	2	50	50	50	50
Dl_chip_Test	Dl15	1500	rho	2	1.7	65	65	65	35
Dl_chip_Test	Dl15	1500	vnd	2	1.9	45	45	45	55
Dl_chip_Test	Dl15	1500	sna	6	5.8	17.3333333333	17.3333333333	17.3333333333	82.6666666667
Dl_chip_Test	Dl15	1500	eve	5	4.3	70.5	70.5	70.5	29.5
Dl15_train_all_Test	Dl15	1500	brk	4	2	50	50	50	50
Dl15_train_all_Test	Dl15	1500	hb	2	2	50	50	50	50
Dl15_train_all_Test	Dl15	1500	sog	3	1.8	100	100	100	0
Dl15_train_all_Test	Dl15	1500	Kni	4	2.7	38.3333333333	38.3333333333	38.3333333333	61.6666666667
Dl15_train_all_Test	Dl15	1500	Kr	2	2	50	50	50	50
Dl15_train_all_Test	Dl15	1500	rho	2	1	100	100	100	0
Dl15_train_all_Test	Dl15	1500	vnd	2	1.8	60	60	60	40
Dl15_train_all_Test	Dl15	1500	sna	6	3.6	30	30	30	70
Dl15_train_all_Test	Dl15	1500	eve	5	4	75	75	75	25
Zld_train_all_Test	Dl15	1500	brk	4	2	50	50	50	50
Zld_train_all_Test	Dl15	1500	hb	2	2	50	50	50	50
Zld_train_all_Test	Dl15	1500	sog	3	2	100	100	100	0
Zld_train_all_Test	Dl15	1500	Kni	4	3	33.3333333333	33.3333333333	33.3333333333	66.6666666667
Zld_train_all_Test	Dl15	1500	Kr	2	2	50	50	50	50
Zld_train_all_Test	Dl15	1500	rho	2	1	100	100	100	0
Zld_train_all_Test	Dl15	1500	vnd	2	1.7	65	65	65	35
Zld_train_all_Test	Dl15	1500	sna	6	2.9	36.6666666667	36.6666666667	36.6666666667	63.3333333333
Zld_train_all_Test	Dl15	1500	eve	5	4	75	75	75	25
Dl_Twi_Test	Dl15	1500	brk	4	3.8	26.6666666667	26.6666666667	26.6666666667	73.3333333333
Dl_Twi_Test	Dl15	1500	hb	2	2	50	50	50	50
Dl_Twi_Test	Dl15	1500	sog	3	2.5	75	75	75	25
Dl_Twi_Test	Dl15	1500	Kni	4	4	25	25	25	75
Dl_Twi_Test	Dl15	1500	Kr	2	2	50	50	50	50
Dl_Twi_Test	Dl15	1500	rho	2	1.9	55	55	55	45
Dl_Twi_Test	Dl15	1500	vnd	2	2	50	50	50	50
Dl_Twi_Test	Dl15	1500	sna	6	5.9	17	17	17	83
Dl_Twi_Test	Dl15	1500	eve	5	4.6	66	66	66	34
