	zld_2011_seq	dl_2015_seq	dl_2009_chip	twi_2011_seq	twi_2014_chip	twi_1_2009_chip	twi_2_2009_chip	sna_2014_chip	sna_1_2009_chip	sna_2_2009_chip	bcd_2013_seq	bcd_1_2009_chip	bcd_2_2009_chip	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_1_2009_chip	hb_2_2009_chip	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_1_2009_chip	hry_2_2009_chip
zld_2011_seq	100	-2.9195828261	13.6464810106	-9.8527415687	5.998276632	9.4927633475	11.6844103922	10.9441330723	-7.5922330538	5.2056954694	-7.4728578809	-6.2652336617	-9.0381445147	3.1433787626	-6.7162582425	4.5803083747	-1.7965663874	0.6966683114	-3.246677779	-0.3578223692	3.4710345083	-28.5974344857	-7.4337583179	-9.9576256772
dl_2015_seq	-2.9195828261	99.5104452637	10.4969713654	-4.1154712488	6.9241555568	30.3252029341	24.1228685575	9.8548430011	46.1989241083	38.2149062736	9.6651409673	-35.2558626276	-24.0580077081	16.6622956837	5.6730013019	-20.8046059123	-35.044148334	-26.8526014142	12.6443529978	-4.9976926236	-3.8471732001	-0.3555381696	15.4985817728	11.1280456696
dl_2009_chip	13.6464810106	10.4969713654	100	-17.6563046029	8.0849519786	2.7422830697	4.483254201	-2.4280650746	7.9107341326	11.3574972221	8.4778884681	-4.8822061856	1.3257128629	9.3794248439	6.5078516656	13.2634291477	4.8159785159	1.9939252921	-11.8210865457	-10.0467969278	3.4036278879	14.7151207948	2.5223831254	-6.3156315887
twi_2011_seq	-9.8527415687	-4.1154712488	-17.6563046029	100	15.8664252905	32.9169705248	33.0005854132	7.2920434551	16.4709976705	21.3035635888	4.8495217238	6.2410904484	-8.2759483812	5.8583715202	3.596422175	0.5285354582	-3.6771164794	-3.5964713736	-3.7718341354	-3.0423032797	-1.6305530903	-43.5328723368	-2.2860760233	0.5058674236
twi_2014_chip	5.998276632	6.9241555568	8.0849519786	15.8664252905	100	24.693495963	26.6537263565	15.0758988029	24.2769591853	10.6803821476	-4.9555267807	4.1276244298	6.3810192485	9.7663242205	1.09011316	4.3607220933	6.1734964779	6.7367623795	11.3882474137	4.6941952778	4.557009827	7.8207139654	9.4575015525	4.1143194771
twi_1_2009_chip	9.4927633475	30.3252029341	2.7422830697	32.9169705248	24.693495963	100	96.3672410095	11.5083070214	38.3581174773	38.3441454152	-1.6066986452	-20.2185616694	-24.7177564651	7.8363082581	-10.5458106152	1.1322693059	-10.1415815478	-5.9287222214	0.5567050061	-5.9675132803	0.8210922367	-10.7861691912	-0.0315349301	-5.3187251805
twi_2_2009_chip	11.6844103922	24.1228685575	4.483254201	33.0005854132	26.6537263565	96.3672410095	100	8.8256363782	34.8204042262	37.7061899703	-6.655407574	-25.5553960494	-21.225498762	8.9418455148	-10.5156640729	2.2770265595	-14.5033105711	-4.8529438285	2.0303005596	-0.2082958989	2.2862106322	-10.1222313248	1.053030662	-3.8569702108
sna_2014_chip	10.9441330723	9.8548430011	-2.4280650746	7.2920434551	15.0758988029	11.5083070214	8.8256363782	100	-3.4707753913	5.3992986278	5.8422210693	-4.9608381609	-1.6750082829	7.6690203087	0.6602544665	11.0706511582	8.457186185	8.2494731718	13.4984087284	4.3887427142	7.9410543043	6.5638998824	14.2928952063	4.8886736952
sna_1_2009_chip	-7.5922330538	46.1989241083	7.9107341326	16.4709976705	24.2769591853	38.3581174773	34.8204042262	-3.4707753913	100	93.219128974	8.2558523182	-3.2998780776	-23.1574013419	-6.606621077	1.8566973612	-5.3981335604	1.5701698342	-6.1511590401	-18.3142016861	8.9601252503	-31.7384000569	-9.3135677345	55.0188265343	1.7164532825
sna_2_2009_chip	5.2056954694	38.2149062736	11.3574972221	21.3035635888	10.6803821476	38.3441454152	37.7061899703	5.3992986278	93.219128974	100	3.9205890623	-11.9599050574	-10.2676345042	16.1512046578	11.9839822963	-6.1913440122	-22.9341691462	-8.340964508	-8.2624462149	9.3005370928	0.6732207205	-17.4880740635	0.7577813847	-11.5461509632
