model_name	model_type	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
Dl_Twi_chip_balance	Balanced	Zld	500	vnd	7	4.5	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	500	rho	4	3	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	1000	eve	10	5.8	22.3174603175	22.3174603175	22.3174603175	67.6825396825
Dl_Twi_chip_balance	Balanced	Dl15	1500	brk	4	2.7	23.3333333333	23.3333333333	23.3333333333	66.6666666667
Dl_Twi_chip_balance	Balanced	Dl15	1000	rho	2	1.7	50	50	50	40
Dl_Twi_chip_balance	Balanced	Dl15	500	vnd	2	1.3	0	0	0	80
Dl_Twi_chip_balance	Balanced	Dl15	2000	brk	4	2.6	18.3333333333	18.3333333333	18.3333333333	71.6666666667
Dl_Twi_chip_balance	Balanced	Dl09	500	sna	6	3.4	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	1500	sna	8	5.2	9.5238095238	9.5238095238	9.5238095238	90.4761904762
Dl_Twi_chip_balance	Balanced	Dl09	2000	hb	9	3.2	28.1666666667	28.1666666667	28.1666666667	61.8333333333
Dl_Twi_chip_balance	Balanced	Dl09	500	hb	9	3.4	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	2000	rho	6	3.4	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	1000	sog	3	2.2	78.3333333333	78.3333333333	78.3333333333	21.6666666667
Dl_Twi_chip_balance	Balanced	Zld	1000	Kr	10	7.7	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	1500	Kr	10	7.1	12.6071428571	12.6071428571	12.6071428571	87.3928571429
Dl_Twi_chip_balance	Balanced	Dl15	500	Kr	4	3.6	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	1000	vnd	2	0.9	0	0	0	70
Dl_Twi_chip_balance	Balanced	Twi14	1000	vnd	8	5.1	16.1071428571	16.1071428571	16.1071428571	83.8928571429
Dl_Twi_chip_balance	Balanced	Twi14	1500	brk	9	4.7	16.1666666667	16.1666666667	16.1666666667	73.8333333333
Dl_Twi_chip_balance	Balanced	Dl09	1500	vnd	2	0.9	0	0	0	70
Dl_Twi_chip_balance	Balanced	Dl15	1500	hb	2	1.3	85	85	85	15
Dl_Twi_chip_balance	Balanced	Dl09	500	Kni	3	1	0	0	0	80
Dl_Twi_chip_balance	Balanced	Dl15	500	Kni	4	2.7	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	500	sog	3	2.3	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	1000	Kr	2	1.8	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl15	2000	sog	2	1	45	45	45	25
Dl_Twi_chip_balance	Balanced	Twi14	500	vnd	8	4.9	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	1500	sog	3	2	63.3333333333	63.3333333333	63.3333333333	26.6666666667
Dl_Twi_chip_balance	Balanced	Twi14	1500	Kni	5	2.5	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	1000	hb	12	4.1	31	31	31	69
Dl_Twi_chip_balance	Balanced	Twi14	1500	eve	7	4.9	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	1000	sna	9	5.6	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	1500	hb	6	3	39.5	39.5	39.5	60.5
Dl_Twi_chip_balance	Balanced	Zld	1000	sna	8	5	8.6904761905	8.6904761905	8.6904761905	91.3095238095
Dl_Twi_chip_balance	Balanced	Dl15	1500	sog	3	2	61.6666666667	61.6666666667	61.6666666667	28.3333333333
Dl_Twi_chip_balance	Balanced	Zld	2000	vnd	4	2.5	25.8333333333	25.8333333333	25.8333333333	64.1666666667
Dl_Twi_chip_balance	Balanced	Dl09	1500	Kr	7	4.9	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	1500	Kni	4	2.9	30	30	30	70
Dl_Twi_chip_balance	Balanced	Zld	500	sna	9	5.9	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	1000	sog	3	2.2	76.6666666667	76.6666666667	76.6666666667	23.3333333333
