"status"	"Dorsal"	"Hairy"	"Snail"	"Twist"	"bicoid"	"cad"	"giant"	"hunchback"	"crm_test_test_svm"	"crm_test_test_rf"
"1"	"putative"	1.464502415	0.9236750603	0	0.731723249	0	0	0	0	"off"	"off"
"2"	"putative"	2.57873768	2.9381713867	0	1.777542451	0	0	0	0	"on"	"on"
"3"	"putative"	4.300381958	0	0	4.300381958	0	0	0	0	"on"	"on"
"4"	"putative"	2.378351986	2.4179964065	0	0.938858747	0	0	0	0	"on"	"on"
"5"	"putative"	2.016425151	0.8263082504	1.205927231	0	0	0	0	0	"off"	"off"
"6"	"putative"	5.552891641	2.5326480866	1.862237632	1.78405413	0	1.7501754761	0	0	"on"	"on"
"7"	"putative"	1.399723859	0	0	1.399723859	0	0	0	0	"off"	"off"
"8"	"putative"	1.72588115	0	0	1.378733277	0	0	0	0	"off"	"off"
"9"	"putative"	7.804739861	0	3.833027077	2.425102333	2.3189630508	2.1325831413	2.7541308403	0.968978405	"on"	"on"
"10"	"putative"	3.72923185	0	0	2.260393355	0	0	2.6170692444	2.2740426063	"on"	"on"
"11"	"putative"	10.827616552	0	5.186784604	3.283496913	3.0830516815	3.6291837692	2.8587055206	3.9246501922	"on"	"on"
"12"	"putative"	4.281518888	1.050652504	0.771063614	1.36999224	0	0	0	0	"on"	"on"
"13"	"putative"	5.088268616	3.0392551422	0.763257951	1.234079109	0	0	0	2.176970005	"on"	"on"
"14"	"putative"	13.568040244	3.8751306534	6.764658038	3.913549868	3.3660674095	2.8430867195	2.7490310669	3.5202078819	"on"	"on"
"15"	"putative"	12.276785603	0	4.443015936	4.943937329	0	0	0	4.2362704277	"on"	"on"
"16"	"putative"	4.213570356	0	0	1.818040556	0	0	0	0	"off"	"on"
"17"	"putative"	4.537602002	2.43036902	0	0	2.43036902	0	0	0	"on"	"on"
"18"	"putative"	5.522878745	4.679601729	2.211971283	0	3.581061602	0	0	0	"on"	"on"
"19"	"putative"	3.299296283	8.349657285	0	0.586310911	5.667408764	2.7149772644	3.183447361	1.7144925594	"on"	"on"
"20"	"putative"	12	5.611985792	0	0.949091519	4.223976692	0	0	0	"on"	"on"
"21"	"putative"	11.397940008	11.45184047	4.0055732727	3.591418206	5.490766823	2.9831118583	3.8613057137	3.3489046097	"on"	"on"
"22"	"putative"	6	10.309949245	2.4986834526	2.249002232	5.314721852	0	2.7591218948	0	"on"	"on"
"23"	"putative"	1.363502074	4.462037574	0	0	1.715812413	0	0	0	"on"	"on"
"24"	"putative"	1.326803935	2.696829966	0	0	1.111833772	0	0	0	"on"	"on"
"25"	"putative"	2.389233405	8.626749933	0	0	5.51920563	2.0105030537	0	0	"on"	"on"
"26"	"putative"	3.756961951	11.303417921	0.934276104	3.557523075	4.638350543	0	0	0	"on"	"on"
"27"	"putative"	12	14.119668253	5.3514947892	6.910417389	4.101706561	3.4710812568	3.4581093788	2.208568573	"on"	"on"
"28"	"putative"	6	15.295796865	0.9837355614	6.910417389	5.277835173	1.7171850204	0	2.208568573	"on"	"on"
"29"	"putative"	3.872895202	5.628363865	0	1.100651056	2.168187128	0	0	0	"on"	"on"
