"status"	"Dorsal"	"Hairy"	"Snail"	"Twist"	"bicoid"	"cad"	"giant"	"hunchback"	"crm_test_test_svm"	"crm_test_test_rf"
"1"	"putative"	1.782219648	0	0	1.418433666	0	0	0	0	"off"	"off"
"2"	"putative"	7.232643877	0	0	5.156036679	0	1.626247406	2.1812281609	2.4026575088	"on"	"on"
"3"	"putative"	9.261919724	5.0655469894	2.973674592	3.131568699	2.652369976	3.7979521751	3.2058734894	6.8438768386	"on"	"on"
"4"	"putative"	3.393623518	0	0	2.038970891	0	2.0601511002	0	0	"on"	"on"
"5"	"putative"	3.247231843	0	0	1.663484372	0	1.8056163788	0	0	"on"	"on"
"6"	"putative"	1.61247218	0	0	0.80901736	0	0	0	0	"off"	"off"
"7"	"putative"	1.21482291	0	0	0.669197909	0	0	0	0	"off"	"off"
"8"	"putative"	1.449085229	0	0	1.449085229	0	0	0	0	"off"	"off"
"9"	"putative"	2.335985593	0	0	0.777820647	0	0	0	1.8655581475	"off"	"off"
"10"	"putative"	1.765512579	0	0	0.670379695	0	0	0	0	"off"	"off"
"11"	"putative"	1.364885986	0	0	0.827194393	0	0	0	0	"off"	"off"
"12"	"putative"	3.762281567	1.1425580978	0	2.13001959	0	0	0	0	"on"	"on"
"13"	"putative"	1.248001789	0.6356468201	0	0.547530608	0	0	0	0	"off"	"off"
"14"	"putative"	1.607894261	0	0	0.942629496	0	0	0	3.294160366	"on"	"off"
"15"	"putative"	4.677190762	0.7304620743	0	1.908433578	0	0	0	2.1673555375	"on"	"off"
"16"	"putative"	0.972952544	0	0	0.557911634	0	0	0	0	"off"	"off"
"17"	"putative"	2.104844973	0	0.652054697	0.536032901	0	0	0	0	"off"	"off"
"18"	"putative"	5.390657481	0.8102006912	0	3.290892713	0	0	0	0	"on"	"off"
"19"	"putative"	1.09564864	0	0	0.519086011	0	2.2873244286	1.5721502304	3.5096991062	"on"	"off"
"20"	"putative"	1.867431978	0	0	1.867431978	0	0	0	0	"off"	"off"
"21"	"putative"	4.912550659	1.0441536903	0	3.644576044	0	0	0	0.6161162853	"on"	"on"
"22"	"putative"	2.029094452	0	0	1.173740769	1.1291618347	0	0	0	"on"	"off"
"23"	"putative"	3.703083565	1.0004138947	1.330245926	1.228211149	0	0	0	0	"off"	"off"
"24"	"putative"	1.725594895	0	1.362444966	0	0	0	0	0	"off"	"off"
"25"	"putative"	2.378201281	0	0	0.751447341	0	0	0	0	"off"	"off"
"26"	"putative"	4.433616728	0	0	3.54761529	0	0	0	0	"on"	"on"
"27"	"putative"	4.225946325	0.8924670219	0	1.525177091	0	0	0	0.6972746849	"on"	"off"
"28"	"putative"	8.574618349	0.8924670219	0	5.873849115	0	2.1465530396	0	2.5005192757	"on"	"on"
"29"	"putative"	2.43036902	0	0	2.43036902	0	0	0	0	"off"	"off"
"30"	"putative"	4.679601729	2.211971283	0	3.581061602	0	0	0	0	"on"	"on"
"31"	"putative"	8.349657285	0	0.586310911	5.667408764	2.7149772644	3.183447361	1.7144925594	2.7196574212	"on"	"on"
"32"	"putative"	5.611985792	0	0.949091519	4.223976692	0	0	0	0	"on"	"on"
"33"	"putative"	11.45184047	4.0055732727	3.591418206	5.490766823	2.9831118583	3.8613057137	3.3489046097	4.9935531617	"on"	"on"
"34"	"putative"	10.309949245	2.4986834526	2.249002232	5.314721852	0	2.7591218948	0	1.6304941177	"on"	"on"
"35"	"putative"	4.462037574	0	0	1.715812413	0	0	0	0	"off"	"off"
"36"	"putative"	2.696829966	0	0	1.111833772	0	0	0	0	"off"	"off"
"37"	"putative"	11.303417921	0	3.557523075	4.638350543	0	0	0	1.0831308365	"on"	"on"
"38"	"putative"	14.119668253	5.3514947892	6.910417389	4.101706561	3.4710812568	3.4581093788	2.208568573	1.8726758957	"on"	"on"
"39"	"putative"	15.295796865	3.5494241715	6.910417389	5.277835173	3.4710812568	1.7364516258	2.208568573	1.8726758957	"on"	"on"
"40"	"putative"	6.472728031	0	1.100651056	3.012551294	0	0	0	0	"on"	"on"
"41"	"putative"	1.464502415	0.9236750603	0	0.731723249	0	0	0	0	"off"	"off"
"42"	"putative"	3.175880292	4.0667290687	0	2.374685063	0	0	0	0	"on"	"off"
"43"	"putative"	2.378351986	2.4179964065	0	0.938858747	0	0	0	0	"on"	"off"
"44"	"putative"	2.016425151	0.8263082504	1.205927231	0	0	0	0	0	"off"	"off"
"45"	"putative"	5.552891641	2.5326480866	1.862237632	1.78405413	0	1.7501754761	0	0	"on"	"on"
"46"	"putative"	1.399723859	0	0	1.399723859	0	0	0	0	"off"	"off"
"47"	"putative"	1.72588115	0	0	1.378733277	0	0	0	0	"off"	"off"
"48"	"putative"	7.804739861	0	3.833027077	2.425102333	2.3189630508	2.1325831413	2.7541308403	1.6367964745	"on"	"off"
"49"	"putative"	3.72923185	0	0	2.260393355	0	0	2.6170692444	2.2740426063	"on"	"on"
"50"	"putative"	10.827616552	0	5.186784604	3.283496913	3.0830516815	3.6291837692	2.8587055206	3.9246501922	"on"	"off"
"51"	"putative"	4.281518888	1.050652504	0.771063614	1.36999224	0	0	0	0	"on"	"off"
"52"	"putative"	5.088268616	3.0392551422	0.763257951	1.234079109	0	0	0	2.176970005	"on"	"off"
"53"	"putative"	13.568040244	3.8751306534	6.764658038	3.913549868	3.3660674095	2.8430867195	2.7490310669	3.5202078819	"on"	"on"
"54"	"putative"	12.276785603	0	4.443015936	4.943937329	0	0	0	4.2362704277	"on"	"on"
"55"	"putative"	4.213570356	0	0	1.818040556	0	0	0	0.831840992	"off"	"off"
