enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_12665181_12667293	on	1158.5	11.03	3.73	1.423	0.3135	1.254	1.192	3897.16	2432.5	-1080.28955536	6.0	5.096910013	-138.540774638	284.0	1.9985728264	1.6999077797	1.6015052795	2.2713150978	0.8671770096	2.5896019935	2.407189846	4.5584969521	-808.162744989	-51.654581424	-704.086730004	1482.69	1311.42	1316.36	2.0	1.0	90.84	-784.212239968	2018.47854109	3111.30212012	6503.27192111	1079.10828886	7923.06397787	8010.36666406	1224.10784826	1237.47043337	6723.74725334
Kvon2014_chr3R_17978799_17980887	on	2388.4	11.92	4.72	1.162	0.145	1.21	1.418	-11421.256804	-10829.7231927	-1080.28955536	9.6	6.0	520.0	363.0	2.9693288803	2.1504812241	1.8611040115	3.0148272514	1.9966592789	2.7166767121	2.5343089103	5.7484817504	-808.162744989	-51.654581424	2042.4	2635.97	1246.45	1538.84	1.0	1.0	125.261	-784.212239968	1618.69869393	2909.11961342	6998.53734389	823.499957156	7900.70100419	8122.70471067	1115.5651341	1346.93050247	6956.43285384
Kvon2014_chr3L_17003868_17006065	on	1224.3	10.25	5.06	0.813	0.3195	0.933	1.555	1356.74	-10829.7231927	-1080.28955536	6.0	6.0	533.0	336.0	2.2382178307	-0.611727783828	2.6668934822	-0.583052405011	2.6363277435	3.7229542732	2.3946413994	4.6213359833	-808.162744989	-51.654581424	989.89	1482.69	1571.32	2750.51	1.0	1.0	29.5238	1681.96	1864.37150214	1953.77123028	6589.08526391	876.092288248	8060.85793872	8161.8806253	1041.3176344	558.549111612	6899.51807229
Kvon2014_chr3R_19020878_19022997	on	641.9	10.48	4.29	1.101	2.3565	1.624	1.719	-11421.256804	-10829.7231927	-1080.28955536	6.0	0.357772972	-138.540774638	-92.1272047072	3.5673484802	1.7290315628	2.5065560341	2.2398104668	4.3562870026	-0.869706721074	2.2928347588	3.0296721458	-808.162744989	135.955	-704.086730004	1287.48	1337.41	1342.54	-0.320791411368	-0.296144837142	25.3201	-784.212239968	1038.09988627	2975.82803839	6513.92367459	668.444701353	7553.49851812	7726.94649496	642.615034372	711.514122583	6167.55618501
Kvon2014_chr3R_2488662_2490888	on	1160.7	-4.04903426872	-1.071117458	1.027	-0.5085	0.979	0.226	2577.5	1228.63	-1080.28955536	6.0	4.420216403	-138.540774638	-92.1272047072	2.8528375626	-0.611727783828	1.6079716682	2.0711603165	-0.887609692841	2.3322563172	-0.537019526686	3.5719032287	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1656.62	-0.320791411368	-0.296144837142	104.547	-784.212239968	1575.88530738	2794.27552122	6203.86389044	910.922567998	7794.71360333	7921.22933232	1000.10531765	1048.74815141	5850.60735977
Kvon2014_chr3R_2693633_2695762	on	1363.8	18.46	6.54	1.41	1.1695	1.844	2.442	-11421.256804	-10829.7231927	-1080.28955536	5.05	6.0	-138.540774638	-92.1272047072	1.7371864319	2.963956356	1.9463200569	3.3129472733	2.7318363189	2.2015056611	-0.537019526686	2.9288392066	-808.162744989	-51.654581424	864.67	2684.77	-1098.73702073	1342.54	1.0	1.0	40.4012	-784.212239968	3051.99927683	3147.54904167	6365.13358133	1257.63213956	7491.01673933	7676.42664123	1046.17088129	958.0874153	6685.9324423
Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	1.015	-11421.256804	-10829.7231927	-1080.28955536	6.0	6.0	248.0	251.0	1.5984025001	1.7844142914	3.1127920151	1.7166600227	3.3386545182	1.0510287285	0.8824272156	4.9255979061	-808.162744989	132.37	2167.62	-634.173214937	2934.71	-658.634837531	1.0	-0.296144837142	96.7684	-784.212239968	860.528756957	2622.62470966	6998.53734389	834.216424805	7900.70100419	7760.24228531	1016.59651583	502.587151202	6956.43285384
Kvon2014_chr3R_8470129_8471868	on	3419.3	19.58	4.12	1.618	2.2625	1.263	2.034	1294.93	-10829.7231927	1259.38	6.0	5.522878745	616.0	449.0	2.5029716491	3.1376342773	2.4925217628	3.0332927704	4.6569533348	4.1804709435	-0.537019526686	6.6806583405	1265.39	-51.654581424	-704.086730004	1482.69	-1098.73702073	1303.28	-0.320791411368	1.0	95.40552	-784.212239968	1463.76723143	2586.80329533	7026.547492	498.239246537	8243.73907359	8268.66161018	934.398317307	830.901683823	6821.56116453
Kvon2014_chr3R_12076924_12079107	on	4716.1	17.51	-1.071117458	1.994	1.0015	0.585	1.695	-11421.256804	1228.63	2755.57	6.0	6.0	595.0	325.0	2.5473046303	2.3310937881	3.7748765945	3.1582202911	1.4839496613	1.3988542557	1.2739081383	4.12971735	-808.162744989	-51.654581424	1202.77	1482.69	-1098.73702073	1578.1	1.0	1.0	97.2075	-784.212239968	1624.71608527	2918.85660139	6866.00013806	1004.18808293	8183.94796258	8190.8326476	985.173054749	965.686732513	5873.2977441
Kvon2014_chr2L_8831294_8833463	on	2815.7	16.67	3.89	1.539	2.17	1.618	1.899	1492.73	-10829.7231927	1209.53	6.0	4.602059991	-138.540774638	458.0	3.1266770363	2.7547359467	2.1140265465	2.7526283264	2.5482091904	0.8240828514	4.7272529602	3.4095835686	1616.01	362.75	-704.086730004	1202.08	1233.45	1512.67	1.0	1.0	87.2609	-784.212239968	2264.09094445	4221.41796585	7095.84809788	772.755835596	8232.40361767	8369.44116954	723.559637944	883.372784809	7069.26392843
Kvon2014_chr3L_8822268_8824419	on	3656.1	12.51	2.77	2.004	0.1635	0.603	0.962	-11421.256804	-10829.7231927	-1080.28955536	6.0	4.823908741	-138.540774638	316.0	-0.503921059384	1.9667448998	2.2328109741	3.0089197159	0.711933136	1.062669754	3.6910700798	4.1543207169	-808.162744989	-51.654581424	-704.086730004	3111.79	-1098.73702073	1460.32	1.0	-0.296144837142	-59.2812955354	-784.212239968	981.818181818	2880.46231792	7051.69123494	687.853060763	7995.54785565	8151.79451418	927.340536497	1236.38062629	7040.31837161
Kvon2014_chr3R_9705174_9707299	on	980.0	7.86	4.29	1.734	0.1615	2.186	1.625	1196.03	-10829.7231927	-1080.28955536	6.0	5.096910013	-138.540774638	-92.1272047072	4.1405315399	-0.611727783828	2.9798336029	2.6483821869	-0.887609692841	2.6922798157	0.8382024765	4.2154941559	-808.162744989	124.605	-704.086730004	1226.48	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	115.19656	1146.22	2760.38786313	2936.21195607	6901.50734446	1433.46318841	8134.71717242	8234.65903915	1358.08736542	1753.72279834	6871.32458867
