"enhancer"	"status"	"Dl09_cons_prediction_Dorsal09"
"1"	"brk_chrX_7179651_7180651"	"putative"	"off"
"2"	"brk_chrX_7182086_7183086"	"putative"	"off"
"3"	"brk_chrX_7188805_7189805"	"putative"	"off"
"4"	"brk_chrX_7193403_7194403"	"putative"	"off"
"5"	"brk_chrX_7200521_7201521"	"putative"	"off"
"6"	"brk_chrX_7215013_7216013"	"putative"	"off"
"7"	"brk_chrX_7229146_7230146"	"putative"	"off"
"8"	"rho_chr3L_1442993_1443993"	"putative"	"off"
"9"	"rho_chr3L_1446821_1447821"	"putative"	"off"
"10"	"rho_chr3L_1455998_1456998"	"putative"	"off"
"11"	"rho_chr3L_1463125_1464125"	"putative"	"off"
"12"	"rho_chr3L_1479102_1480102"	"putative"	"off"
"13"	"rho_chr3L_1485146_1486146"	"putative"	"off"
"14"	"sog_chrX_15501878_15502878"	"putative"	"off"
"15"	"sog_chrX_15519869_15520869"	"putative"	"off"
"16"	"sog_chrX_15525331_15526331"	"putative"	"off"
"17"	"sog_chrX_15540525_15541525"	"putative"	"off"
"18"	"sog_chrX_15544531_15545531"	"putative"	"off"
"19"	"sog_chrX_15547858_15548858"	"putative"	"off"
"20"	"sna_chr2L_15470825_15471825"	"putative"	"on"
"21"	"sna_chr2L_15474743_15475743"	"putative"	"off"
"22"	"sna_chr2L_15480368_15481368"	"putative"	"off"
"23"	"sna_chr2L_15485845_15486845"	"putative"	"off"
"24"	"sna_chr2L_15491344_15492344"	"putative"	"off"
"25"	"sna_chr2L_15499145_15500145"	"putative"	"off"
"26"	"vnd_chrX_469996_470996"	"putative"	"off"
"27"	"vnd_chrX_483681_484681"	"putative"	"off"
"28"	"vnd_chrX_495283_496283"	"putative"	"off"
"29"	"Kr_chr2R_21085596_21086596"	"putative"	"on"
"30"	"Kr_chr2R_21092223_21093223"	"putative"	"off"
"31"	"Kr_chr2R_21097603_21098603"	"putative"	"off"
"32"	"Kr_chr2R_21103128_21104128"	"putative"	"off"
"33"	"Kr_chr2R_21106502_21107502"	"putative"	"off"
"34"	"Kr_chr2R_21111514_21112514"	"putative"	"off"
"35"	"Kr_chr2R_21119711_21120711"	"putative"	"off"
"36"	"hb_chr3R_4499963_4500963"	"putative"	"off"
"37"	"hb_chr3R_4502047_4503047"	"putative"	"off"
"38"	"hb_chr3R_4506287_4507287"	"putative"	"off"
"39"	"hb_chr3R_4508590_4509590"	"putative"	"off"
"40"	"hb_chr3R_4512682_4513682"	"putative"	"off"
"41"	"hb_chr3R_4519788_4520788"	"putative"	"off"
"42"	"hb_chr3R_4525337_4526337"	"putative"	"off"
"43"	"hb_chr3R_4530961_4531961"	"putative"	"off"
"44"	"hb_chr3R_4541535_4542535"	"putative"	"off"
"45"	"Kni_chr3L_20671323_20672323"	"putative"	"off"
"46"	"Kni_chr3L_20680245_20681245"	"putative"	"off"
"47"	"Kni_chr3L_20688613_20689613"	"putative"	"off"
"48"	"Kni_chr3L_20711729_20712729"	"putative"	"off"
"49"	"eve_chr2R_5842650_5843650"	"putative"	"on"
"50"	"eve_chr2R_5847612_5848612"	"putative"	"off"
"51"	"eve_chr2R_5856429_5857429"	"putative"	"off"
"52"	"eve_chr2R_5867910_5868910"	"putative"	"off"
