name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	0.69	6	6	248	251	1.5984025001	1.7844142914	1.7166600227	3.3386545182	1.0510287285	0.624578381	4.499727446	7.884825416	132.37	1	96.7684
Kvon2014_chrX_19247019_19249314	on	2580.5	9.35	0	0	0	0	0	1.03	0	225	232	0	1.4573624134	0	0	2.5403227807	0	1.388027072	3.922885998	0	1	33.3501
Kvon2014_chr2R_20163256_20165354	on	1872.3	9.6	3.19	0	0.852	0	0.852	4.29	6	264	201	0	1.6315836906	0	0	3.1770429611	0.582350612	2.873861201	5.256086455	0	0	0
Kvon2014_chr3R_736192_738402	on	665.4	6.37	0	0	0	0	0	6	2.278434501	0	178	0	0	0	0	3.1161723137	2.705535561	1.982050001	6.77990511	0	1	119.2899
Kvon2014_chr3L_17437262_17439559	on	533.2	3.91	0	0.582	0	0	0	2.42	0	0	244	0	0	1.8997120857	0	0	0	0.903253275	2.169392033	100.67	0	149.635
Kvon2014_chrX_2324883_2326982	on	1619	21.66	5.01	1.72	2.77	1.32	2.77	12	5.301029996	0	235	2.68227911	3.85602808	3.6068725586	7.4506683349	0.6907844543	0.626852916	2.735381452	5.907520487	113.75	1	77.5599
Kvon2014_chrX_16113737_16115852	on	2235.7	15.86	6.03	2.138	0	0	0	6	6	0	228	0	3.04845047	3.7098698616	0.6422967911	2.3856754303	0.875609636	1.990513802	4.842922151	91.665	0	48.7865
Kvon2014_chr3R_2684413_2686617	on	1685.3	27.61	5.22	0	0	0	0	5.7	4.468521083	0	219	0	3.4730556011	3.5667574406	0	3.1807017326	0	3.603862998	5.440039751	0	0	145.8158
Kvon2014_chr3R_19169758_19171858	on	1360.9	25.2	4.18	0.409	2.677	1.119	2.677	12	6.837489361	0	254	1.6059675217	1.877117157	0	4.6019434928	3.507768631	1.666225942	5.571828337	9.372446288	118.765	2	73.7076
Kvon2014_chrX_19783001_19785201	on	246	0	0	-1.29	-0.6815	0	-0.6815	10.29	6.440894507	0	247	0	0	0	0	0.9832549095	0	2.197661195	3.607725892	0	0	109.9888
Kvon2014_chrX_8667997_8670179	on	250.6	6.65	0	-0.1	1.1875	0	1.1875	5.78	2.031517051	0	195	1.4842994213	0	0	2.7952136994	0.9778785706	0	1.461765003	2.993327914	0	0	30.24084
Kvon2014_chr3R_12747382_12749489	on	1407.3	23.85	10.53	2.5	1.0815	1.361	1.0815	6	6	0	236	1.271343708	4.6415529251	3.5898003578	2.1090216636	4.4110269546	0	6.215073525	8.771819144	158.595	0	45.809
Kvon2014_chr2L_18893565_18895695	on	3045.1	18.08	0	2.89	-1.2235	0	-1.2235	6	10.886056648	0	265	1.0297584534	2.3868618011	3.4785351753	0	2.7635149955	0.653808773	2.89931204	5.219256825	0	0	120.4632
Kvon2014_chr3R_24412727_24414867	on	390.2	37.78	7.7	1.121	0	0	0	0	2.863279433	0	281	0	3.2108402252	2.219979763	0	6.2340714932	1.000677019	6.619741675	10.405569341	122.4	0	67.5782
Kvon2014_chrX_4945256_4947456	on	2217.3	5.66	0	0	1.7385	0.743	1.7385	6	0	0	225	0	0	0	2.6704931259	0.9319667816	0.637166847	0.501138051	3.680403643	106.66	0	0
Kvon2014_chr3R_25088511_25090669	on	723.7	8.31	0	1.008	0.2995	0	0.2995	12	6	0	245	1.7499103546	2.1428728104	2.6214761734	1.8088026047	2.7979588509	2.110905828	3.059112533	6.77214484	0	1	47.4054
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	0	0.797	1.2985	0	1.2985	4.79	3.021819483	0	280	0	2.7144141197	2.223377943	2.6624443531	2.3374700546	0	2.796712539	5.273410966	0	1	135.1676
Kvon2014_chr2L_12665181_12667293	on	1158.5	11.03	3.73	1.423	0.3135	1.254	0.3135	6	5.096910013	0	284	1.9985728264	1.6999077797	2.2713150978	0.8671770096	2.5896019935	2.014200927	4.059187293	7.441187383	0	2	90.84
Kvon2014_chr3L_5974396_5976514	on	549.7	4.05	3.27	0.549	2.846	-0.267	2.846	9.99	9.847711655	0	293	0	0	0	5.7978281975	0	0	1.336554554	3.882665857	0	0	121.969
Kvon2014_chr2R_16483505_16485613	on	166.5	0	0	0.608	0	1.717	0	0.58	0	0	254	3.3122763634	0	0	0.8782548904	0	0	3.106847819	5.548667636	131.28	1	0
Kvon2014_chrX_19742852_19745084	on	145.3	12.32	0	0.275	-0.4715	0	-0.4715	0.81	8.806875402	392	182	0	0	0	0	2.5069556236	0	1.169829845	3.830440589	0	1	104.547
Kvon2014_chr3R_20574703_20575504	on	3189.3	20.28	4.01	1.353	0.6735	1.462	0.6735	6	6	0	296	3.8299741745	3.8471984863	3.1984329224	2.1908082962	2.9537725449	3.589410305	2.301567358	8.592790014	0	1	84.8227
Kvon2014_chr2L_12678950_12681044	on	1394.6	14.25	3.35	1.007	2.8975	0	2.8975	6	6	0	291	0	2.3507757187	2.0096259117	4.7475485802	3.9625964165	0.767221563	3.743391654	7.515943239	0	0	185.2425
Kvon2014_chr2L_12079283_12081369	on	3469.6	26.11	8.41	1.351	1.1125	1.986	1.1125	12	10.638272164	0	202	4.7432594299	3.7508411407	2.9154040813	2.4516644478	5.0786762237	1.980631768	3.810238093	8.792975181	0	0	259.8697
Kvon2014_chr3R_25491743_25493750	on	1328.3	3.77	0	0	0	0	0	1.12	0	0	242	0	0	0	0	0	0.577524735	0.870174289	2.189254298	0	0	0
Kvon2014_chr3R_9705174_9707299	on	980	7.86	4.29	1.734	0.1615	2.186	0.1615	6	5.096910013	0	0	4.1405315399	0	2.6483821869	0	2.6922798157	0.605025679	3.85637331	6.985872358	124.605	0	115.19656
Kvon2014_chr2L_14440355_14442469	on	94.4	35.99	8.79	0	0	0	0	6	5.195102067	0	0	0	3.9734358788	3.1967859268	1.3427553177	4.3859033584	0	6.641803056	8.674594551	115.48	1	118.27766
Kvon2014_chrX_4092742_4094855	on	1716.8	6.33	0	0	0	0	0	3.52	0	0	246	0	0	0	0	0	0.653742154	0.904920006	3.152345594	0	0	0
