Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	2L	15470398	15484912	4.936806678772	15482374	4.736828916213	FBgn0020371	1677	FBgn0003448	8176
2	X	438837	454474	4.435773849487	449622	4.10170656092	FBgn0003986	1759	FBgn0003986	1759
3	2L	20462219	20477811	4.413589000702	20473909	4.204319566488	FBgn0046834	1180	FBgn0046834	1180
4	2R	9069584	9088301	4.395263195038	9085815	4.274616970735	FBgn0033857	4321	FBgn0033856	11363
5	X	15477791	15482584	4.26863193512	15481152	4.128610908985	FBgn0030663	2924	FBgn0003463	20675
6	3L	1442011	1448665	4.26741361618	1445592	3.987003386021	FBgn0004635	1732	FBgn0004635	1732
7	X	7163138	7171411	4.260699748993	7165950	3.913549868266	FBgn0029943	3026	FBgn0024250	12773
8	3R	15163669	15179743	4.247010231018	15176242	4.071022678824	FBgn0038697	24229	FBgn0000463	24307
9	2R	16553353	16557732	4.188101291656	16556121	3.787083233104	FBgn0003391	8620	FBgn0003391	8620
10	2L	86067	95416	4.184234619141	90240	3.928836990805	FBgn0002931	2858	FBgn0002931	2858
11	2L	19150346	19162800	4.105909347534	19150915	3.866501191083	FBgn0010300	21180	FBgn0032762	21560
12	3R	25126391	25137207	4.074968338013	25134678	3.688813712862	FBgn0015622	10688	FBgn0003525	53176
13	2L	9986539	9995031	4.020725727081	9988419	3.738245066474	FBgn0040965	3762	FBgn0040965	3762
14	3L	20329922	20341876	4.009965419769	20339390	3.666163556716	FBgn0028978	3941	FBgn0028978	3941
15	3R	4854498	4867194	4.005449295044	4863476	3.730200234581	FBgn0002932	1713	FBgn0002932	1713
16	2L	9452202	9456538	4.000707626343	9454532	3.709932535887	FBgn0053723	13792	FBgn0002973	17019
17	3L	21075437	21081824	3.996377944946	21080000	3.585550869212	FBgn0037051	10118	FBgn0037051	10118
18	2L	5866647	5873118	3.963508605957	5871202	3.753875115338	FBgn0031745	8279	FBgn0031740	68947
19	3R	8892503	8901463	3.950037002563	8896087	3.742310075199	FBgn0004666	12606	FBgn0003308	37828
20	2L	17741427	17754194	3.931221485138	17744865	3.547279626131	FBgn0015609	9415	FBgn0032646	247827
21	2R	19144253	19157133	3.899723052979	19153296	3.508484447704	FBgn0034886	11880	FBgn0016762	48302
22	2R	2082787	2091627	3.891582965851	2085496	3.803800526787	FBgn0033076	27295	FBgn0041145	36822
23	3R	13872926	13877703	3.888878822327	13875948	3.595877366907	FBgn0010389	2758	FBgn0010389	2758
24	X	13511632	13514747	3.879692077637	13514297	3.338470776876	FBgn0030510	36	FBgn0030510	36
25	3R	17866805	17878917	3.860403060913	17870635	3.41328348833	FBgn0017397	2721	FBgn0017397	2721
26	3L	14111547	14121631	3.841972351074	14119100	3.578422939076	FBgn0042630	22517	FBgn0000411	24779
27	2L	4888203	4894971	3.820433616638	4889540	3.375402196248	FBgn0031644	455	FBgn0031645	2575
28	X	22164328	22169366	3.81750202179	22168555	3.487332400154	FBgn0000719	109972	FBgn0031186	510570
29	3L	715386	741234	3.816868782043	723593	3.695424497128	FBgn0035160	941	FBgn0000575	9345
30	2R	6912525	6917959	3.808418750763	6916420	3.718244373798	FBgn0050506	672	FBgn0082585	3083
31	2R	11302649	11307821	3.786326885223	11305703	3.641123435077	FBgn0050321	2484	FBgn0050089	63442
32	2L	1515904	1519952	3.782124996185	1518210	3.401271104813	FBgn0001174	26	FBgn0001174	26
33	2L	13223629	13231019	3.765071868896	13227321	3.449057691238	FBgn0032490	532	FBgn0032489	2115
34	2R	17050177	17055151	3.761849403381	17053198	3.642005780164	FBgn0050283	5043	FBgn0010415	64448
35	2R	18693544	18702873	3.761383056641	18695530	3.453280508518	FBgn0034833	3522	FBgn0003062	113210
36	3L	20997904	21003140	3.758359909058	21001126	3.500587996315	FBgn0053285	21717	FBgn0037044	39390
37	2L	9143779	9147876	3.757610797882	9145857	3.466658502817	FBgn0051887	16014	FBgn0051887	16014
38	X	18514290	18522553	3.739443778992	18519201	3.587201992671	FBgn0004959	505	FBgn0004959	505
39	2R	17904489	17917392	3.738022327423	17916140	3.648889362812	FBgn0053200	93	FBgn0053200	93
40	2L	4365711	4376026	3.717214584351	4370334	3.469070063697	FBgn0026319	1656	FBgn0026319	1656
41	2R	2884717	2894531	3.706552505493	2892505	3.386274695396	FBgn0033159	1177	FBgn0033159	1177
42	3R	7596291	7607386	3.70384979248	7602333	3.528440594673	FBgn0011471	2493	FBgn0011471	2493
43	3R	10538736	10550576	3.684866428375	10543144	3.130003958941	FBgn0053967	6834	FBgn0051314	20087
44	2L	18646865	18651312	3.666825294495	18648568	3.473012089729	FBgn0032693	345	FBgn0032693	345
45	3L	18995831	19002561	3.659091949463	18998962	3.19118103385	FBgn0002945	11628	FBgn0002945	11628
46	2R	8290582	8297900	3.652804374695	8296011	3.498901367188	FBgn0003326	440	FBgn0003326	440
47	3R	4630395	4640762	3.64364862442	4634076	3.220136950998	FBgn0037635	1457	FBgn0037633	2724
48	3L	13317532	13325477	3.637223243713	13321525	3.229900181293	FBgn0036348	1648	FBgn0036349	31007
49	3L	16728805	16742243	3.628450870514	16738510	3.071077346802	FBgn0036660	6464	FBgn0036660	6464
50	2L	4279742	4288424	3.622943401337	4282154	3.481807172298	FBgn0010473	997	FBgn0003941	54512
51	3L	14936332	14945646	3.603790283203	14941298	3.292476149166	FBgn0040296	1398	FBgn0040296	1398
52	3L	10497300	10501196	3.596643924713	10499675	3.136369368609	FBgn0052062	9723	FBgn0000629	112402
53	3R	1494099	1502377	3.595537662506	1497897	3.406058549881	FBgn0037363	2462	FBgn0037363	2462
54	3R	11471615	11477783	3.591471672058	11475637	3.358427047729	FBgn0053207	16271	FBgn0053207	16271
55	3L	3390906	3396147	3.584014892578	3393655	3.416876733303	FBgn0014388	14812	FBgn0027616	35957
56	2R	19078738	19095808	3.577290534973	19081274	3.166537642479	FBgn0015903	8777	FBgn0015903	8777
57	X	3016596	3022733	3.562567234039	3019210	3.09050655365	FBgn0028746	10068	FBgn0028746	10068
58	3R	933783	937099	3.562503814697	935658	3.316678285599	FBgn0037293	18152	FBgn0010313	23250
59	X	7135999	7143932	3.552025318146	7142483	3.283496912788	FBgn0025549	5943	FBgn0025549	5943
60	3R	24682521	24688300	3.54937171936	24685191	3.406466325124	FBgn0028373	276	FBgn0028373	276
61	2R	9942884	9949435	3.537011146545	9945981	3.300110280514	FBgn0013725	1217	FBgn0013725	1217
62	2R	7308416	7313132	3.534357070923	7310307	3.277485454784	FBgn0033652	4031	FBgn0033652	4031
63	3L	4525418	4533310	3.530253887177	4527701	3.234733048607	FBgn0035558	4725	FBgn0015805	79863
64	3L	12649649	12653044	3.529337882996	12651649	3.161620289087	FBgn0014343	16046	FBgn0036306	77055
65	2R	7146758	7157103	3.527715206146	7152185	3.213305741549	FBgn0033638	3708	FBgn0033638	3708
66	2R	5994430	6002945	3.52068901062	5998432	3.311995618484	FBgn0033529	6459	FBgn0033529	6459
67	3L	7491309	7497548	3.516836166382	7493173	3.227126561678	FBgn0052372	262	FBgn0014011	84047
68	X	1989751	1996221	3.510266304016	1993344	3.436476389567	FBgn0004861	643	FBgn0025626	72052
69	2R	9059386	9066746	3.48561668396	9061853	3.006251699784	FBgn0033853	1042	FBgn0014877	8136
70	3R	8468707	8476492	3.478649139404	8475030	2.96522143152	FBgn0038071	1248	FBgn0038071	1248
71	2R	6091524	6097340	3.477818965912	6093467	3.165752696991	FBgn0004399	23750	FBgn0004399	23750
72	2L	2748398	2761319	3.470372200012	2750621	3.148466640049	FBgn0003075	2099	FBgn0003075	2099
73	3R	4664542	4678118	3.469569206238	4667627	3.223270808949	FBgn0037638	17495	FBgn0011966	19975
74	2L	1401132	1412932	3.463293075562	1410990	3.205696761608	FBgn0002543	9459	FBgn0002543	9459
75	2L	19332361	19339266	3.461709022522	19334201	3.353913187981	FBgn0024245	24952	FBgn0024245	24952
76	2R	1441536	1448183	3.452164173126	1445850	3.087428850286	FBgn0033046	13605	FBgn0033059	137915
77	3R	2926760	2938810	3.446574211121	2931389	3.188544609967	FBgn0040670	11543	FBgn0003884	19129
78	2L	17730413	17740964	3.440740585327	17736706	3.113484522876	FBgn0015609	1256	FBgn0032646	239668
79	2R	8702286	8715644	3.439826488495	8711023	3.258678793907	FBgn0053182	3160	FBgn0028991	5042
80	2L	14438971	14462563	3.437018156052	14445811	3.345648884773	FBgn0028844	5005	FBgn0005771	45051
81	2L	19695507	19699516	3.435056686401	19699426	3.320207214355	FBgn0005590	2462	FBgn0005590	2462
82	3R	22706650	22715760	3.427941799164	22708712	2.890934018528	FBgn0004359	1256	FBgn0002838	7034
83	X	16605479	16612763	3.427395343781	16608945	3.062472432852	FBgn0001250	8426	FBgn0030786	8946
84	3R	7196987	7204990	3.427331447601	7204535	3.2875649333	FBgn0004595	6025	FBgn0026064	28168
85	3L	15947084	15954439	3.419047355652	15951617	3.258931440466	FBgn0012066	1453	FBgn0012066	1453
86	2R	15586754	15590476	3.417338848114	15587489	3.085598665125	FBgn0004364	38885	FBgn0004364	38885
87	3R	14805856	14821946	3.416646957397	14813496	3.174943415324	FBgn0026239	3749	FBgn0026239	3749
88	X	19604877	19618586	3.413170814514	19609120	3.238983154297	FBgn0031071	7745	FBgn0031071	7745
89	3L	12538783	12541797	3.40950345993	12540295	3.249972820282	FBgn0036302	6174	FBgn0004926	39611
90	X	6825854	6836259	3.40754032135	6834190	3.08527172313	FBgn0029927	2464	FBgn0029927	2464
91	3R	19553267	19557276	3.406952381134	19554802	3.128628618577	FBgn0065098	1210	FBgn0028691	4382
92	3L	22332690	22338650	3.403958320618	22336920	3.147323429585	FBgn0004449	4808	FBgn0004449	4808
93	2L	17216434	17221169	3.402597427368	17218422	3.145604554345	FBgn0051745	23057	FBgn0032633	161654
94	2L	14260204	14266937	3.397015571594	14262065	3.158196841969	FBgn0004002	1457	FBgn0028529	93015
95	2R	18550357	18563415	3.39621925354	18557574	3.157357552472	FBgn0003900	3866	FBgn0003900	3866
96	2R	14655987	14660424	3.385743618011	14658954	3.256308106815	FBgn0034418	50	FBgn0000578	2456
97	2L	9148114	9152432	3.382393836975	9150956	3.057334871853	FBgn0032100	13279	FBgn0051887	21113
98	2R	10476521	10482678	3.381799697876	10479009	2.916334211826	FBgn0033987	832	FBgn0033987	832
99	3L	15479248	15484292	3.377257347107	15482227	2.971468342675	FBgn0036503	58	FBgn0036503	58
100	2R	13813560	13817079	3.374720573425	13814854	3.258503324845	FBgn0034326	533	FBgn0034326	533
101	3L	16371611	16378934	3.370129585266	16373179	3.00201523304	FBgn0014163	3919	FBgn0014163	3919
102	3L	2420238	2424373	3.369250774384	2422246	3.180170118809	FBgn0052306	24716	FBgn0053231	26442
103	3R	26578997	26584912	3.368112564087	26580747	2.981129944324	FBgn0039801	8737	FBgn0003720	97290
104	X	14859989	14866476	3.353695869446	14862293	3.000388874727	FBgn0052594	3922	FBgn0030605	35556
105	2L	3601547	3619552	3.340718746185	3609042	3.064199388027	FBgn0002985	2294	FBgn0002985	2294
106	2R	6043911	6055754	3.332036972046	6047885	3.084484736125	FBgn0005630	7190	FBgn0004399	21832
107	2R	12298153	12302087	3.331052303314	12300038	3.168698507197	FBgn0034158	1484	FBgn0025832	70163
108	2R	3469827	3475655	3.330908298492	3473528	3.177756758297	FBgn0026361	207	FBgn0026361	207
109	3L	2560944	2568523	3.330902099609	2566457	2.904371065252	FBgn0010909	3615	FBgn0024939	4525
110	3L	17518991	17523760	3.322503566742	17521135	3.17929837283	FBgn0025455	1912	FBgn0025455	1912
111	X	1977367	1983490	3.321633338928	1979724	2.920375017019	FBgn0004860	1844	FBgn0025626	58432
112	3R	19123122	19128607	3.317852973938	19126323	3.083689004183	FBgn0039071	10412	FBgn0039067	42544
113	2L	6371914	6377583	3.317535877228	6373382	3.120196610689	FBgn0043854	967	FBgn0043854	967
114	3L	4674639	4679487	3.31653213501	4677535	3.01200356203	FBgn0042199	991	FBgn0042199	991
115	2L	4362530	4365504	3.310444355011	4363814	3.108664929867	FBgn0026319	8176	FBgn0026319	8176
116	3L	5951504	5971940	3.307472229004	5967678	2.996225413154	FBgn0052406	3483	FBgn0035656	17726
117	2R	4648825	4652288	3.306472301483	4650490	2.901336580515	FBgn0028955	203	FBgn0033380	24414
118	3R	27017458	27020583	3.305785179138	27018829	2.955135064967	FBgn0004389	117	FBgn0004389	117
119	2R	16109399	16120609	3.300844192505	16115740	3.10684781916	FBgn0050153	4028	FBgn0046816	5204
