name	status	Dorsal	Hairy	Snail	Twist	bicoid	cad	giant	hunchback
Kvon2014_chrX_7513499_7515664	off	1.677550793	0.7563400269	0	0	0	0	0	0
Kvon2014_chrX_2430422_2432556	off	0.800760746	0.7587435246	0	0	0	0	0	0
Kvon2014_chr3R_8883340_8885560	off	0.480847427	0.7665739059	0	0	0	0	0	0
Kvon2014_chr3R_5958301_5960569	off	1.698586173	0.7820701599	0	0	0	0	0	0
Kvon2014_chr3R_14240486_14242476	off	0.534576688	0.8159747124	0	0	0	0	0	0
Kvon2014_chr3L_8945455_8947557	off	0.807041168	0.8327507973	0	0	0	0	0	0
Kvon2014_chr2L_6499627_6501884	off	1.074825138	0.8514032364	0	0	0	0	0	0
Kvon2014_chrX_495360_497457	off	0.42560694	0.8772163391	0	0	0	0	0	0
Kvon2014_chrX_5717567_5719676	off	0.384480524	0.9208991528	0	0	0	0	0	0
Kvon2014_chr2R_10692279_10694426	off	0.436460467	1.0302290916	0	0	0	0	0	0
Kvon2014_chr2R_10672775_10674879	off	0.377533826	1.0798912048	0	0	0	0	0	0
Kvon2014_chr2R_21008128_21010228	off	0.416289777	1.1188983917	0	0	0	0	0	0
Kvon2014_chrX_8167433_8168398	off	2.587512255	1.1560845375	0	0	0	0	0	0
Kvon2014_chrX_1539130_1541499	off	0.568194644	1.2039871216	0	0	0	0	0	0
Kvon2014_chrX_4306811_4309095	off	3.268625804	1.2401208878	0	0	0	0	0	0
Kvon2014_chr3L_6827755_6829851	off	0.424858994	1.3817849159	0	0	0	0	0	0
Kvon2014_chrX_5648026_5648916	off	1.965831252	2.17254138	0	0	0	0	0	0
Kvon2014_chr3L_11811837_11813536	off	0.897836298	2.3213860989	0	0	0	0	0	0
Kvon2014_chrX_17211495_17213586	off	0.445843786	2.3426852227	0	0	0	0	0	0
Kvon2014_chrX_4287602_4289733	off	0.855983003	2.6287336349	0	0	0	0	0	0
Kvon2014_chr3R_11857059_11859316	off	2.409808299	2.9142684936	0	0	0	0	0	0
Kvon2014_chr3L_1882998_1884014	off	2.113748773	0	0	0	0	0	0	0.6029310226
Kvon2014_chr2R_2001448_2003519	off	2.106238477	0	0	0	0	0	0	0.633764267
Kvon2014_chrX_7184255_7185361	off	2.357335035	0	0	0	0	0	0	0.6447529793
Kvon2014_chrX_5502834_5504984	off	1.426888555	0	0	0	0	0	0	0.7229170799
