name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
brk_chrX_7179503_7181003	putative	84.7	0	0	1.099	1.4865	0	1.4865	0	1.385609053	318	0	0	0	2.6170692444	2.2740426063	0	0	2.260393355	3.72923185	213.945	0	0
brk_chrX_7187451_7189451	putative	641.2	6.94	0	0	0	0	0	8.7	4.769551079	0	220	0	1.6244683266	0	0	0	0	1.3566776	3.714012635	0	2	89.5736
brk_chrX_7190430_7191930	putative	1326.6	32.99	4.8	1.747	1.5845	1.185	1.5845	6	6.686622164	0	212	3.0830516815	3.6291837692	2.8587055206	3.9246501922	0	5.186784604	3.283496913	10.827616552	449.86	1	215.413
brk_chrX_7193297_7194797	putative	564.1	5.38	0	0	-0.4825	0	-0.4825	2.55	3.081969663	0	187	0	0	0	0	1.050652504	0.771063614	1.36999224	4.281518888	0	1	37.4386
brk_chrX_7200185_7202185	putative	919.3	10.05	0	0.11	1.372	0	1.372	7.92	5.15490196	0	221	0	0	0	2.176970005	3.0392551422	0.763257951	1.234079109	5.088268616	0	1	224.3346
brk_chrX_7212725_7214225	putative	82.4	15.72	4.91	0.895	1.1965	0	1.1965	7.57	0	0	267	3.3660674095	2.8430867195	2.7490310669	3.5202078819	3.8751306534	7.370764796	3.913549868	14.174147002	403.845	1	30.3674
brk_chrX_7214313_7216313	putative	1802.5	15.72	4.91	0.895	1.1965	0	1.1965	6	6	0	267	3.3660674095	2.8430867195	2.7490310669	3.5202078819	3.8751306534	6.764658038	3.913549868	13.568040244	509.4	1	565.7418
brk_chrX_7217652_7219152	putative	208.8	4.53	0	0	0	0	0	5.52	0	295	0	0	0	0	0.7160625458	0	0.641145145	1.030387461	4.561364944	192.685	2	27.7434
rho_chr3L_1446508_1448508	putative	930.2	7.73	0	-0.068	1.8565	0	1.8565	5.15	0	0	204	0	2.0046653748	0	2.6027097702	0	0.853884921	4.827185547	6.65968158	0	0	0
rho_chr3L_1455852_1457352	putative	196.8	3.74	0	1.329	0.6235	0	0.6235	9.1	6.833037336	0	0	0.960226059	0	2.2892861366	0	5.3181676865	0.905149221	2.016772181	3.964682489	0	0	248.711
rho_chr3L_1462596_1464596	putative	299.8	15.59	4.66	1.12	1.972	0	1.972	6	6.510090715	0	320	1.7550730705	1.6685671806	2.2661995888	4.7513985633	3.024261713	6.78085604	5.804787642	14.809970197	592.01	1	155.7504
rho_chr3L_1470616_1472116	putative	200.8	0	0	0	0	0	0	2.21	0	0	0	0	0	0	0	0	0	0	0	0	1	0
rho_chr3L_1478490_1480490	putative	939.9	5.58	0	1.132	0.9955	0	0.9955	5.7	0.665540217	0	268	0	0	2.3538818359	1.7419157028	3.2459259033	0.569459597	1.825059386	4.188856881	0	0	133.1106
rho_chr3L_1484569_1486069	putative	123.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.336000695	2.086890367	0	1	0
sog_chrX_15501441_15502941	putative	1715.6	10.9	0	0	0	0	0	6	0	0	205	0	1.7501754761	0	0	2.5326480866	1.862237632	1.78405413	5.552891641	0	1	22.5458
sog_chrX_15518803_15520803	putative	1847.7	13.88	0	0	0	0	0	6	4.920818754	0	0	2.3189630508	2.1325831413	2.7541308403	1.6367964745	0	3.833027077	2.425102333	7.804739861	500.355	0	151.4775
sog_chrX_15540268_15541768	putative	3288.8	28.88	6.85	0	0	0	0	6	6	429	223	2.5759067535	3.9179930687	3.2103228569	1.9363908767	3.0505275726	6.196304091	4.128610909	13.029086012	441.975	1	687.16
sna_chr2L_15470396_15472396	putative	472.6	6.62	0	0	0	0	0	4.19	5.397940009	0	0	0	1.7355837822	0	0	4.306289196	0	2.407788494	3.620017814	211.04	1	120.356
sna_chr2L_15474872_15476372	putative	450.2	4.28	0	0	0	0	0	2.64	3.156767222	0	0	0	0	1.8253712654	5.3072600365	0	0.737147629	5.351741886	6.757145938	0	0	0
sna_chr2L_15478476_15480476	putative	4142.9	15.83	4.39	2.418	0.5625	0.828	0.5625	6	10.958607315	0	317	2.4068827629	2.6142411232	2.472032547	3.391523838	2.7403459549	5.503599524	8.516450977	16.448382115	517.935	0	414.475
sna_chr2L_15481457_15483457	putative	898.2	23.03	0	0	1.3805	0	1.3805	6	7.038692835	0	289	0	0	0	3.0588431359	0	3.948665822	8.516450977	14.893448413	245.875	1	154.74
sna_chr2L_15485071_15487071	putative	3502.8	14.85	4.28	1.26	1.7065	0	1.7065	6	6	0	0	0.6955165863	2.4746322632	2.7415151596	4.1850023269	4.7911396026	5.626993852	7.578786426	15.554390539	404.525	1	2343.178
sna_chr2L_15490994_15492994	putative	272.4	7.8	4.58	0.47	0.9485	0	0.9485	6	5.698970004	0	0	0	0	1.9499082565	3.2237820625	3.2607693673	1.736147433	2.842194706	6.924730181	201.62	0	210.7134
sna_chr2L_15498782_15500282	putative	62.4	4.03	0	-0.942	0	0	0	3.07	0	424	0	0	0	0	0	1.8282928467	0	1.360692859	3.554277021	276.57	0	59.0396
vnd_chrX_469691_471191	putative	383.3	0	0	0	0	0.519	0	4.21	1.326803935	0	279	0	0	0	0	0	0	1.111833772	2.696829966	0	0	0
vnd_chrX_477732_479232	putative	308.3	7.98	3.79	0.822	0.9895	0.661	0.9895	6	0.63344444	0	0	2.0105030537	1.7905106544	2.4302349091	1.7364068032	1.0048112869	4.478419125	4.101706561	11.687669989	264.005	0	103.5576
vnd_chrX_482935_484935	putative	760.3	11.71	0	0	-1.255	0	-1.255	0	6	0	286	0	1.721657753	0	0	4.7988033295	4.531867666	4.101706561	11.74111853	0	0	251.719
vnd_chrX_485865_487365	putative	2382.1	10.05	3.78	0.629	0.0755	1.432	0.0755	6	6	0	286	3.4710812568	1.7364516258	2.208568573	1.8726758957	2.5656886101	6.910417389	4.101706561	14.119668253	478.045	0	580.224
vnd_chrX_488904_490404	putative	893	3.55	0	0	-1.191	0	-1.191	0	6	0	0	0	0	0	0	0	0	1.176128612	4.283672915	0	0	39.8725
Kr_chr2R_21086366_21087866	putative	200.8	5.66	0	0.86	1.4565	-1.874	1.4565	0	5.522878745	634	0	0	0	0	2.6504626274	3.8109850883	0	1.336372882	2.188080132	0	1	5.28782
Kr_chr2R_21090807_21092307	putative	264.9	4.46	0	0.546	0.2805	0	0.2805	4	2.228412519	0	373	0	0	0	1.0708417892	0	0	1.477176189	2.167839254	0	1	29.5238
Kr_chr2R_21093162_21094662	putative	93.8	4.67	0	0	0	0	0	5.7	8.911155437	0	0	0	0	0	0	0	0	1.477176189	2.167839254	0	1	36.668
Kr_chr2R_21097226_21098726	putative	236.8	0	0	0.375	0	0	0	5	0	0	0	0	0	0	0	0	0	1.655733426	2.200494845	0	1	10.5054
Kr_chr2R_21099156_21100656	putative	244.3	0	0	0	0.9975	0	0.9975	0	0	0	0	0	0	0	1.7447700501	0	0	1.0237613	1.0237613	0	1	17.7766
Kr_chr2R_21102798_21104298	putative	533.7	0	0	0	1.258	0	1.258	1.85	0	0	0	0	0	0	1.9854741097	0	0	0.942537586	2.106759141	0	1	46.3879
Kr_chr2R_21106279_21107779	putative	227.7	0	0	1.144	0.8255	0	0.8255	6	5.22184875	0	0	0	0	2.2226638794	1.7369122505	0	0.697651815	1.719389354	3.105902062	0	1	20.2108
Kr_chr2R_21109838_21111838	putative	2441	9.09	4.49	1.206	4.4085	1.753	4.4085	6	2.177505015	0	293	5.3699207306	3.1689620018	3.2632937431	8.0693802833	2.2767724991	0.897438947	1.16891861	4.535420278	198.906008	2	0
Kr_chr2R_21112081_21114081	putative	2526.2	10.73	5.79	1.641	4.4085	0	4.4085	5.22	3.756961951	0	395	3.4243993759	3.1689620018	3.2632937431	8.0693802833	3.7404403687	0	2.22946843	4.698531151	174.535	1	45.0324
Kr_chr2R_21119441_21120941	putative	131.6	0	0	-0.164	0.1505	0	0.1505	0	0	0	0	0	0	0	0	0	0	0.828633104	1.508029986	0	0	5.28782
hb_chr3R_4498732_4500232	putative	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0.434321165	0	1	0
hb_chr3R_4511649_4513149	putative	148.2	0	0	0	-0.5055	0	-0.5055	6.35	11.15490196	0	0	0	0	0	3.5827264786	0	0	3.623288811	4.584650107	0	0	60.7994
hb_chr3R_4513501_4515001	putative	95.5	3.68	0	0.825	0	0.432	0	1.18	5.15490196	0	0	1.8546051979	0	2.0842990875	2.5362825394	2.0258703232	0	3.623288811	4.584650107	0	1	65.4194
hb_chr3R_4519284_4520784	putative	2296.3	7.67	3.4	0.947	2.1135	2.303	2.1135	5.1	0.422339341	0	436	5.1933445931	1.8048601151	2.5375771523	4.481754303	3.6396965981	0.936941652	2.307757139	3.244698791	219.64	1	0
hb_chr3R_4525234_4527234	putative	2777.3	21.24	19.01	3.969	4.5225	3.626	4.5225	12	11.698970004	586	405	6.7940149307	3.6134037972	4.0608277321	8.8424143791	4.236954689	2.213321626	4.439696228	8.923198753	378.22	1	0
hb_chr3R_4540931_4542431	putative	62.9	0	0	0	-0.1355	0	-0.1355	0	4.113509275	574	0	0	0	0	0	0	0	1.998715036	3.225223862	0	1	0
