Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	X	16047683	16053362	4.57906293869	16051196	4.084778168622	FBgn0000459	525	FBgn0000459	525
2	X	1977367	1983490	3.969808578491	1979834	3.402559060317	FBgn0004860	1954	FBgn0025626	58542
3	3R	12588235	12593069	3.923533439636	12589842	3.312612175941	FBgn0020556	9069	FBgn0020556	9069
4	2R	14803872	14812285	3.890706062317	14808034	3.341254488627	FBgn0034431	603	FBgn0034430	968
5	2R	8485205	8509399	3.882394313812	8501615	3.705254442552	FBgn0005624	4719	FBgn0005624	4719
6	2R	13314191	13332188	3.882357597351	13316600	3.42405574462	FBgn0004586	1052	FBgn0004586	1052
7	3R	4004532	4021585	3.865568161011	4007379	3.49476629893	FBgn0001138	215	FBgn0037554	51850
8	X	18129537	18151199	3.829557418823	18143629	3.660978794098	FBgn0004956	1867	FBgn0004956	1867
9	3R	12059537	12084435	3.774876594543	12068428	3.348173201084	FBgn0040071	17057	FBgn0011253	29748
10	2L	5459488	5468691	3.766817331314	5461592	3.396824687719	FBgn0005511	49	FBgn0005511	49
11	X	16163433	16174466	3.751033782959	16167376	3.368476166445	FBgn0011764	173	FBgn0011764	173
12	X	13822073	13832025	3.746321678162	13828947	3.490288066864	FBgn0000173	1344	FBgn0027537	172207
13	3R	665709	695625	3.731913566589	678469	3.346033424139	FBgn0003002	66	FBgn0003002	66
14	3R	17422107	17434784	3.708955764771	17431406	3.333684921265	FBgn0046832	16840	FBgn0046832	16840
15	3R	26733888	26749095	3.70074224472	26738391	3.292837279184	FBgn0020912	219	FBgn0003720	60354
16	2L	1953007	1965887	3.700679779053	1954641	3.49950158596	FBgn0031375	122	FBgn0031391	192646
17	2R	6031547	6082707	3.697479963303	6047339	3.542134817909	FBgn0005630	7736	FBgn0004399	22378
18	X	3015072	3021889	3.687361240387	3019279	3.357412934303	FBgn0028746	9999	FBgn0028746	9999
19	3L	14134656	14147619	3.673757553101	14143142	3.684740150676	FBgn0000411	737	FBgn0000411	737
20	2L	3814641	3830453	3.627861499786	3825528	3.481479925268	FBgn0003430	152	FBgn0003430	152
21	X	20494606	20514504	3.624890327454	20504887	3.351116307576	FBgn0003300	230	FBgn0003300	230
22	2L	16479187	16484677	3.618453502655	16482365	3.562751798069	FBgn0005677	452	FBgn0025678	129675
23	3L	353654	365791	3.597619056702	361799	3.553363545736	FBgn0003749	951	FBgn0035136	16884
24	3L	19825253	19845714	3.581773757935	19829470	3.337717396872	FBgn0014037	13756	FBgn0014037	13756
25	2L	8821161	8835378	3.578305244446	8825527	3.171181042989	FBgn0029123	98	FBgn0029123	98
26	X	16990752	17008915	3.575980186462	16994491	3.206753313541	FBgn0000163	385	FBgn0000163	385
27	X	12540937	12591273	3.555547714233	12585838	3.320079267025	FBgn0030418	7435	FBgn0053963	92439
28	3L	10486960	10494635	3.545288085938	10490432	3.491270637512	FBgn0052062	480	FBgn0000629	121645
29	3R	658734	663913	3.531955718994	661308	3.272761106491	FBgn0037284	4323	FBgn0003002	17227
30	2R	5985979	6000826	3.527677536011	5998340	3.345825254917	FBgn0033529	6367	FBgn0033529	6367
31	3R	8249876	8260416	3.526314735413	8251748	2.824573814869	FBgn0004103	109	FBgn0004103	109
32	3R	24408036	24415776	3.522551059723	24411232	2.785150647163	FBgn0000659	427	FBgn0000659	427
33	2R	8701625	8715271	3.516226768494	8706165	3.172313928604	FBgn0028991	184	FBgn0028991	184
34	2R	7038184	7055468	3.49072933197	7044077	3.414305114746	FBgn0000577	40	FBgn0000577	40
35	2L	19150346	19168310	3.487714767456	19154182	3.16321934594	FBgn0032763	23449	FBgn0032762	24827
36	2L	18770309	18781705	3.487478256226	18778923	3.284398415509	FBgn0045852	690	FBgn0032717	56673
37	X	19593476	19631268	3.486265659332	19622431	3.083772939794	FBgn0031071	5566	FBgn0031071	5566
38	3R	12500992	12533373	3.481895685196	12528752	3.135577229893	FBgn0003944	31596	FBgn0063261	48359
39	X	1989751	2006717	3.468639373779	1993409	3.485212053571	FBgn0004861	708	FBgn0025626	72117
40	3L	2415700	2431089	3.468271255493	2422246	3.171342670918	FBgn0052306	24716	FBgn0053231	26442
