enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
brk_chrX_7179952_7180452	Zelda500	84.7	0	0	0	1.4865	0	0.651	0	0	0	0	0	318	0	0	0	1.7323923111	2.6170692444	2.2740426063	0	0	0	0	148.8	0	0	0	0	0	0	0	0	237.605890228	452.825841342	5029.1108957	262.732718894	7467.23997238	6870.86553323	102.93633218	183.086334746	5988.0441447
brk_chrX_7187371_7189371	Zelda500	641.2	6.94	0	0	0	0	0	0	0	1271.84	5.98	4.769551079	0	220	0	1.6244683266	2.5519652367	0	0	0	0	3.5120248795	0	0	0	0	1285.43	0	2	0	89.5736	1220.98	625.143669717	351.75	5437.30979041	487.3	7467.23997238	7044.89251323	363.9	618.5	5188.03574347
brk_chrX_7190956_7191456	Zelda500	1326.6	32.99	4.8	1.747	1.5845	1.185	1.021	5117.92	0	1271.84	6	6	0	212	3.0830516815	3.6291837692	2.5519652367	2.8587055206	3.9246501922	0	5.6250081062	7.1214060783	2781.23	427.91	0	0	0	1290.19	0	1	215.413	0	3128.49239281	2373.02752294	5437.30979041	1669.72638037	7467.23997238	7604.61040712	1983.55304348	1165.15353017	4856.14630468
brk_chrX_7193686_7194186	Zelda500	564.1	5.38	0	0	-0.4825	0	0	0	0	0	2.55	3.081969663	0	187	0	0	2.2297449112	0	0	1.050652504	0.9314813614	1.8131861686	0	0	0	0	0	0	1	1	37.4386	0	1585.08451128	530.735785953	5874.26923453	834.396460177	7467.23997238	7604.61040712	1171.39918367	1628.88050955	6421.3565288
brk_chrX_7199847_7201847	Zelda500	919.3	10.05	0	0.11	1.372	0	1.248	0	2519.19	2531.23	7.92	5.15490196	0	221	0	0	3.3568906784	0	2.176970005	3.0392551422	1.038151741	3.1514825821	0	0	0	0	0	0	0	1	173.8061	0	1037.69170611	1181.58567775	5791.95786506	450.75	6863.00426348	6712.14986107	850.05	556.402664044	6421.3565288
brk_chrX_7201255_7201755	Zelda500	696.2	10.05	0	0	0.4325	0	1.248	0	0	1246.92	4.7	5.15490196	0	221	0	0	3.3568906784	0	0	3.0392551422	0	3.1514825821	0	0	0	0	0	0	1	0	169.7865	0	577.188235294	1181.58567775	5874.26923453	505.138339921	5716.27701875	7736.56432044	634.075134814	592.700749625	6421.3565288
brk_chrX_7213246_7213746	Zelda500	0	0	0	0	1.1965	0	0	0	0	0	1.57	0	0	267	0	0	3.1426887512	2.7490310669	3.5202078819	3.8751306534	8.0653748512	4.4353618622	0	0	977.37	0	1610.3	0	1	0	30.3674	0	1711.00266018	1443.91066161	5431.58943697	1635.95947368	7616.67222407	7736.56432044	1486.7107438	1370.54820717	4798.45405227
brk_chrX_7214329_7216329	Zelda500	1802.5	15.72	4.91	0.895	1.1965	0	0.986	5550.59	1129.55	4052.34	6	6	0	267	3.3660674095	2.8430867195	3.1426887512	2.7490310669	3.5202078819	3.8751306534	7.469039917	4.4353618622	5725.24	509.4	0	0	1246.45	0	1	2	565.7418	0	1752.04988142	1495.35942041	5431.80667893	981.1202781	7465.69750721	7736.56432044	831.35	1339.10485981	4935.52560647
brk_chrX_7218158_7218658	Zelda500	208.8	4.53	0	0	0	0	-0.94	2466.24	0	0	5.52	0	295	0	0	0	3.1426887512	0	0.7160625458	0	0.7577009201	2.1583714485	0	192.685	0	0	1285.43	0	1	0	0	0	1100.16586826	1537.74036236	6015.28978841	816.61205165	7560.57549421	7736.56432044	1140.83474337	727.769985975	5760.99167822
rho_chr3L_1446931_1447431	Zelda500	0	7.73	0	-0.38	1.8565	0	0.116	0	1216.25	0	5.15	0	0	204	0	2.0046653748	1.0537323952	0	2.6027097702	0	0.9066991806	1.3389410972	0	0	0	1482.69	1207.46	1617.36	0	0	0	0	783.425641026	2253.76755522	6340.31216362	921.619811321	7502.67051698	7401.18065504	765.502597403	513.061520999	6351.78830811
