"name"	"P"	"prediction_RDl_unbalanced"
"1"	"brk_chrX_7179397_7181397"	"putative"	"off"
"2"	"brk_chrX_7190014_7192014"	"putative"	"on"
"3"	"brk_chrX_7214613_7216613"	"putative"	"on"
"4"	"brk_chrX_7217496_7219496"	"putative"	"off"
"5"	"rho_chr3L_1461107_1463107"	"putative"	"on"
"6"	"rho_chr3L_1463338_1464838"	"putative"	"off"
"7"	"sog_chrX_15518274_15519774"	"putative"	"on"
"8"	"sog_chrX_15519805_15521305"	"putative"	"off"
"9"	"sog_chrX_15540277_15541777"	"putative"	"on"
"10"	"sna_chr2L_15470444_15472444"	"putative"	"on"
"11"	"sna_chr2L_15479269_15480769"	"putative"	"on"
"12"	"sna_chr2L_15481656_15483656"	"putative"	"on"
"13"	"sna_chr2L_15485102_15487102"	"putative"	"on"
"14"	"sna_chr2L_15491106_15492606"	"putative"	"on"
"15"	"sna_chr2L_15498902_15500402"	"putative"	"off"
"16"	"vnd_chrX_477537_479037"	"putative"	"on"
"17"	"vnd_chrX_486355_487855"	"putative"	"on"
"18"	"Kr_chr2R_21109888_21111888"	"putative"	"on"
"19"	"Kr_chr2R_21112701_21114701"	"putative"	"on"
"20"	"hb_chr3R_4518985_4520985"	"putative"	"on"
"21"	"hb_chr3R_4524862_4526862"	"putative"	"on"
"22"	"Kni_chr3L_20685077_20686577"	"putative"	"off"
"23"	"Kni_chr3L_20687425_20688925"	"putative"	"on"
"24"	"Kni_chr3L_20689390_20690890"	"putative"	"on"
"25"	"Kni_chr3L_20692313_20693813"	"putative"	"on"
"26"	"Kni_chr3L_20704083_20705583"	"putative"	"off"
"27"	"eve_chr2R_5862433_5863933"	"putative"	"on"
"28"	"eve_chr2R_5864438_5866438"	"putative"	"on"
"29"	"eve_chr2R_5870959_5872459"	"putative"	"on"
"30"	"eve_chr2R_5872688_5874188"	"putative"	"on"
"31"	"eve_chr2R_5875747_5877247"	"putative"	"off"
