enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chrX_8667997_8670179	on	250.6	6.65	-1.071117458	-0.1	1.1875	-1.95191288852	0.858	2750.57	-10829.7231927	-1080.28955536	5.78	2.031517051	-138.540774638	195	1.4842994213	-0.611727783828	1.719823122	-0.583052405011	2.7952136994	0.9778785706	-0.537019526686	3.7403783798	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	30.24084	-784.212239968	1319.02014452	1601.08146845	6081.65133898	740.950370241	7226.26406854	7121.12068966	771.014506281	842.906186416	5798.57331118
Kvon2014_chr3L_12641178_12643551	on	1239.7	13	3.28	0.562	1.7775	-1.95191288852	1.079	-11421.256804	-10829.7231927	1296.77	6	2.527975302	-138.540774638	-92.1272047072	-0.503921059384	1.8916797638	2.942949295	2.1938958168	3.2803149223	0.6129808426	-0.537019526686	2.7328624726	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1551.93	-0.320791411368	1	30.3674	-784.212239968	2113.21374432	3213.23031906	6149.64425349	1397.14895378	7589.43336831	7814.69342526	1662.63020754	914.327855036	6172.50295758
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	-1.071117458	0.797	1.2985	-1.95191288852	1.745	4181.49	-10829.7231927	-1080.28955536	4.79	3.021819483	-138.540774638	280	-0.503921059384	2.7144141197	2.7202825546	2.223377943	2.6624443531	2.3374700546	-0.537019526686	3.5724534988	1616.01	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.296144837142	135.1676	-784.212239968	1978.42732004	2727.4050359	6859.16779601	1327.90970865	8047.08101989	8027.89275188	1291.72077653	1303.30233896	6977.36000305
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	-1.071117458	-2.19971455194	0.618	-1.95191288852	0.063	1257.84	1080.02	1309.23	6	6	470	347	-0.503921059384	-0.611727783828	2.8705043793	-0.583052405011	2.2688522339	1.9577102661	2.6307616234	5.3300724029	1165.21	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1	1	168.6814	-784.212239968	2215.60996663	2266.92896344	6807.68190759	1062.56519833	8097.40460157	8285.99051441	1268.77232255	559.566963951	4821.42693365
Kvon2014_chr3R_2488662_2490888	on	1160.7	-4.04903426872	-1.071117458	1.027	-0.5085	0.979	0.226	2577.5	1228.63	-1080.28955536	6	4.420216403	-138.540774638	-92.1272047072	2.8528375626	-0.611727783828	1.6079716682	2.0711603165	-0.887609692841	2.3322563172	-0.537019526686	3.5719032287	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1656.62	-0.320791411368	-0.296144837142	104.547	-784.212239968	1575.88530738	2794.27552122	6203.86389044	910.922567998	7794.71360333	7921.22933232	1000.10531765	1048.74815141	5850.60735977
Kvon2014_chr2R_10686988_10689103	on	632.1	4.58	-1.071117458	0.281	0.9375	0.62	1.395	1455.64	-10829.7231927	-1080.28955536	8.57	0.60046126	-138.540774638	-92.1272047072	0.9347286224	-0.611727783828	2.0243473053	-0.583052405011	-0.887609692841	-0.869706721074	-0.537019526686	2.5971963406	1165.21	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	21.7384	-784.212239968	1987.8128221	2974.26278754	6603.11581721	801.300388878	7873.92409195	7905.25406333	340.51617045	835.274005332	6481.93753218
Kvon2014_chr2L_12606738_12608834	on	767.1	9.05	-1.071117458	1.761	0.803	-1.95191288852	1.676	3588.1	2345.81	-1080.28955536	6	0.814752574	-138.540774638	-92.1272047072	-0.503921059384	1.4777686596	0.915450573	2.4841609001	0.9402160645	0.83689785	0.9395074844	3.7024526596	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1	-0.296144837142	-59.2812955354	1308.19	2552.8548988	3274.64133385	6305.00895456	820.681518662	7964.79739928	7634.58182592	1043.59755015	891.771379766	6682.18322365
Kvon2014_chr3R_12716036_12718170	on	553.2	21.34	5.32	0.509	1.7625	-1.95191288852	1.786	3711.71	-10829.7231927	-1080.28955536	6	6	-138.540774638	-92.1272047072	-0.503921059384	3.3990535736	2.219648838	1.7626962662	3.6835465431	0.8233356476	0.7259988785	5.7677645684	-808.162744989	143.835	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	1	157.414	1196.06	2611.18320332	2980.85440588	6606.59909026	915.76690506	7917.19442559	8165.48924749	577.932005835	1175.85996026	6654.3212057
Kvon2014_chr3L_15322214_15324305	on	-488.754195154	6.16	-1.071117458	-2.19971455194	0.5615	-1.95191288852	-0.36	3847.71	-10829.7231927	-1080.28955536	5.4	5.301029996	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	1.9942417145	-0.583052405011	-0.887609692841	2.0351381302	-0.537019526686	3.8295621872	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	1	88.61612	-784.212239968	1894.71330475	3632.25398612	6759.27499292	737.159253945	8400.29889204	8583.33333333	715.87757054	414.643851213	7117.67175121
Kvon2014_chr2L_3820069_3822166	on	1422.2	13.32	-1.071117458	0.682	2.1945	-1.95191288852	1.038	1282.57	1228.63	-1080.28955536	6	6	-138.540774638	397	2.3643693924	2.9986009598	3.6278614998	1.9991455078	4.2161867619	2.5722570419	0.9141426086	4.7804069519	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1337.41	-658.634837531	1	1	133.2583	1457.7	2225.30898971	3016.08403576	6724.38872492	950.243517281	7969.23417653	7957.78902954	631.957130455	1175.65226849	6815.74214408
