egr,2R,5971715,5965871,+,putative,DE
Doc1,3L,9038142,9034475,+,putative,DE
Ect3,3R,7829238,7825000,+,putative,DE
Ect4,3L,8101997,8056974,+,putative,DE
C15,3R,17338536,17325708,+,putative,DE
Doc3,3L,9000349,8998296,+,putative,DE
RhoL,3R,5328303,5322823,-,putative,MES
Mes2,3L,22945348,22938757,+,putative,MES
Ilp4,3L,9797363,9796499,-,putative,MES
Mes4,2R,18300087,18299294,+,putative,MES
Mdr49,2R,8833852,8827828,-,putative,MES
Cyp310a1,2L,18653010,18651058,-,putative,MES
gcm,2L,9581745,9579498,-,putative,MES
ry,3R,8863742,8858250,+,putative,MES
CG12177,X,13574533,13571932,-,putative,MES
Neu2,3L,21483686,21477991,-,putative,NEE
Sulf1,3R,12165297,12136264,-,putative,NEE
Socs36E,2L,18152417,18138675,-,putative,NEE
SoxN,2L,8829670,8825645,+,putative,NEE
dpp,2L,2459823,2428372,+,putative,DE
pnr,3R,11867518,11851801,+,putative,DE
Ance,2L,13909212,13905645,+,putative,DE
tld,3R,20579232,20575453,+,putative,DE
tup,2L,18881261,18859507,-,putative,DE
ush,2L,540560,476220,+,putative,DE
zen,3R,2579916,2578586,-,putative,DE
fog,X,22257030,22226153,-,putative,MES
htl,3R,13878706,13870938,-,putative,MES
Mef2,2R,5846363,5801001,-,putative,MES
sna,2L,15478260,15476593,-,putative,MES
tin,3R,17207692,17204699,+,putative,MES
twi,2R,18935848,18872897,+,putative,MES
zfh1,3R,26614924,26591648,+,putative,MES
brk,X,7205165,7201972,+,putative,NEE
ind,3L,15037024,15035899,-,putative,NEE
l(1)sc,X,304850,303754,+,putative,NEE
rho,3L,1468944,1463811,+,putative,NEE
sim,3R,8903846,8883477,+,putative,NEE
sog,X,15527467,15497316,-,putative,NEE
vnd,X,492184,476154,+,putative,NEE
