Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	2L	15472445	15484620	5.066740989685	15482338	4.706767951741	FBgn0020371	1641	FBgn0003448	8140
2	X	439157	451108	4.568598270416	449653	4.243918699377	FBgn0003986	1790	FBgn0003986	1790
3	X	7163307	7168287	4.435361862183	7165950	4.095966974894	FBgn0029943	3026	FBgn0024250	12773
4	3L	1444073	1448340	4.377258777618	1445592	4.13201379776	FBgn0004635	1732	FBgn0004635	1732
5	X	15479539	15482300	4.373597145081	15481077	4.300381958485	FBgn0030663	2849	FBgn0003463	20600
6	2L	20472549	20476872	4.357594490051	20473909	4.180272638798	FBgn0046834	1180	FBgn0046834	1180
7	2R	16554479	16557594	4.296790122986	16556121	3.766394615173	FBgn0003391	8620	FBgn0003391	8620
8	2R	9074805	9088240	4.213128566742	9085779	4.162700092091	FBgn0033857	4357	FBgn0033856	11327
9	2L	19150346	19155408	4.177241802216	19150915	3.966111519757	FBgn0010300	21180	FBgn0032762	21560
10	3R	15174710	15179373	4.168733596802	15176242	3.920535311979	FBgn0038697	24229	FBgn0000463	24307
11	3R	4858366	4866488	4.113018035889	4863614	3.611302740434	FBgn0002932	1575	FBgn0002932	1575
12	3R	25129555	25136205	4.105248451233	25134678	3.649513032701	FBgn0015622	10688	FBgn0003525	53176
13	2L	88528	92900	4.090495586395	90240	3.826866570641	FBgn0002931	2858	FBgn0002931	2858
14	2R	2083969	2090754	4.058420658112	2085496	3.817324189579	FBgn0033076	27295	FBgn0041145	36822
15	2L	5869602	5872719	4.048583984375	5871202	3.82372934678	FBgn0031745	8279	FBgn0031740	68947
16	2L	9987038	9990879	4.048296928406	9988419	3.691564335543	FBgn0040965	3762	FBgn0040965	3762
17	3L	721894	730084	4.038353919983	723593	3.685078978539	FBgn0035160	941	FBgn0000575	9345
18	3L	20332152	20341443	4.033563613892	20336733	3.58191947376	FBgn0028978	1284	FBgn0028978	1284
19	2L	9452488	9456194	4.019063472748	9454532	3.612413853407	FBgn0053723	13792	FBgn0002973	17019
20	3L	21075709	21081321	4.009922981262	21080000	3.539334858165	FBgn0037051	10118	FBgn0037051	10118
21	2R	17913817	17917267	3.992786884308	17916140	3.660362780094	FBgn0053200	93	FBgn0053200	93
22	2L	4888412	4894122	3.989206790924	4889540	3.30629269282	FBgn0031644	455	FBgn0031645	2575
23	2R	6912727	6917799	3.977728843689	6916531	3.766343295574	FBgn0050506	783	FBgn0082585	3194
