name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	0.69	6	6	248	251	1.5984025001	1.7844142914	1.7166600227	3.3386545182	1.0510287285	0.624578381	4.499727446	7.884825416	132.37	1	96.7684
Kvon2014_chr2R_20163256_20165354	on	1872.3	9.6	3.19	0	0.852	0	0.852	4.29	6	264	201	0	1.6315836906	0	0	3.1770429611	0.582350612	2.873861201	5.256086455	0	0	0
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	0	0.797	1.2985	0	1.2985	4.79	3.021819483	0	280	0	2.7144141197	2.223377943	2.6624443531	2.3374700546	0	2.796712539	5.273410966	0	1	135.1676
Kvon2014_chr3R_6418595_6420751	on	156.7	4.03	0	0.166	0.3465	0	0.3465	6	5.698970004	0	370	0	1.6264634132	1.567864418	0.8182115555	0	0.642930269	4.227974475	7.187065482	0	0	122.3602
Kvon2014_chr2R_12671212_12673370	on	2145.8	10.25	0	0	0	0	0	6	6	429	292	0	2.3780531883	2.7928557396	2.5786619187	0	0.742144529	3.168698507	5.913572901	0	0	181.4579
Kvon2014_chr2R_12672480_12674566	on	2145.8	6.46	0	0	0	0	0	6	6	429	292	0	2.3780531883	2.7928557396	2.5786619187	0	0.742144529	3.168698507	5.913572901	0	0	136.317
Kvon2014_chr3L_5972676_5974783	on	76.1	4.05	0	0.549	0.7115	0	0.7115	9.99	4.148741651	0	293	0	1.8225073814	0	2.1056761742	0	0.611555308	2.836606307	5.994272918	0	0	29.5238
Kvon2014_chrX_8667997_8670179	on	250.6	6.65	0	-0.1	1.1875	0	1.1875	5.78	2.031517051	0	195	1.4842994213	0	0	2.7952136994	0.9778785706	0	1.461765003	2.993327914	0	0	30.24084
Kvon2014_chr2R_19464331_19466551	on	1144.1	11.98	0	1.066	0.4385	0	0.4385	5.4	3.425968732	673	298	0.6710586548	1.8043985367	2.1368756294	0.7405281067	1.4067821503	0	1.310176457	4.400779332	0	0	0
Kvon2014_chr2R_20730821_20733011	on	445.1	4.8	0	1.308	1.0195	0.439	1.0195	4.52	5.096910013	0	0	0	0	1.9468955994	1.0310072899	4.0688719749	0	3.739516671	5.522858794	0	0	403.845
Kvon2014_chr2L_14382957_14385160	on	792.3	8.1	0	0	0	0	0	5.7	1.036812102	0	0	0	0	0	0	0.8732306957	1.144093037	2.828334275	4.978487295	0	0	0
Kvon2014_chr2R_18937404_18939496	on	176.2	8.54	0	0	1.1515	0	1.1515	6	8.485186705	0	0	0	2.1424751282	0	2.4002923966	2.1560268402	0	3.157357552	5.599057832	147.735	1	380.383
Kvon2014_chr3L_1167709_1169803	on	0	10.75	0	0	0	0	0	5	4.744727495	0	0	0	1.987388134	0	0.8164668083	0	0	2.742284745	4.462504745	0	1	112.934
Kvon2014_chrX_14912673_14914883	on	1559.5	7.79	0	0	0	0	0	4.27	0.591339516	0	315	0.7254829407	1.890484333	0	0	1.7380785942	0	1.60663236	3.072049554	0	0	0
Kvon2014_chr2L_15041918_15042587	on	1813.5	12.15	0	0	0	0	0	3.1	0	0	0	0.831735611	1.9486913681	1.699098587	0	0.8261976242	0.935477098	1.175203058	3.682162576	0	0	0
Kvon2014_chr3R_17201451_17203140	on	127	5.66	0	0	0	0	0	0	3.514278574	397	252	0	1.6322646141	0	1.52542305	2.927873373	0	3.555805638	6.117614785	173.085	0	108.2098
Kvon2014_chr3L_12641178_12643551	on	1239.7	13	3.28	0.562	1.7775	0	1.7775	6	2.527975302	0	0	0	1.8916797638	2.1938958168	3.2803149223	0.6129808426	0	5.077899775	7.553206167	0	0	30.3674
Kvon2014_chr2L_12606738_12608834	on	767.1	9.05	0	1.761	0.803	0	0.803	6	0.814752574	0	0	0	1.4777686596	2.4841609001	0.9402160645	0.83689785	0.629398262	2.894097417	4.229528178	0	1	0
Kvon2014_chr2L_9969903_9972058	on	71.5	5.08	0	-0.229	1.3275	0.559	1.3275	6	2.294050805	0	0	0	0	0	0.9217214584	0	0.559587479	2.966373834	4.761796753	0	0	0
Kvon2014_chr2L_12669220_12671417	on	819.8	9.75	0	0	0	0	0	2.07	0	0	0	0	0	2.4712381363	2.074710846	2.8538379669	0.564030788	2.354524076	3.93121805	0	0	0
Kvon2014_chr2R_4529759_4531908	on	529.7	13.17	0	-0.102	1.2005	0	1.2005	7.13	9.222573178	0	0	1.9502944946	1.4961557388	0	2.4326896667	2.5389957428	0.842115164	2.45143795	4.494446684	0	1	184.459
Kvon2014_chrX_2358395_2360580	on	2668.1	13.04	4.91	0.679	0.1965	0	0.1965	5.4	2.066057397	479	357	1.9658842087	1.9388036728	2.7192835808	2.0405545234	2.8300256729	1.085533089	1.31879078	4.577146709	0	1	0
Kvon2014_chrX_14636760_14638874	on	520.6	0	0	0	0	0	0	6	5.698970004	0	197	0	0	0	1.1539998055	0	0	2.825203955	3.981708288	0	0	353.668
Kvon2014_chrX_20582460_20584635	on	1219.7	10.72	0	0.29	1.2025	0	1.2025	6	0.754650223	0	0	0	1.6677222252	0	2.3949594497	0.8047995567	0.964011997	0.57625664	2.560395485	172.88	0	0
Kvon2014_chr2R_16486928_16489009	on	3053.7	12.6	0	0.524	0.0425	0.724	0.0425	6	6	622	254	2.416088581	1.8602151871	1.6066660881	0.7123270035	3.177883625	1.375255024	3.106847819	6.92392266	0	1	189.4675
Kvon2014_chr3R_12617439_12619540	on	266	8.17	0	0	0	0	0	6	1.40162539	0	0	0	1.4274950027	0	2.5870404244	0.8944673538	0.884987354	1.101326897	2.588238839	194.47	0	0
Kvon2014_chr2R_18295742_18296194	on	168.8	5.36	0	0.505	0	0	0	6	6	0	0	0	0	0	0	2.7837452889	0	3.648889363	5.519341683	0	1	1377.85
Kvon2014_chr3L_542461_544728	on	271.8	6.68	0	0	0.2425	0	0.2425	1.28	2.668370282	389	193	0	2.295996666	2.2624211311	0.8517799377	1.0013260841	0	0.893481509	3.339825593	143.66	1	0
Kvon2014_chr3L_15322214_15324305	on	0	6.16	0	0	0.5615	0	0.5615	5.4	5.301029996	0	0	0	0	0	0	2.0351381302	0	1.7520688	3.399936339	0	1	88.61612
Kvon2014_chr2L_1956400_1958532	on	628.7	5.3	3.63	0	0	0	0	5.7	3.772113295	0	0	3.7931571007	0	2.3725743294	3.1258773804	3.081401825	0.656221807	2.620386485	4.71123173	0	0	41.3079
Kvon2014_chr3R_177099_179292	on	71.5	9.81	0	0.752	0	0.667	0	1.04	5.045757491	0	0	2.1231350899	0	2.4123439789	0.6927623749	2.4167385101	0	1.90516935	2.647189929	0	0	16.3583
Kvon2014_chr2L_21843469_21845803	on	139	9.84	0	0	0	0	0	5.52	6	0	0	0	0	0	0	0.7973842621	0	4.480613393	6.787463967	0	0	154.5564
Kvon2014_chr2R_4524687_4526814	on	358.7	4.34	0	-0.01	0.8455	0	0.8455	9.29	6	0	0	0	0	0	0.5573263168	2.2522761822	0	2.45143795	3.65233152	0	0	200.727
Kvon2014_chrX_4833051_4835256	on	256.3	5.95	0	0	0	0	0	6	5.698970004	606	237	0	2.0248885155	2.2798023224	2.2501926422	2.9377851486	2.318097002	2.000994065	7.022676493	158.055	1	0
Kvon2014_chr3L_12675922_12678012	on	133.9	0	0	0.318	0	0.611	0	6	5.698970004	0	0	0	0	0	0	0	0.628173548	3.179653406	4.720517958	0	0	33.15482
Kvon2014_chr3R_15160880_15162972	on	354.1	0	0	0	0	0	0	1.1	2.115487841	0	321	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	0.617332882	3.91847585	5.638190406	138.745	0	64.0064
Kvon2014_chr3R_9737272_9739395	on	614.4	7.23	0	1.299	0.3755	1.738	0.3755	6	4.065501549	0	0	1.9210100174	0	2.6265354156	1.9060792923	0.9312934875	0.874985504	3.439183044	5.802118428	150.455	0	25.3201
Kvon2014_chr3R_21294756_21297030	on	252.3	4.57	0	0	0	0	0	6	0	0	0	0	0	0	0	0.7939357758	0.637844338	2.634814487	6.699904404	0	0	0
Kvon2014_chr3R_19167877_19170074	on	747.1	13.31	4.18	0	1.2015	0	1.2015	6	6	0	254	0	0	0	2.112958908	2.4174757004	1.045435401	5.571828337	8.751655747	0	1	627.6959
Kvon2014_chr2L_17381424_17383547	on	574.9	9.89	2.85	0	0	0	0	6	6	463	394	0	0	0	0.9921841621	2.4266629219	0.870572847	2.612665485	5.578614711	261.13	1	273.258
Kvon2014_chr3R_25088511_25090669	on	723.7	8.31	0	1.008	0.2995	0	0.2995	12	6	0	245	1.7499103546	2.1428728104	2.6214761734	1.8088026047	2.7979588509	2.110905828	3.059112533	6.77214484	0	1	47.4054
Kvon2014_chr3R_24398429_24400616	on	272.3	2.95	0	0.006	0.1585	1.047	0.1585	6	3.341988603	0	0	2.194820404	0	0	0	0	0	3.808619912	4.914538987	0	0	86.7188
Kvon2014_chr3R_15157311_15159508	on	2380.4	12.99	0	0	0	0	0	6	6	518	358	0	2.1608858109	2.9396800995	2.568420887	0.8565664291	1.765652376	4.452455193	7.868232882	0	0	203.6254
Kvon2014_chr3R_736192_738402	on	665.4	6.37	0	0	0	0	0	6	2.278434501	0	178	0	0	0	0	3.1161723137	2.705535561	1.982050001	6.77990511	0	1	119.2899
Kvon2014_chr3R_21293119_21295233	on	252.3	4.57	0	0	0	0	0	8.66	1.275445616	0	0	0	0	0	0	0.7939357758	0.637844338	2.634814487	4.054380004	0	0	0
Kvon2014_chr2R_16838480_16840613	on	1811.7	6.95	0	0.39	-0.3215	0	-0.3215	4.62	6	0	0	0	0	1.8304224014	0	0	0	1.446308613	2.891885072	0	0	82.1755
Kvon2014_chr3R_10508753_10510847	on	493.1	0	0	0.704	0	0.678	0	3.94	0	0	0	0	0	1.9712388515	0	2.3000898361	0	2.269766361	2.922306372	0	0	0
Kvon2014_chr3R_7394967_7398026	on	1119.5	4.04	0	1.151	0.7775	1.552	0.7775	6	4.187086643	0	0	2.6776461602	0	1.7678413391	0.8233795166	0	0	2.454310282	4.672064797	0	0	40.4012
Kvon2014_chr2R_7419436_7421535	on	76.7	5.99	0	0.855	0.2425	0.723	0.2425	6	5.698970004	0	0	0	0	0	0	4.8453660011	1.004246487	2.140117842	4.202731105	0	0	226.818
Kvon2014_chr2R_3936099_3938380	on	66.9	3.62	0	0.159	0.5045	1.206	0.5045	5.36	5.397940009	0	349	2.4847192764	0	0	1.0535178185	0	0	1.932281998	3.816947712	0	0	104.5768
Kvon2014_chr2L_17753976_17756084	on	101.3	9.66	0	0	-0.2705	0	-0.2705	6	6	0	0	0	0	0	0	0	0	2.284265686	3.977492332	0	0	211.8831
Kvon2014_chr2R_11791820_11794001	on	0	5.68	0	-0.042	0	0	0	6	4.080921908	0	0	0	0	0	0	0	0	4.216021714	5.010805932	0	1	0
Kvon2014_chr3L_17003868_17006065	on	1224.3	10.25	5.06	0.813	0.3195	0.933	0.3195	6	6	533	336	2.2382178307	0	0	2.6363277435	3.7229542732	2.061499774	2.978785298	7.547045461	0	1	29.5238
Kvon2014_chr3R_21282570_21284690	on	0	0	0	0	0	0	0	6.57	5.698970004	0	0	0	0	0	0	2.5102443695	0.602899339	4.84040764	6.23049535	0	0	0
Kvon2014_chr3R_10863765_10866026	on	0	0	0	0	0	0	0	6	3.860120914	0	0	0	0	0	0	0	0	4.089678064	4.58467363	137.815	0	0
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	0	0	0.618	0	0.618	6	6	470	347	0	0	0	2.2688522339	1.9577102661	2.520279854	4.089687758	9.056475543	0	1	168.6814
Kvon2014_chrX_19247019_19249314	on	2580.5	9.35	0	0	0	0	0	1.03	0	225	232	0	1.4573624134	0	0	2.5403227807	0	1.388027072	3.922885998	0	1	33.3501
Kvon2014_chr2L_1958014_1960258	on	628.7	5.3	3.63	0	0	0	0	5.7	0	0	0	3.7931571007	0	2.3725743294	3.1258773804	3.081401825	0.656221807	3.577013517	6.638014758	0	0	0
Kvon2014_chr2R_5817792_5819902	on	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	2.976182111	4.182334354	0	0	1626.19
Kvon2014_chr2L_3827045_3829231	on	220.8	0	4.47	0.27	0	1.14	0	5.22	4.638272164	0	0	2.2359704971	0	2.0288786888	0	0.9654741287	0	4.678409583	8.159889508	0	0	131.43676
Kvon2014_chr3R_2488662_2490888	on	1160.7	0	0	1.027	-0.5085	0.979	-0.5085	6	4.420216403	0	0	2.8528375626	0	2.0711603165	0	2.3322563172	0	3.005438412	4.51208886	0	0	104.547
Kvon2014_chr2R_18689548_18691090	on	2040	10.49	3.42	0.784	0	1.244	0	5.15	6	607	306	2.0142302513	2.798825264	1.9958758354	5.0908818245	1.1362838745	0	3.775363326	6.511876702	0	0	623.325
Kvon2014_chr3R_25594900_25596969	on	1037.7	6.21	0	-0.407	0	0	0	0	5.15490196	0	338	0	0	0	0	2.722881794	0	3.261659005	5.513674708	0	0	82.8019
Kvon2014_chr2L_598791_601002	on	458.2	5.29	4.4	0	0	0	0	5.3	0.393664862	0	0	3.5880241394	0	0	2.2326617241	0	0	2.732093304	5.56445621	105.99	0	0
Kvon2014_chr2L_2752765_2754884	on	264.9	18.41	3.49	-0.424	1.0665	0	1.0665	7.79	5.522878745	466	391	1.9524536132	1.8757286072	0	2.97174263	3.6002893448	0	3.14846664	5.752418507	0	1	165.73656
Kvon2014_chr2L_3816924_3819029	on	336.4	4.29	0	0.06	1.72	0	1.72	6	5.397940009	0	0	0	0	0	2.7309713363	3.077432394	0.697087596	4.678409583	8.856977104	0	1	465.0514
Kvon2014_chrX_4945256_4947456	on	2217.3	5.66	0	0	1.7385	0.743	1.7385	6	0	0	225	0	0	0	2.6704931259	0.9319667816	0.637166847	0.501138051	3.680403643	106.66	0	0
Kvon2014_chr2L_20967302_20969446	on	328.3	5.62	0	0	0	0	0	8.38	5.522878745	0	0	0	0	0	0	0	0	2.313745677	3.612188398	0	1	140.487
Kvon2014_chr2R_10686988_10689103	on	632.1	4.58	0	0.281	0.9375	0.62	0.9375	8.57	0.60046126	0	0	0.9347286224	0	0	0	0	0	1.138363272	2.926374038	0	0	21.7384
Kvon2014_chrX_4092742_4094855	on	1716.8	6.33	0	0	0	0	0	3.52	0	0	246	0	0	0	0	0	0.653742154	0.904920006	3.152345594	0	0	0
Kvon2014_chr3L_10421897_10422888	off	0	0	0	-0.451	0	0	0	0	0	0	0	0	0	0	0	0	0	1.086829344	1.086829344	0	0	0
Kvon2014_chr2R_7061257_7063435	off	0	0	0	0	0	-0.267	0	0	0	0	0	0	0	0	0	0	0	2.520132001	3.542025855	0	0	0
Kvon2014_chr2R_7090286_7092411	off	65.8	5.57	0	0	-0.9145	0	-0.9145	0	2.009838807	0	0	0	0	0	0	0	0	0.694463539	3.682084902	0	0	103.067
Kvon2014_chr2L_21894811_21896943	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753220439	0.753220439	0	0	14.4312
Kvon2014_chrX_15322025_15324223	off	0	0	0	0	0	0	0	3.67	0	0	0	0	0	0	0	0	0	0.676263304	0.676263304	0	0	0
Kvon2014_chr2R_1951702_1953832	off	0	0	0	0	0	0	0	0	1.445002341	0	0	0	0	0	0	0	0	0.631946882	0.631946882	0	0	174.1986
Kvon2014_chr2L_16686532_16688619	off	0	5.75	0	0	1.0085	0	1.0085	0	0	0	0	0	0	0	0.9670205116	0	0	0.548355913	1.432866639	0	0	0
Kvon2014_chr2R_14985277_14987381	off	0	0	0	0	0	0	0	0	1.570441501	0	0	0	0	0	0	0	0	0.615165624	0.615165624	0	0	0
Kvon2014_chr2L_3831420_3833497	off	0	9.52	4.42	0.769	1.0645	2.163	1.0645	0	0	0	0	5.4040913582	2.1366848946	2.1602931023	3.5253033638	2.0138998031	1.111414881	4.183405427	8.016260287	0	0	0
Kvon2014_chr2R_2789788_2791982	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.600860988	0.600860988	0	0	0
Kvon2014_chr3L_6701945_6704145	off	0	0	0	0	0	0	0	0.84	0.3997439	0	0	0	0	0	0	0	0	1.322178777	1.322178777	0	0	0
Kvon2014_chr3R_1149737_1151931	off	112.1	3.94	0	0	0	0	0	0	5.522878745	0	0	0	0	0	0	0	0	3.962691279	6.775944417	0	0	0
Kvon2014_chr3R_8466940_8468304	off	215.1	0	0	0	0	0	0	5.22	0	0	0	0	0	0	0	0	0.65406794	1.296642294	1.950710234	0	0	34.2753
Kvon2014_chrX_5342291_5344431	off	0	0	0	0	0	0	0	0	0.695770213	0	0	0	0	0	0	0	0	1.150272818	1.150272818	0	0	0
Kvon2014_chr2L_21148034_21148597	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.721973475	0.721973475	0	0	0
Kvon2014_chr3L_18615182_18615828	off	82.4	5.88	0	0	-1.0335	0	-1.0335	0	2.939378034	281	0	0	0	0	0	1.1622285843	0	1.13477303	2.749250068	0	1	27.4524
Kvon2014_chr2R_6420865_6423087	off	1296.9	13.49	3.37	0.54	2.1055	0.718	2.1055	6	6.93537731	305	229	1.6536021232	2.4316182137	1.9456882477	4.9939947129	2.8900270462	0.805122432	3.084484736	7.431741986	0	1	215.9668
Kvon2014_chr2R_13821736_13823932	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.275357813	1.275357813	0	0	0
Kvon2014_chr3R_17388034_17390134	off	81.8	4.26	0	0	0	0	0	0	0	0	345	0	0	0	0	1.3950510025	0	3.092439854	4.964450702	0	0	0
Kvon2014_chr3R_13766525_13768609	off	502.8	0	0	0	-0.4445	0	-0.4445	6	0	0	0	0	0	0	0	0	0.790048599	2.15369311	5.500486864	0	0	3.63102
Kvon2014_chr2L_15320805_15322907	off	61.8	0	9.62	0	0	0	0	0	0	0	0	0	2.0156393051	0	1.3167228699	6.3083195686	1.383642129	5.26632641	9.184560553	0	0	0
Kvon2014_chr2L_8550336_8552508	off	0	0	0	0	0	0	0	3.39	5.522878745	0	0	0	0	0	0	0	0	4.678780163	4.678780163	0	0	0
Kvon2014_chr2R_9730756_9733824	off	0	4.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.250789612	1.91120547	0	0	0
Kvon2014_chr3L_7596551_7598647	off	0	0	0	-0.986	0	0	0	0	0	0	0	0	0	0	0	2.0512712002	0	0.676890628	0.676890628	0	0	0
Kvon2014_chr2R_14022915_14023512	off	91	0	0	0	0	0.501	0	0	4.795880017	724	0	0	0	0	0	0	0	1.611701573	3.113904589	0	0	26.017
Kvon2014_chr3L_20640418_20642591	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510750939	0.510750939	0	0	0
Kvon2014_chr3L_6716089_6718301	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.113629173	2.113629173	0	0	0
Kvon2014_chrX_2444038_2446237	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.285063807	1.285063807	0	0	0
Kvon2014_chr2R_14268094_14270305	off	0	0	0	-0.163	0	-0.383	0	0	0	0	0	0	0	0	0	0.8886270523	0	0.995770633	0.995770633	0	0	109.708
Kvon2014_chr3R_7604792_7606922	off	1105.3	18.52	0	-0.234	2.6685	0	2.6685	4.89	6	397	224	0	2.42000103	0	5.1660745144	2.1358809471	0.725296408	6.814088881	10.243866414	0	0	230.56802
Kvon2014_chrX_4948793_4950880	off	87.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.966184998	1.435490195	0	0	0
Kvon2014_chr2L_13867333_13869502	off	1607.5	9.89	5.06	0	1.4675	1.437	1.4675	12	6.723710569	0	0	1.6740880013	1.8334374428	2.8702692986	2.8165507317	6.2011346818	2.492575467	4.73043409	8.745055736	169.39	0	165.951
Kvon2014_chrX_1518253_1520522	off	0	0	0	0	0	0	0	0.47	2.890759031	0	0	0	0	0	0	0	0	1.512573838	1.976588677	0	0	0
Kvon2014_chrX_17228234_17230336	off	168.8	3.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.557323582	2.370487171	0	0	0
Kvon2014_chr3L_11223964_11226065	off	0	0	0	0	0	0	0	0	1.817300068	0	0	0	0	0	0	0	0	1.648214728	1.648214728	0	0	0
Kvon2014_chr2L_19215498_19217702	off	147.6	0	0	1.536	0.1265	0.133	0.1265	0	0.862538278	0	0	0	0	1.995118618	0	0	0	6.639316627	7.110897806	0	0	0
Kvon2014_chr2R_15515180_15517277	off	0	0	0	0	0	0	0	0	3.688246139	0	0	0	0	0	0	0	0	0.766295242	3.408638651	0	0	0
Kvon2014_chr3L_1324257_1326553	off	274.6	0	0	0.242	0	0	0	1.05	0	0	332	0	0	0	0	0	0.602673584	0.725854238	1.728067054	0	1	0
Kvon2014_chr3L_2764296_2766472	off	80.7	0	0	0	1.2525	0	1.2525	0	0	457	0	0	0	0	1.8655581475	0	0	0.777820647	2.335985593	0	1	0
Kvon2014_chrX_268460_270655	off	68.1	3.57	0	0.713	-0.1305	0	-0.1305	6.62	1.652689504	0	0	0	0	1.7230906487	0	3.0053801536	0	2.876562864	3.260038168	0	0	10.5054
Kvon2014_chr3R_10520951_10523061	off	0	3.82	0	0	0	0	0	4.33	3.20481541	0	0	0	0	0	0	0	0	3.23660326	4.830586115	240.095	0	109.708
Kvon2014_chr2R_19364632_19366730	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547288053	0.547288053	0	0	0
Kvon2014_chr3L_1516441_1518532	off	0	3.24	0	0	-0.4255	0	-0.4255	4.18	11.397940009	573	304	0	0	0	0	2.4641156196	0.706083242	1.762085795	3.880933698	0	0	27.4524
