name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
brk_chrX_7179679_7181679	putative	84.7	0	0	1.099	1.4865	0	1.4865	0	1.385609053	318	0	0	0	2.6170692444	2.2740426063	0	0	2.260393355	3.72923185	213.945	0	0
brk_chrX_7188000_7190000	putative	641.2	6.94	0	0	0	0	0	6.61	4.769551079	0	220	0	5.2536520958	0	0	0	2.972200814	4.640174513	9.969710362	0	2	89.5736
brk_chrX_7190028_7192028	putative	1326.6	32.99	4.8	1.747	1.5845	1.185	1.5845	6	6.686622164	0	212	3.0830516815	3.6291837692	2.8587055206	3.9246501922	0	5.186784604	3.283496913	10.827616552	449.86	1	215.413
brk_chrX_7193094_7195094	putative	564.1	5.38	0	0	-0.4825	0	-0.4825	2.55	3.081969663	0	187	0	0	0	0	1.050652504	0.771063614	1.36999224	4.281518888	0	1	37.4386
brk_chrX_7199933_7201933	putative	919.3	10.05	0	0.11	1.372	0	1.372	7.92	5.15490196	0	221	0	0	0	2.176970005	3.0392551422	0.763257951	1.234079109	5.088268616	0	1	224.3346
brk_chrX_7211966_7213466	putative	82.4	0	0	0	1.1965	0	1.1965	1.57	0	0	267	0	0	0	0	0	4.407977549	3.913549868	11.211359755	0	0	30.3674
brk_chrX_7214278_7216278	putative	1802.5	15.72	4.91	0.895	1.1965	0	1.1965	6	6	0	267	3.3660674095	2.8430867195	2.7490310669	3.5202078819	3.8751306534	6.764658038	3.913549868	13.568040244	509.4	1	565.7418
brk_chrX_7217590_7219590	putative	208.8	4.53	0	0	0	0	0	5.52	0	295	0	0	0	0	0.7160625458	0	0.641145145	1.030387461	4.561364944	192.685	2	27.7434
brk_chrX_7228924_7230424	putative	431.4	13.59	0	0	1.398	0	1.398	12.2	6.653816404	591	460	0	0	0	2.3587002754	0	0	2.371107128	4.766636928	0	0	12.7216
rho_chr3L_1437483_1438983	putative	415.9	0	0	0	0	0	0	0.91	0	0	0	0	0	0	0	0	0	1.968832403	2.468219359	0	0	0
rho_chr3L_1443106_1445106	putative	0	0	0	0.279	0	0.454	0	0	0	0	0	0	0	0	0	0	0	4.684773586	5.028692667	0	0	0
rho_chr3L_1446225_1448225	putative	930.2	7.73	0	-0.068	1.8565	0	1.8565	5.15	0	0	204	0	2.0046653748	0	2.6027097702	0	0.853884921	4.827185547	6.65968158	0	0	0
rho_chr3L_1455505_1457505	putative	196.8	3.74	0	1.329	0.6235	0	0.6235	9.1	6.833037336	0	0	0.960226059	0	2.2892861366	0	5.3181676865	0.905149221	2.016772181	3.964682489	0	0	336.5458
rho_chr3L_1462399_1464399	putative	1180.8	15.59	4.66	1.12	1.972	0	1.972	6	6.510090715	0	320	1.7550730705	1.6685671806	2.2661995888	4.7513985633	3.024261713	6.78085604	5.804787642	14.809970197	592.01	1	155.7504
rho_chr3L_1478559_1480559	putative	939.9	5.58	0	1.132	0.9955	0	0.9955	5.7	0.665540217	0	268	0	0	2.3538818359	1.7419157028	3.2459259033	0.569459597	1.825059386	4.188856881	0	0	133.1106
rho_chr3L_1484645_1486645	putative	123.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.336000695	2.086890367	0	1	0
sog_chrX_15501387_15503387	putative	1715.6	10.9	0	0	0	0	0	6	0	0	205	0	1.7501754761	0	0	2.5326480866	1.862237632	1.78405413	5.552891641	0	1	22.5458
sog_chrX_15508138_15510138	putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.399723859	1.399723859	0	0	0
sog_chrX_15512694_15514694	putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.378733277	1.72588115	0	0	0
sog_chrX_15518500_15520500	putative	1847.7	13.88	0	0	0	0	0	6	4.920818754	0	0	2.3189630508	2.1325831413	2.7541308403	1.6367964745	0	3.833027077	2.425102333	7.804739861	500.355	0	151.4775
sog_chrX_15540024_15542024	putative	3288.8	28.88	6.85	0	0	0	0	6	6	429	223	2.5759067535	3.9179930687	3.2103228569	1.9363908767	3.0505275726	6.196304091	4.128610909	13.029086012	441.975	1	687.16
sog_chrX_15543430_15545430	putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.752927892	2.224788905	0	0	0
sog_chrX_15546781_15548781	putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37667122	1.777915717	0	0	0
sna_chr2L_15467531_15469531	putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82915466	2.252331139	0	0	49.7882
sna_chr2L_15470331_15472331	putative	472.6	6.62	0	0	0	0	0	4.19	5.397940009	0	0	0	1.7355837822	0	0	4.306289196	0	2.407788494	3.620017814	211.04	1	120.356
sna_chr2L_15474246_15476246	putative	450.2	4.28	0	0	0	0	0	2.64	3.156767222	0	0	0	0	1.8253712654	5.3072600365	0	0.737147629	5.351741886	6.757145938	0	0	0
sna_chr2L_15479895_15481895	putative	1686.4	23.03	4.39	1.538	1.943	0.828	1.943	6	6	0	606	2.4068827629	2.6142411232	2.472032547	5.5488591194	0	6.286827052	8.516450977	17.231609643	686.155	0	170.974
sna_chr2L_15485407_15487407	putative	3502.8	14.85	4.28	1.26	1.7065	0	1.7065	6	6	0	0	0.6955165863	2.4746322632	2.7415151596	4.1850023269	4.7911396026	5.626993852	7.578786426	15.554390539	404.525	1	2343.178
sna_chr2L_15490952_15492952	putative	272.4	7.8	4.58	0.47	0.9485	0	0.9485	6	5.698970004	0	0	0	0	1.9499082565	3.2237820625	3.2607693673	1.736147433	2.842194706	6.924730181	201.62	0	210.7134
sna_chr2L_15495206_15496706	putative	0	0	0	0	0.2205	0	0.2205	1.19	0	0	0	0	0	0	0	0	0	1.311870694	1.311870694	0	0	0
sna_chr2L_15498653_15500653	putative	62.4	4.03	0	-0.942	0	0	0	3.07	0	424	0	0	0	0	0	1.8282928467	0	1.360692859	3.554277021	276.57	0	59.0396
vnd_chrX_452636_454136	putative	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0	0	0	1.068344176	1.068344176	0	0	0
vnd_chrX_469502_471502	putative	383.3	0	0	0	0	0.519	0	4.21	1.326803935	0	279	0	0	0	0	0	0	1.111833772	2.696829966	0	0	0
vnd_chrX_476838_478838	putative	308.3	7.98	3.79	1.247	1.46	1.18	1.46	6	0.63344444	0	0	2.0105030537	1.7905106544	2.4302349091	2.8563499451	1.0048112869	4.478419125	4.898140069	12.484103497	264.005	0	103.5576
vnd_chrX_479708_481208	putative	0	3.81	0	0	0.6425	0	0.6425	6	3.756961951	0	286	0	0	0	1.0831308365	0	3.557523075	4.101706561	10.766773939	0	0	112.1737
vnd_chrX_482814_484814	putative	760.3	11.71	0	0	-1.255	0	-1.255	0	6	0	286	0	1.721657753	0	0	4.7988033295	4.531867666	4.101706561	11.74111853	0	0	251.719
vnd_chrX_486355_487855	putative	2382.1	10.05	3.78	0.629	0.0755	1.432	0.0755	6	6	0	286	3.4710812568	1.7364516258	2.208568573	1.8726758957	4.0791506768	6.910417389	4.101706561	14.119668253	478.045	0	580.224
vnd_chrX_489070_490570	putative	893	3.55	0	0	-1.191	0	-1.191	0	6	0	0	0	0	0	0	0.9837355614	0	1.176128612	4.283672915	0	0	39.8725
vnd_chrX_492347_493847	putative	0	0	0	0	0	0	0	1.08	0	0	0	0	0	0	0	0	0	1.619073447	1.619073447	0	0	0
Kr_chr2R_21085546_21087546	putative	481.1	5.66	0	0.291	1.4565	-1.874	1.4565	0	5.522878745	634	0	0	0	0	2.6504626274	3.8109850883	0	1.336372882	2.188080132	0	1	5.28782
Kr_chr2R_21091712_21093712	putative	264.9	9.13	0	0.546	-0.371	0	-0.371	15.4	3.388276692	0	373	0	0	0	0	0	0	1.477176189	2.167839254	0	2	0
Kr_chr2R_21097104_21099104	putative	236.8	0	0	0.375	0.9975	0	0.9975	5	0	0	0	0	0	0	1.0446138382	0	0	1.655733426	2.200494845	0	2	10.5054
Kr_chr2R_21099395_21100895	putative	244.3	0	0	0	0.9975	0	0.9975	0	0	0	0	0	0	0	1.7447700501	0	0	1.0237613	1.0237613	0	1	9.27416
Kr_chr2R_21102635_21104635	putative	533.7	0	0	0	1.258	0	1.258	1.85	0	0	0	0	0	0	1.9854741097	0	0	0.942537586	2.106759141	0	1	46.3879
Kr_chr2R_21105991_21107991	putative	227.7	0	0	1.144	0.8255	0	0.8255	6	5.22184875	0	0	0	0	2.2226638794	1.7369122505	0	0.697651815	1.719389354	3.105902062	0	1	20.2108
Kr_chr2R_21109487_21111487	putative	2441	9.09	4.49	1.206	4.4085	1.753	4.4085	6	2.177505015	0	293	5.3699207306	3.1689620018	3.2632937431	8.0693802833	2.2767724991	0.897438947	1.16891861	4.535420278	198.906008	1	0
Kr_chr2R_21111261_21112761	putative	4967.2	24.51	10.28	2.847	4.4085	1.753	4.4085	15.79	5.934466966	0	688	6.0786933899	3.1689620018	3.2632937431	8.0693802833	6.0172128678	0.897438947	2.882997176	6.249498844	477.841008	2	69.0828
Kr_chr2R_21112769_21114269	putative	2526.2	15.42	5.79	1.641	4.4085	0	4.4085	5.22	3.756961951	0	395	3.4243993759	3.1689620018	3.2632937431	8.0693802833	3.7404403687	0	1.06054982	3.529612541	278.935	1	45.0324
Kr_chr2R_21114805_21116305	putative	0	4.69	5.79	0	4.4085	0	4.4085	4.57	0	0	0	0	0	0	8.0693802833	3.7404403687	0	1.714078566	4.183141287	104.4	0	24.0504
Kr_chr2R_21119209_21121209	putative	131.6	0	0	-0.164	0.1505	0	0.1505	0	0	0	0	0	0	0	0	0	0	0.828633104	1.508029986	0	0	5.28782
Kr_chr2R_21124101_21125601	putative	0	0	0	0	0.4265	0	0.4265	0	0	0	0	0	0	0	0	0	0	0.557705487	0.557705487	0	0	0
hb_chr3R_4499719_4501219	putative	90.4	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0.434321165	0	1	0
hb_chr3R_4501623_4503623	putative	0	0	0	0	0	0	0	0	0.824149117	693	0	0	0	0	0	0	0	1.075199268	1.744255992	0	1	0
hb_chr3R_4505821_4507821	putative	0	0	0	-0.463	0	0	0	0	4.721246399	0	0	0	0	0	0	0.8785042763	0	1.510047383	2.15774974	0	0	75.2404
hb_chr3R_4508706_4510706	putative	0	0	0	0.071	1.2865	0	1.2865	0	0.486875663	0	0	0	0	0	2.2864599227	0	0	1.914767563	3.450301713	0	0	35.9878
hb_chr3R_4512184_4514184	putative	243.7	3.68	0	0.825	-0.5055	0.432	-0.5055	7.53	11.15490196	0	0	1.8546051979	0	2.0842990875	6.119009018	2.0258703232	0	3.623288811	4.584650107	0	1	89.5814
hb_chr3R_4519316_4521316	putative	2296.3	7.67	3.4	0.947	2.1135	2.303	2.1135	5.1	0.422339341	0	436	5.1933445931	1.8048601151	2.5375771523	4.481754303	3.6396965981	0.936941652	2.307757139	3.244698791	219.64	1	0
hb_chr3R_4525105_4527105	putative	2777.3	21.24	19.01	3.969	4.5225	3.626	4.5225	12	11.698970004	586	405	6.7940149307	3.6134037972	4.0608277321	8.8424143791	4.236954689	2.213321626	4.439696228	8.923198753	378.22	1	0
hb_chr3R_4530719_4532719	putative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6263585091	0	0	1.335873099	2.081155204	0	0	0
hb_chr3R_4541033_4543033	putative	62.9	0	0	0	-0.1355	0	-0.1355	0	4.113509275	574	0	0	0	0	0	0	0	1.998715036	3.225223862	0	1	0
Kni_chr3L_20670822_20672822	putative	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0.653027759	0.817488418	1.827242234	0	0	0
Kni_chr3L_20672870_20674370	putative	68.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9802527428	0	0.698658053	0.698658053	0	0	0
Kni_chr3L_20679974_20681974	putative	0	0	0	0	0	0	0	3.81	0	0	0	0	0	0	0	0	0	0.693887767	1.03427901	0	0	62.3927
Kni_chr3L_20688012_20690012	putative	684.8	19.39	15.28	0	0	0	0	12	3.669586227	0	0	6.700129032	3.6492362022	6.6948513985	8.0429306031	4.6274380684	2.018562913	2.709759095	6.843895951	332.21	1	34.2753
Kni_chr3L_20692061_20694061	putative	161.9	0	0	0	0	0	0	6	6	0	0	4.0731048583	0	2.2336821556	8.0429306031	0	2.682889862	2.709759095	7.5082229	298.14	0	151.7965
Kni_chr3L_20703849_20705349	putative	0	0	0	0	0	0	0	1.74	0	0	0	0	0	0	0	0	0	1.557476938	1.557476938	172.19	0	0
Kni_chr3L_20708596_20710096	putative	0	0	0	0	0	0	0	0	0.925348096	0	0	0	0	0	0	0	0	0.888915763	0.888915763	0	0	111.9104
eve_chr2R_5842149_5844149	putative	443.3	0	0	-0.634	0.2345	0	0.2345	0	1.165407647	0	245	0	0	0	0	1.1361093521	0	0.635108285	2.440755301	0	0	24.0504
eve_chr2R_5847127_5849127	putative	1096.1	7.27	0	0	0	-0.084	0	5.52	6	445	276	0	2.0320448875	0	0	0.8006157875	0	2.77202149	4.223130983	0	0	607.572
eve_chr2R_5854122_5855622	putative	323.8	0	0	0	0	0	0	0	5.22184875	0	0	0	0	0	0	0	0	0.545299877	0.545299877	0	1	0
eve_chr2R_5855944_5857944	putative	263.2	4.93	0	0	0	0	0	2.94	0.605917977	0	0	0	0	0	0	0	0	0.761380255	2.045897841	0	2	110.6042
eve_chr2R_5860600_5862100	putative	277.4	19.14	12.78	0.225	2.5665	0	2.5665	5.52	6	0	0	0	3.5246582031	0	5.4760446549	2.4180436134	0.547940588	2.025248191	5.62872202	0	0	213.897
eve_chr2R_5863950_5865950	putative	3900.4	19.14	12.78	2.345	2.5665	1.874	2.5665	5.7	6	0	327	4.0011930465	3.5246582031	3.5642366409	5.4760446549	1.8325071335	1.097770035	2.025248191	6.178551467	357.975	0	141.3264
eve_chr2R_5867347_5869347	putative	1035.4	19.14	12.78	0	3.2	0	3.2	5.52	0	0	327	2.0659742355	1.6705317497	0	0	3.802236557	0.769955367	2.025248191	5.850736799	0	1	0
eve_chr2R_5872161_5874161	putative	1678.5	18.16	16.05	1.444	2.7485	2.908	2.7485	9.19	5.698970004	0	356	5.1280155182	3.1938204765	4.9500117302	6.8817224502	2.3369684219	2.184080061	1.463205934	6.702819236	162.51	0	79.1591
