Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	3L	15675632	15678606	3.976634025574	15676844	3.640259901683	FBgn0041160	11736	FBgn0041160	11736
2	3L	13054179	13057082	3.858763217926	13055524	3.725389059852	FBgn0036345	5712	FBgn0010452	32696
3	2L	5472720	5475408	3.748453140259	5474188	3.378303557634	FBgn0005511	12547	FBgn0005511	12547
4	2R	15579460	15583290	3.615739822388	15581647	3.297352959128	FBgn0004364	44727	FBgn0004364	44727
5	2L	3613815	3617063	3.600580692291	3615467	3.234035660239	FBgn0015663	3825	FBgn0002985	8719
6	2R	7052183	7054723	3.572923660278	7053538	3.24106799855	FBgn0000577	9421	FBgn0000577	9421
7	X	20527098	20529721	3.547476768494	20528107	3.318387536442	FBgn0031129	18529	FBgn0003300	22990
8	X	20501089	20507061	3.507586479187	20502476	3.13933712244	FBgn0003300	2641	FBgn0003300	2641
9	2R	20557642	20559797	3.306862831116	20558756	3.091900264516	FBgn0001147	1171	FBgn0001148	10824
10	X	6936863	6939263	3.301218986511	6938339	3.09841299057	FBgn0029933	4950	FBgn0029933	4950
11	2L	17737819	17740609	3.290087223053	17739079	3.04005726646	FBgn0015609	3629	FBgn0032646	242041
12	3R	27529288	27531921	3.243469715118	27530745	2.913386583328	FBgn0054046	4109	FBgn0039867	31919
13	3R	2682738	2686785	3.180701732635	2684925	3.007467567921	FBgn0001077	5121	FBgn0001077	5121
14	3R	2670024	2672621	3.179812908173	2671457	2.916058272123	FBgn0003339	4429	FBgn0001077	18589
15	2R	9075742	9087598	3.161071300507	9080517	2.999310212977	FBgn0033856	6065	FBgn0033856	6065
16	2R	15564711	15568097	3.16002368927	15566869	3.013839125633	FBgn0034480	47019	FBgn0004364	59505
17	X	15517491	15519447	3.079662322998	15518468	2.771315518548	FBgn0030667	3284	FBgn0030671	19594
18	3L	14114561	14121033	3.03603553772	14119100	2.955718152663	FBgn0042630	22517	FBgn0000411	24779
19	2L	17261752	17263663	3.034204006195	17262705	2.864245891571	FBgn0032629	6044	FBgn0032633	117371
20	3L	13351248	13353722	2.984071731567	13352539	2.698377384859	FBgn0036349	7	FBgn0036349	7
21	3L	18260953	18263098	2.972841262817	18261897	2.799774113823	FBgn0036784	2260	FBgn0011706	101765
22	3R	8077274	8079653	2.961489200592	8078526	2.799837112427	FBgn0038008	1383	FBgn0037992	124607
23	2L	13867087	13870608	2.95371723175	13869603	2.628016710281	FBgn0028532	20191	FBgn0051842	34565
24	2R	19079966	19082800	2.952255249023	19080898	2.816458447774	FBgn0015903	8401	FBgn0015903	8401
25	2L	15314900	15317117	2.933722019196	15316062	2.717514583043	FBgn0041103	227	FBgn0001981	13731
26	2L	7309233	7312516	2.91339635849	7310437	2.787832877215	FBgn0004009	3276	FBgn0004009	3276
27	2R	2950651	2952337	2.899302959442	2951144	2.635604699453	FBgn0033169	1362	FBgn0033179	27400
28	X	8498191	8500970	2.885653018951	8499586	2.852540999651	FBgn0004102	3700	FBgn0004102	3700
29	3R	11813302	11816165	2.872984409332	11814974	2.848482322693	FBgn0003507	3051	FBgn0003507	3051
30	3L	888301	890160	2.870268821716	889219	2.389320878422	FBgn0035176	2756	FBgn0035164	68173
31	3R	4102151	4104845	2.868885993958	4103587	2.621737648459	FBgn0010433	73	FBgn0037561	7983
32	3R	2688559	2692334	2.86705827713	2689828	2.602006912231	FBgn0001077	218	FBgn0001077	218
33	3R	4113826	4115774	2.818018913269	4114864	2.502987525042	FBgn0037562	1203	FBgn0037568	16116
34	3L	2420996	2423638	2.817193508148	2422246	2.501429736614	FBgn0052306	24716	FBgn0053231	26442
35	3R	18711357	18713938	2.796990871429	18712967	2.601905850803	FBgn0017590	12057	FBgn0039013	160345
36	2L	517511	519821	2.783375740051	518562	2.655773997307	FBgn0003963	4905	FBgn0003963	4905
37	3L	11330082	11332020	2.775737762451	11331158	2.451934963465	FBgn0036155	7674	FBgn0041094	104902
38	X	18133393	18135752	2.752788543701	18134637	2.575589879354	FBgn0004956	7125	FBgn0004956	7125
39	3L	8643324	8646141	2.735166072845	8645193	2.353254191081	FBgn0001168	4513	FBgn0001168	4513
40	2L	7519151	7521047	2.731545448303	7519943	2.309745520353	FBgn0011283	22583	FBgn0053529	24480
41	2R	7257263	7259115	2.682571411133	7258144	2.126827180386	FBgn0033649	18314	FBgn0033652	48132
42	3R	26586480	26590707	2.675411701202	26588164	2.487818559011	FBgn0004606	3484	FBgn0003720	89873
43	X	1679205	1681315	2.588164329529	1680277	2.277801990509	FBgn0029591	1539	FBgn0029591	1539
44	2L	18592393	18595667	2.574108123779	18594039	2.378432273865	FBgn0003270	910	FBgn0032693	54874
45	3L	20228004	20229820	2.561871528625	20228979	2.302862405777	FBgn0052227	7	FBgn0003124	14867
46	X	2264353	2265808	2.560831069946	2264927	2.220144019407	FBgn0040385	2128	FBgn0001150	20192
47	X	6940171	6943076	2.554937362671	6941715	2.090453989366	FBgn0029933	1574	FBgn0029933	1574
48	3R	4849569	4853942	2.546149253845	4850617	2.380872547626	FBgn0015014	4878	FBgn0015014	4878
49	3R	18963395	18965494	2.544402122498	18964527	2.362437933683	FBgn0004644	3354	FBgn0051457	10821
50	2L	3770463	3772523	2.538288116455	3771438	2.278754458708	FBgn0004893	268	FBgn0003430	54242
51	2L	4367281	4370674	2.53714799881	4368816	2.308303594589	FBgn0026319	3174	FBgn0026319	3174
52	3L	8648458	8652764	2.531597137451	8649647	2.271609242757	FBgn0001168	59	FBgn0001168	59
53	3L	13381461	13384539	2.509068012238	13382608	2.445244480582	FBgn0036356	3792	FBgn0036351	27318
54	2L	3081805	3084006	2.501938819885	3082825	2.222724437714	FBgn0027571	26210	FBgn0003934	34124
55	2L	17257586	17260135	2.495503425598	17258391	2.109717088587	FBgn0032629	1730	FBgn0032633	121685
56	2L	14485409	14487784	2.479256629944	14486531	2.297933354097	FBgn0005771	4331	FBgn0005771	4331
57	3L	22335869	22338114	2.474573135376	22336957	2.215085590587	FBgn0004449	4771	FBgn0004449	4771
58	2L	9453577	9455387	2.471551895142	9454532	2.08599537611	FBgn0053723	13792	FBgn0002973	17019
