Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	3R	4524009	4527418	3.60446023941	4525080	3.424714893103	FBgn0001180	1540	FBgn0001180	1540
2	2R	5496672	5499364	2.851078987122	5498046	2.782756973715	FBgn0024923	2928	FBgn0024923	2928
3	2L	3832783	3835221	2.764119625092	3833993	2.587003427393	FBgn0004567	2849	FBgn0004567	2849
4	3R	4519142	4521558	2.753491401672	4520476	2.447595000267	FBgn0001180	3064	FBgn0001180	3064
5	X	18137038	18139652	2.740364074707	18138419	2.537307888269	FBgn0004956	3343	FBgn0004956	3343
6	3L	4674950	4679145	2.719952106476	4677535	2.512278669021	FBgn0042199	991	FBgn0042199	991
7	3L	14137519	14139666	2.719772815704	14138835	2.593025716146	FBgn0000411	5044	FBgn0000411	5044
8	2L	11454609	11456799	2.698329925537	11455708	2.554475307465	FBgn0004579	10105	FBgn0004579	10105
9	2L	12088175	12090420	2.695521354675	12089482	2.414125263691	FBgn0003145	3690	FBgn0003145	3690
10	2R	20729368	20732155	2.654294013977	20730481	2.131954484516	FBgn0001325	3734	FBgn0001325	3734
11	2R	15173324	15177898	2.653846740723	15176801	2.364082309935	FBgn0067695	207	FBgn0067695	207
12	3R	26674578	26678660	2.537418365479	26676047	2.31216609478	FBgn0003720	1990	FBgn0003720	1990
13	X	2293464	2296198	2.520904541016	2294852	2.296405371498	FBgn0003714	5280	FBgn0004050	9073
14	2L	13224473	13230763	2.453129768372	13227357	2.119704527013	FBgn0032490	496	FBgn0032489	2151
15	2L	14488399	14491288	2.42699098587	14489285	2.032429758708	FBgn0005771	1577	FBgn0005771	1577
16	2L	12080452	12082654	2.36083316803	12081344	2.266877651215	FBgn0003145	4448	FBgn0003145	4448
17	3L	14114265	14116289	2.33130979538	14115290	2.100614905357	FBgn0042630	18707	FBgn0000411	28589
18	3R	9703446	9706393	2.32301235199	9705612	2.052880203023	FBgn0008646	5711	FBgn0000576	21969
19	3R	26680726	26683573	2.321783065796	26682364	2.083492447348	FBgn0003720	4327	FBgn0003720	4327
20	3L	22335795	22338608	2.310501098633	22336807	2.161499528324	FBgn0004449	4921	FBgn0004449	4921
21	3R	2693102	2695091	2.262163162231	2694112	2.133622169495	FBgn0001077	4066	FBgn0001077	4066
22	2L	2576077	2579174	2.253436088562	2577631	2.034498972051	FBgn0031435	40	FBgn0031435	40
23	3L	20630177	20634708	2.237585067749	20633778	1.972127746133	FBgn0001320	4574	FBgn0001320	4574
24	2L	3828244	3830231	2.235970497131	3829104	2.065478205681	FBgn0003430	3424	FBgn0003430	3424
25	X	11166843	11168885	2.206953048706	11167939	1.778742074966	FBgn0003411	375	FBgn0003411	375
26	2L	5983234	5984341	2.188042163849	5983666	1.723371617934	FBgn0001942	1907	FBgn0001942	1907
27	X	9534690	9537554	2.185937643051	9536749	1.821993575377	FBgn0000233	2660	FBgn0000233	2660
28	X	20490258	20492146	2.18236541748	20491205	2.056907878203	FBgn0031128	3605	FBgn0003300	13912
29	2R	19152423	19154460	2.162421226501	19153663	1.692029953003	FBgn0034886	11513	FBgn0016762	47935
30	3R	19020548	19022277	2.157786369324	19021424	1.848683777977	FBgn0011596	8332	FBgn0039066	55842
31	3L	9002195	9004464	2.143523216248	9003146	1.811401665211	FBgn0035956	8790	FBgn0028789	12178
32	2R	7542050	7544542	2.138931274414	7543205	1.933121681213	FBgn0033675	390	FBgn0011704	41855
33	2L	1957070	1959198	2.131643295288	1958447	1.675954482135	FBgn0031375	3928	FBgn0031391	188840
34	3L	13351309	13353427	2.12126159668	13352139	1.895284091725	FBgn0036349	393	FBgn0036349	393
35	3R	4102391	4104276	2.098633766174	4103311	1.830727689406	FBgn0010433	203	FBgn0037561	7707
36	2R	6706517	6708629	2.062724113464	6707631	1.89084743051	FBgn0003396	17904	FBgn0033581	41668
37	X	6889231	6891094	2.054202079773	6890173	1.964862759908	FBgn0029931	4329	FBgn0029931	4329
38	3R	12567408	12568992	2.042774200439	12568285	1.58192718029	FBgn0003944	7937	FBgn0063261	8826
39	3L	8643396	8646167	2.03612947464	8645193	1.837390549978	FBgn0001168	4513	FBgn0001168	4513
40	2L	21863857	21865177	2.026726722717	21865102	2.058115429348	FBgn0032965	20752	FBgn0003866	48914
41	2L	11074506	11076255	2.018463134766	11075439	1.940259204191	FBgn0032335	4378	FBgn0032335	4378
42	3L	15188226	15190312	2.003885269165	15189196	1.781334728003	FBgn0029114	11704	FBgn0029114	11704
43	2L	3610092	3611977	1.986504554749	3611144	1.589765548706	FBgn0002985	4396	FBgn0002985	4396
44	2R	16053067	16055021	1.956053733826	16054165	1.718455819523	FBgn0034514	37	FBgn0034514	37
45	3R	21457693	21460086	1.954512119293	21458973	1.771750807762	FBgn0039350	4576	FBgn0039350	4576
46	2R	7309605	7312195	1.946590423584	7310512	1.721980431501	FBgn0033652	4236	FBgn0033652	4236
47	3R	20574275	20576067	1.942500114441	20575220	1.751965691062	FBgn0003719	236	FBgn0003719	236
48	2R	9076153	9081137	1.941116333008	9077765	1.759402303135	FBgn0033856	3313	FBgn0033856	3313
49	3R	27017909	27020178	1.937004089355	27018865	1.779056801515	FBgn0004389	81	FBgn0004389	81
50	2R	5488496	5491317	1.935218811035	5490003	1.783074855804	FBgn0000606	1051	FBgn0000606	1051
51	3L	14118181	14119952	1.926746845245	14119171	1.80342427422	FBgn0042630	22588	FBgn0000411	24708
52	2R	9825747	9828378	1.924962997437	9827422	1.456118233999	FBgn0033921	10206	FBgn0033922	13267
53	X	8498437	8500970	1.924173355103	8499876	1.814659062554	FBgn0004102	3990	FBgn0004102	3990
54	3R	9736196	9738129	1.921010017395	9737289	1.877261734009	FBgn0000576	9708	FBgn0000576	9708
55	2L	3824001	3826113	1.915959835052	3824955	1.657338827848	FBgn0003430	725	FBgn0003430	725
56	2R	15555132	15556919	1.912103652954	15556166	1.697034418583	FBgn0034480	36316	FBgn0004364	70208
57	3R	17978240	17979698	1.902089595795	17979085	1.407148599625	FBgn0053335	11655	FBgn0053335	11655
58	X	8972203	8974036	1.901655673981	8972953	1.638455278733	FBgn0030090	7286	FBgn0030092	21327
59	2L	8808998	8811002	1.898820877075	8809954	1.849826644449	FBgn0029123	15671	FBgn0029123	15671
60	X	19925459	19927289	1.897786617279	19926452	1.536685270422	FBgn0031086	130	FBgn0031093	77210
61	X	8487711	8489646	1.893944740295	8488809	1.711634635925	FBgn0004102	7077	FBgn0004102	7077
62	X	6884944	6887047	1.892689704895	6885906	1.540725008647	FBgn0029931	62	FBgn0029931	62
63	2R	16112098	16113674	1.888945102692	16112783	1.555899083614	FBgn0050153	1071	FBgn0046816	8161
64	3L	8639334	8641214	1.880142211914	8640294	1.682580611285	FBgn0001168	9412	FBgn0001168	9412
65	3R	9636838	9638707	1.860045433044	9637728	1.652579277754	FBgn0053327	1113	FBgn0053327	1113
66	3L	20562393	20564409	1.858329534531	20563381	1.694339841604	FBgn0037014	7690	FBgn0001320	65823
67	3L	15982239	15984272	1.851479530334	15983202	1.745805799961	FBgn0044028	5537	FBgn0044028	5537
68	2L	8831543	8833536	1.846502304077	8832485	1.596231741064	FBgn0029123	6860	FBgn0029123	6860
69	2R	16468032	16470962	1.824314117432	16470163	1.600482772378	FBgn0008636	1672	FBgn0034565	15656
70	2L	599782	602757	1.821190834045	600804	1.709496498108	FBgn0031270	2009	FBgn0031267	26572
71	2R	14787556	14789284	1.810258865356	14788427	1.689325273037	FBgn0003254	2162	FBgn0003254	2162
72	2L	2455741	2458319	1.802997589111	2456862	1.747980684042	FBgn0012017	3182	FBgn0015816	35804
73	X	7164954	7166782	1.80081987381	7165727	1.727294027805	FBgn0029943	3249	FBgn0024250	12550
74	3R	16116403	16119065	1.798393726349	16117014	1.380945261787	FBgn0028386	1974	FBgn0028386	1974
75	3R	20995570	20999788	1.797464847565	20997658	1.591917842627	FBgn0039285	725	FBgn0039286	13077
76	3R	13219316	13220933	1.79568529129	13220035	1.59162644779	FBgn0025456	270	FBgn0025456	270
77	2R	8705520	8707413	1.7840051651	8706374	1.727181077003	FBgn0028991	393	FBgn0028991	393
78	X	20501089	20504054	1.783076286316	20502258	1.455230853137	FBgn0003300	2859	FBgn0003300	2859
79	2R	16554962	16556865	1.782707214355	16555753	1.563631618724	FBgn0003391	8988	FBgn0003391	8988
80	3R	679321	680919	1.775911808014	680074	1.482226119322	FBgn0003002	1539	FBgn0003002	1539
81	3R	25866122	25868310	1.765895843506	25867146	1.513656223522	FBgn0003510	209	FBgn0003510	209
82	2R	20614608	20616129	1.758893966675	20615155	1.671102455684	FBgn0050430	21877	FBgn0001148	45575
83	X	448484	450568	1.75389623642	449731	1.738493302289	FBgn0003986	1868	FBgn0003986	1868
84	2L	7048123	7049716	1.753778457642	7048909	1.389970362186	FBgn0051630	6442	FBgn0051630	6442
85	3L	21413240	21416285	1.752462387085	21414305	1.428997834524	FBgn0014143	3908	FBgn0014143	3908
86	2L	3070796	3073070	1.749456882477	3072063	1.578547702116	FBgn0027571	15448	FBgn0003934	23362
87	3R	13651148	13652912	1.742783069611	13652119	1.459690402536	FBgn0051246	14853	FBgn0051246	14853
88	2L	18592393	18595460	1.738955497742	18594255	1.527269750834	FBgn0003270	1126	FBgn0032693	54658
89	X	2289605	2291746	1.737545490265	2290681	1.461996919969	FBgn0001150	5562	FBgn0001150	5562
90	3R	2488318	2489985	1.726447105408	2489161	1.309331389034	FBgn0024912	3339	FBgn0026567	5557
91	3R	2774138	2775938	1.722041606903	2774972	1.452332913876	FBgn0051488	8484	FBgn0001077	84926
92	2R	19145779	19147598	1.718091487885	19146902	1.343555569649	FBgn0004795	6690	FBgn0016762	54696
93	3R	2579131	2582029	1.708499908447	2580129	1.5724772846	FBgn0004053	208	FBgn0004053	208
94	X	11822043	11823655	1.705176830292	11822847	1.511867582798	FBgn0003865	3	FBgn0003865	3
95	2R	8292478	8293931	1.693392753601	8293298	1.208905315399	FBgn0003326	3153	FBgn0003326	3153
96	2R	2086869	2089243	1.691919326782	2087947	1.382264249465	FBgn0033076	24844	FBgn0041145	34371
97	2R	11412366	11413777	1.679374694824	11413179	1.168097393853	FBgn0053463	1889	FBgn0003425	7462
98	2L	13866970	13869110	1.674088001251	13867854	1.547073870897	FBgn0028532	18442	FBgn0051842	32816
99	2R	6752742	6754585	1.672578573227	6753683	1.494205755346	FBgn0033590	1093	FBgn0033590	1093
100	3R	26252712	26254582	1.669428825378	26253594	1.596065240748	FBgn0039767	404	FBgn0039767	404
101	X	3706199	3708261	1.661942005157	3707432	1.346450090408	FBgn0019661	492	FBgn0019661	492
102	3L	8660729	8662510	1.660118103027	8661610	1.573985338211	FBgn0001168	11904	FBgn0001168	11904
103	3R	173215	175269	1.659092903137	174396	1.507102798013	FBgn0001204	2024	FBgn0001204	2024
104	3L	20335825	20337458	1.655574798584	20336689	1.345332482282	FBgn0028978	1240	FBgn0028978	1240
105	2R	6714006	6715831	1.649786949158	6715054	1.325853431926	FBgn0033582	20066	FBgn0033590	37536
106	2L	18876153	18877822	1.64395904541	18877022	1.451916490282	FBgn0003896	163	FBgn0032717	41426
107	X	8675636	8677932	1.635880470276	8676866	1.339459836483	FBgn0052710	12408	FBgn0030061	116679
108	2R	20315472	20317186	1.626464366913	20316232	1.288613319397	FBgn0000157	6198	FBgn0050423	67204
109	3R	19974538	19976266	1.615871906281	19975587	1.348790019751	FBgn0046322	317	FBgn0013343	44122
110	X	7141499	7143187	1.609628200531	7142352	1.470854226281	FBgn0025549	5812	FBgn0025549	5812
111	3R	12651457	12653221	1.604362010956	12652409	1.396046549082	FBgn0000014	3360	FBgn0020546	23317
112	2R	9081875	9087373	1.601104736328	9085405	1.320535928011	FBgn0033857	4731	FBgn0033856	10953
113	3R	674010	676355	1.597681045532	675427	1.394330052768	FBgn0003002	3108	FBgn0003002	3108
114	3R	20134500	20136202	1.596217632294	20135301	1.404559920816	FBgn0028471	8841	FBgn0028471	8841
115	X	5519184	5521207	1.587969779968	5520178	1.425586640835	FBgn0029785	2499	FBgn0029785	2499
116	2R	16114889	16116461	1.581491470337	16115704	1.424326728372	FBgn0050153	3992	FBgn0046816	5240
117	3R	20584015	20586229	1.581248283386	20585163	1.514341017779	FBgn0000140	5538	FBgn0000140	5538
118	3R	6442950	6445292	1.578774452209	6444134	1.497132982527	FBgn0001235	20252	FBgn0001235	20252
119	3R	2635388	2637133	1.578405380249	2636195	1.437783830306	FBgn0046833	899	FBgn0046833	899
120	2L	14435422	14437308	1.574274539948	14436300	1.274010097279	FBgn0028871	11169	FBgn0005771	54562
121	2L	2154900	2156318	1.565683841705	2155486	1.227569439832	FBgn0031393	274	FBgn0031393	274
122	3L	5780060	5781918	1.564205169678	5781204	1.229291971992	FBgn0052415	3593	FBgn0035639	3716
123	3L	20555615	20558407	1.562890052795	20557160	1.385199995602	FBgn0001323	2783	FBgn0001320	72044
124	X	20557143	20558767	1.561742782593	20557933	1.317874179167	FBgn0031130	1308	FBgn0003300	52816
125	3L	17614794	17616428	1.560248851776	17615688	1.328722178936	FBgn0052179	3847	FBgn0052179	3847
126	3R	18954799	18956408	1.545847892761	18955677	1.288882620194	FBgn0051457	1971	FBgn0051457	1971
127	X	1679435	1681205	1.536054611206	1680398	1.464987025541	FBgn0029591	1418	FBgn0029591	1418
128	X	15517679	15519310	1.534546852112	15518468	1.370770258062	FBgn0030667	3284	FBgn0030671	19594
129	3L	21000068	21002363	1.534110546112	21000692	1.174931645393	FBgn0053285	22151	FBgn0037044	38956
130	2R	16874364	16875853	1.534065246582	16875005	1.21094083786	FBgn0000395	482	FBgn0000395	482
131	3L	21231746	21233384	1.533308029175	21232563	1.436451350941	FBgn0000551	919	FBgn0037066	12659
132	X	15480122	15481676	1.529984951019	15480922	1.164174079895	FBgn0030663	2694	FBgn0003463	20445
133	2R	16366324	16367890	1.526197433472	16367021	1.371851623058	FBgn0034554	6662	FBgn0016984	27025
134	2R	16414296	16416035	1.522999286652	16415236	1.412933766842	FBgn0034560	2050	FBgn0034565	70583
135	3R	8470925	8472503	1.521713256836	8471544	1.249141580918	FBgn0038071	2238	FBgn0038071	2238
136	X	18632680	18634243	1.520979881287	18633441	1.369606382707	FBgn0001090	1825	FBgn0001090	1825
137	2L	3541454	3543063	1.520386695862	3542104	1.386730194092	FBgn0024244	2853	FBgn0031549	11818
138	2L	16348851	16350708	1.516202926636	16350011	1.346642325906	FBgn0028506	1146	FBgn0028506	1146
139	3R	7953893	7955384	1.510945320129	7954582	1.315505308263	FBgn0037992	663	FBgn0037992	663
140	3R	21019930	21021573	1.51003074646	21020711	1.330607414246	FBgn0039288	571	FBgn0039288	571
141	3R	18614250	18615778	1.506734848022	18615012	1.228884279728	FBgn0039026	4806	FBgn0039013	62390
142	2L	5276611	5278262	1.506171226501	5277607	1.403137207031	FBgn0000228	951	FBgn0000228	951
143	3R	10504700	10506738	1.505229949951	10505850	1.309666395187	FBgn0038252	16685	FBgn0051314	17207
144	3R	863874	865903	1.501975536346	864836	1.516013971965	FBgn0010313	47572	FBgn0010313	47572
145	2R	10134752	10136452	1.497137069702	10135687	1.513837758233	FBgn0033948	488	FBgn0033948	488
146	3R	2673098	2674539	1.491189956665	2673738	1.164707481861	FBgn0003339	2148	FBgn0001077	16308
147	X	237959	239441	1.489806175232	238794	1.142963493572	FBgn0000022	11941	FBgn0000022	11941
148	3R	13905852	13907925	1.487172603607	13906633	1.234914571047	FBgn0038566	210	FBgn0038566	210
149	3R	16674257	16676228	1.485151290894	16675257	1.307995684007	FBgn0038834	1014	FBgn0038834	1014
150	X	8621365	8623035	1.48429942131	8622375	1.159076438231	FBgn0026411	28636	FBgn0030061	62188
151	3R	16671837	16673405	1.483429908752	16672730	1.241780519485	FBgn0038833	103	FBgn0038834	3541
152	2R	17051910	17054770	1.482253074646	17053308	1.374272795284	FBgn0050283	5153	FBgn0010415	64558
153	3R	915140	916861	1.476906299591	916002	1.260624498129	FBgn0010313	3594	FBgn0010313	3594
154	2L	7009536	7011254	1.471148014069	7010411	1.411914657144	FBgn0031880	3085	FBgn0051908	16884
155	2L	2164128	2166010	1.465294837952	2165126	1.29117343005	FBgn0031393	9366	FBgn0031393	9366
156	3R	7396495	7398038	1.458267688751	7397358	1.226028740406	FBgn0025701	2386	FBgn0037920	48455
157	2R	9944926	9946765	1.458243846893	9945790	1.290264297934	FBgn0013725	1408	FBgn0013725	1408
158	X	16442465	16443908	1.453433036804	16443100	1.166431819691	FBgn0025743	1549	FBgn0015615	15734
159	2L	6372450	6376498	1.44938325882	6373382	1.314281582832	FBgn0043854	967	FBgn0043854	967
160	3L	20627185	20629551	1.448713779449	20628509	1.42166221843	FBgn0001320	695	FBgn0001320	695
161	2L	1409943	1412477	1.444404602051	1410990	1.417430609465	FBgn0002543	9459	FBgn0002543	9459
162	2L	3079792	3081144	1.443626403809	3080401	1.044919073582	FBgn0027571	23786	FBgn0003934	31700
163	3R	12907440	12908878	1.443193435669	12908203	1.222095377305	FBgn0038476	2252	FBgn0038476	2252
164	2L	1516962	1518845	1.440515995026	1517871	1.274154567719	FBgn0001174	313	FBgn0001174	313
165	2R	5997797	5999117	1.434303283691	5998432	1.11194080465	FBgn0033529	6459	FBgn0033529	6459
166	2R	16866561	16867910	1.431149482727	16867223	1.104262053967	FBgn0000395	7300	FBgn0000395	7300
167	2L	867179	868788	1.429678916931	867855	1.200896058764	FBgn0029095	497	FBgn0020305	2056
168	3L	13068895	13070804	1.429349899292	13069924	1.221452236176	FBgn0052118	2274	FBgn0010452	18296
169	2L	9448024	9450468	1.42658996582	9449396	1.356916218996	FBgn0053723	8656	FBgn0002973	11883
170	3R	2569891	2571407	1.425099372864	2570802	1.219472604639	FBgn0004054	940	FBgn0004054	940
171	2R	18713744	18715409	1.421538352966	18714572	1.281115083133	FBgn0034834	4567	FBgn0003062	132252
172	3R	18498318	18500689	1.418829441071	18498945	1.165739508236	FBgn0039000	946	FBgn0039000	946
173	3R	6178119	6179663	1.415095806122	6178956	1.14772345038	FBgn0015396	3050	FBgn0015396	3050
174	2R	2950651	2951940	1.413029193878	2951144	1.361492792765	FBgn0033169	1362	FBgn0033179	27400
175	2R	11380314	11381838	1.412974834442	11381234	1.156573168437	FBgn0050085	2774	FBgn0050085	2774
176	3L	4794963	4796637	1.412904262543	4795703	1.251630726983	FBgn0042131	7450	FBgn0035570	105000
177	2L	15738268	15739751	1.411553382874	15739008	1.239301541272	FBgn0010382	5076	FBgn0003936	8603
178	X	3682597	3683929	1.409037590027	3683258	1.151203492109	FBgn0000542	1925	FBgn0000542	1925
