enhancer	status	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41
brk_chrX_7179402_7180902	Dl09_1500	84.7	-4.0490342687	-1.071117458	1.099	1.4865	-1.9519128885	0.651	1220.76	1092.4	1209.53	-1.8820256979	1.385609053	318	-92.1272047072	-0.5039210594	-0.6117277838	1.7323923111	2.6170692444	2.2740426063	-0.8697067211	-0.5370195267	0.563501358	2518.25	213.945	952.33	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	1	-59.2812955354	-784.212239968	518.661115848	1118.02461624	5369.89126671	490.262770721	7467.23997238	6155.52835471	314.8	414.353283898	5980.06008584
brk_chrX_7188569_7190069	Dl09_1500	1967.8	39.93	4.8	1.747	2.236	1.185	1.021	7608.88	1228.63	5249.39	15.95	14.552092989	-138.540774638	432	3.0830516815	5.2536520958	2.5519652367	2.8587055206	4.5694031715	-0.8697067211	5.6250081062	11.2653656006	2781.23	449.86	2505.73	-634.173214937	7193.84	1290.19	3	2	304.9866	1220.98	848.406958822	234.343778509	5437.30979041	219.095863747	7467.23997238	7604.61040712	147.280455635	-1219.43692574	5079.87930604
brk_chrX_7193141_7194641	Dl09_1500	564.1	5.38	-1.071117458	-2.1997145519	-0.4825	-1.9519128885	-2.826286439	-11421.256804	1228.63	2531.22	2.55	3.081969663	-138.540774638	187	-0.5039210594	-0.6117277838	2.2297449112	-0.583052405	-0.8876096928	1.050652504	0.9314813614	1.8131861686	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	1394.88	1	1	69.803	-784.212239968	1110.07558955	530.735785953	5874.26923453	653.703619048	7467.23997238	7604.61040712	958.938592751	828.170785563	6421.3565288
brk_chrX_7200262_7201762	Dl09_1500	919.3	10.05	-1.071117458	0.11	1.372	-1.9519128885	1.248	1406.19	2519.19	3865.39	7.92	5.15490196	-138.540774638	221	-0.5039210594	-0.6117277838	3.3568906784	-0.583052405	2.176970005	3.0392551422	1.038151741	3.1514825821	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1467.36	-658.634837531	1	1	224.3346	1121.31	1034.40508604	1181.58567775	5874.26923453	446.736299503	6650.52367424	6547.28923046	843.512180019	480.087476844	6421.3565288
brk_chrX_7214759_7216259	Dl09_1500	2093.7	20.25	4.91	0.895	1.1965	-1.9519128885	0.046	11815.09	2358.18	9052.46	13.09	6	295	267	3.3660674095	2.8430867195	3.1426887512	2.7490310669	4.2362704277	3.8751306534	8.8230757713	6.5937333107	6840.36	702.085	2054.92	-634.173214937	5505.58	-658.634837531	2	3	623.8526	4460.31	1622.24787543	1482.65298127	6015.28978841	936.974121282	7417.99044898	7736.56432044	908.086065574	1083.61996033	4935.52560647
brk_chrX_7228895_7230395	Dl09_1500	431.4	13.59	-1.071117458	-2.1997145519	1.398	-1.9519128885	0.257	2565.14	1216.25	1234.45	12.2	6.653816404	591	460	-0.5039210594	-0.6117277838	2.5491628647	-0.583052405	2.3587002754	-0.8697067211	-0.5370195267	4.9462528229	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1259.44	-658.634837531	-0.3207914114	-0.2961448371	12.7216	1308.19	132.8	134.483362022	5895.13869388	-80.1332600027	7560.57549421	7461.58492737	11.4689956332	65.6597183099	5807.04602415
rho_chr3L_1442735_1444235	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	0.47	-4.1990460938	-1.9519128885	0.17	-11421.256804	-10829.7231927	2493.83	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.4251537323	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	0.6703596115	1478.27	-51.654581424	889.71	1202.08	-1098.73702073	1407.97	-0.3207914114	-0.2961448371	-59.2812955354	2579.01	1414.368286	3133.39722796	6184.56103443	768.071830109	7502.67051698	7401.18065504	1108.75501191	1147.10838857	6351.78830811
rho_chr3L_1446571_1448071	Dl09_1500	930.2	7.73	-1.071117458	-0.068	1.8565	-1.9519128885	0.116	-11421.256804	1216.25	-1080.28955536	5.15	-1.7120711804	-138.540774638	204	-0.5039210594	2.0046653748	1.0537323952	-0.583052405	2.6027097702	-0.8697067211	0.9066991806	1.3389410972	-808.162744989	-51.654581424	964.85	3172.79	3765.33	3522.64	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	736.698283321	2311.39612182	6340.31216362	713.905180366	7502.67051698	7401.18065504	824.854660348	529.819847328	6351.78830811
rho_chr3L_1455747_1457247	Dl09_1500	196.8	3.74	-1.071117458	1.329	0.6235	-1.9519128885	0.95	3983.69	-10829.7231927	1197.06	9.1	6.833037336	-138.540774638	-92.1272047072	0.960226059	-0.6117277838	1.2243499756	2.2892861366	-0.8876096928	5.3181676865	0.9741687775	4.8958699703	1115.12	-51.654581424	964.85	-634.173214937	2583.86	-658.634837531	-0.3207914114	-0.2961448371	336.5458	1245.9	1717.18048691	2824.27011932	6319.82570806	949.522818459	7502.67051698	7401.18065504	827.22571912	790.391171699	6351.78830811
rho_chr3L_1462882_1464382	Dl09_1500	1291.8	15.59	4.66	1.12	1.972	-1.9519128885	1.411	7967.38	2370.57	2967.44	8.07	6.510090715	-138.540774638	320	1.7550730705	1.6685671806	2.2187271118	2.2661995888	4.7513985633	3.024261713	7.509973526	8.6446723938	2418.07	654.265	1090.07	1214.28	3064.67	3805.13	1	1	258.2924	2417.04	309.583197778	2764.15476757	6619.87998588	385.55176754	7502.67051698	4087.52681618	423.715744476	498.24	6351.78830811
rho_chr3L_1478851_1480351	Dl09_1500	939.9	5.58	-1.071117458	1.132	0.9955	-1.9519128885	-0.031	1270.21	-10829.7231927	1221.99	5.7	0.665540217	-138.540774638	268	-0.5039210594	-0.6117277838	2.0273084641	2.3538818359	1.7419157028	3.2459259033	0.6614842415	4.0127267837	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	133.1106	-784.212239968	1425.43823847	2708.04765886	6619.87998588	574.916107383	7760.00971227	7976.13758509	486.111557789	116.426873801	6351.78830811
rho_chr3L_1484899_1486399	Dl09_1500	123.6	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1458.8	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.6886415482	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	-59.2812955354	-784.212239968	1500.11649366	1797.93333333	4507.27801859	599.133333333	5805.20294669	5548.03366374	727.834205934	518.933333333	3788.04277077
