enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
ush_chr2L_519935_521435	Dl09_1500	4353.4	31.22	4.32	2.103	0.6295	1.081	2.097	6338.67	4642.06	2718.17	8.82	7.785739193	-138.540774638	352	2.3170847893	3.1748952866	3.4579529762	4.9106602669	2.1424732208	7.8922481537	0.9757447243	7.8693213463	1140.16	-51.654581424	3069.86	1690.1	6414.16	2920.64	-0.320791411368	2	424.5061	-784.212239968	1868.1603548	2004.17605956	6947.86264601	649.978098993	7956.77612814	7995.73783157	561.261564626	741.8	6620.89559387
ush_chr2L_530978_532478	Dl09_1500	-488.754195154	-4.04903426872	-1.071117458	-2.19971455194	-4.19904609378	-1.95191288852	-2.82628643895	1208.39	-10829.7231927	-1080.28955536	-1.8820256979	-1.71207118042	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	0.8497982025	-0.583052405011	-0.887609692841	1.007666111	-0.537019526686	1.2220997811	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1298.43	-658.634837531	-0.320791411368	-0.296144837142	136.317	-784.212239968	2606.14956427	3120.84398977	6947.86264601	2138.76418933	8188.17314147	8035.63161924	2286.36621534	1343.20060105	7033.36754769
ush_chr2L_543051_544551	Dl09_1500	944	4.63	-1.071117458	-2.19971455194	-4.19904609378	-1.95191288852	-0.817	-11421.256804	2469.65	1284.31	5.43	-1.71207118042	583	-92.1272047072	-0.503921059384	-0.611727783828	1.6826519966	-0.583052405011	-0.887609692841	2.1362378598	2.5268874168	1.6253004074	-808.162744989	153.825	3007.24	4118.66	6635.09	1944.54	1	1	88.1823	1283.27	5115.15883727	5687.33520061	6947.86264601	2644.4112628	8188.17314147	7796.61187521	3246.16570328	3804.8738262	6637.54863813
ush_chr2L_546002_547502	Dl09_1500	-488.754195154	-4.04903426872	-1.071117458	-2.19971455194	-4.19904609378	-1.95191288852	-2.82628643895	2639.31	1129.55	-1080.28955536	-1.8820256979	-1.71207118042	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	1.0098557472	-0.583052405011	-0.887609692841	-0.869706721074	0.8105101585	0.5897321701	4221.92	-51.654581424	1265.39	1202.08	1259.44	2423.33	1	-0.296144837142	-59.2812955354	-784.212239968	3791.6575592	3198.65083648	6947.86264601	2096.552531	8188.17314147	8224.51081359	2678.96591741	1687.39019537	6791.36525897
ush_chr2L_563772_565272	Dl09_1500	-488.754195154	-4.04903426872	-1.071117458	-2.19971455194	-4.19904609378	-0.106	-0.622	1257.84	1117.17	-1080.28955536	-1.8820256979	-1.71207118042	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	0.7794551849	-0.583052405011	-0.887609692841	0.7032117844	-0.537019526686	-1.67433894574	1252.86	-51.654581424	989.89	-634.173214937	1207.46	-658.634837531	1	-0.296144837142	42.6886	-784.212239968	3853.54593367	3929.97975497	7189.35757184	2328.70656934	8214.20559536	8626.47674231	2515.75323711	2308.72235494	7086.78678679
Doc1_chr3L_9011629_9013129	Dl09_1500	2606.3	20.35	-1.071117458	1.82	0.3965	0.36	1.454	1220.76	5697.3	2593.54	6.86	-1.71207118042	-138.540774638	778	-0.503921059384	3.3311231136	2.287375927	3.7778248787	-0.887609692841	6.2229418754	1.6044454575	4.0079607964	-808.162744989	-51.654581424	1014.94	4399.27	4428.07	1944.54	-0.320791411368	1	306.1795	1407.86	2255.275	2872.06812652	6260.550858	1721.85130033	8366.50668583	8238.38869814	1013.1926751	1160.75537303	6182.66650328
Doc1_chr3L_9018954_9020454	Dl09_1500	358.1	6.25	-1.071117458	0.349	-4.19904609378	-1.95191288852	0.371	1282.57	-10829.7231927	-1080.28955536	-1.8820256979	-1.71207118042	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	0.6184358597	-0.583052405011	-0.887609692841	-0.869706721074	-0.537019526686	-1.67433894574	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	1290.19	-0.320791411368	-0.296144837142	-59.2812955354	1457.7	2332.63540531	2869.21831884	6260.550858	1557.65765115	8031.79043075	8238.38869814	1801.88084376	1391.26340137	6182.66650328
Doc1_chr3L_9021691_9023191	Dl09_1500	2049.2	39.01	8.36	1.313	1.46	1.435	1.597	2725.85	3574.43	3977.56	6	5.397940009	-138.540774638	338	3.6744470596	3.8401374817	2.9551773071	2.8337001801	1.5972948074	3.4825463295	4.2439336777	5.8833127022	2280.33	463.76	1302.95	2965.38	2596.86	2802.85	-0.320791411368	1	255.7963	1283.27	3056.71568627	3711.54583639	6260.550858	2311.65065527	8031.79043075	8238.38869814	1863.9613823	2563.48568131	6182.66650328
Doc1_chr3L_9027518_9029018	Dl09_1500	-488.754195154	-4.04903426872	-1.071117458	-2.19971455194	-4.19904609378	-1.95191288852	-2.82628643895	-11421.256804	-10829.7231927	1172.13	4.49	5.397940009	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	0.5105714798	-0.583052405011	-0.887609692841	-0.869706721074	-0.537019526686	2.4712672234	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	-59.2812955354	1333.11	2607.59476602	3157.56586617	6861.68549088	1748.67839506	8031.79043075	8223.40149384	1764.94306377	1678.02204126	6263.44432477
Doc1_chr3L_9032635_9034135	Dl09_1500	7304.7	25.74	3.5	2.059	-1.1115	0.659	2.228	3724.08	2345.8	1184.6	11.05	16.281535315	-138.540774638	383	1.1259450912	3.5306649208	3.1246595383	2.7240738869	-0.887609692841	4.4294309616	5.2061719894	6.0585680008	-808.162744989	-51.654581424	1415.66	3380.2	1389.39	4302.44	-0.320791411368	1	447.7865	-784.212239968	2550.26363898	2896.42063688	6579.56877666	825.101550314	8031.79043075	8106.51445967	1110.37172482	1107.48228786	6272.28606608
