enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_12080941_12083149	A	3565.1	26.11	8.41	1.351	1.1125	2.051	3.397	3748.81	1216.25	-2295.8196923	11.1	4.638272164	-2295.8196923	421	4.7432594299	3.7508411407	3.1831431389	2.9154040813	2.4516644478	5.0786762237	2.2710614204	4.1775231361	-2295.8196923	-2295.8196923	-2295.8196923	3972.25	-2295.8196923	2737.42	-2295.8196923	1	236.2787	-2295.8196923	3093.7806075	3982.25122902	6083.07684255	1260.22246581	8215.69985723	8164.08977556	1637.614424	755.181990564	6101.12390102
Kvon2014_chr2L_12088676_12090844	A	764.3	27.26	-2200.34778632	0.735	1.6205	1.926	0.86	-2200.34778632	1228.63	-2200.34778632	5.7	-2200.34778632	-2200.34778632	-2200.34778632	2.4351081848	3.1817517281	3.1831431389	2.3976783752	3.8928198814	2.1964769364	0.8314685822	4.1775231361	1240.34	147.69	2180.14	1226.48	2713.81	-2200.34778632	-2200.34778632	1	64.48876	1121.31	2384.16405509	3157.5518551	6083.07684255	1123.01660517	8215.69985723	8390.20720976	1076.42320445	629.431092218	6169.93224811
Kvon2014_chr2L_12487632_12489761	A	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	1393.83	-2037.91426224	2381.66	1.32	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	0.9799370766	-2037.91426224	2.0013971329	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	-2037.91426224	1.79949	2329.83	1833.91503588	633.303343504	6008.12537136	152.158704722	7335.12465271	7362.56679176	241.614649575	486.326085155	6153.37509272
Kvon2014_chr2L_12665181_12667293	A	1158.5	11.03	3.73	1.423	0.3135	1.254	1.192	3897.16	2432.5	-2235.79552534	6	5.096910013	-2235.79552534	284	1.9985728264	1.6999077797	1.6015052795	2.2713150978	0.8671770096	2.5896019935	2.407189846	4.5584969521	-2235.79552534	-2235.79552534	-2235.79552534	1482.69	1311.42	1316.36	2	1	90.84	-2235.79552534	2018.47854109	3111.30212012	6503.27192111	1079.10828886	7923.06397787	8010.36666406	1224.10784826	1237.47043337	6723.74725334
Kvon2014_chr2L_12669220_12671417	A	819.8	9.75	-2281.95144162	-2281.95144162	-2281.95144162	-2281.95144162	1.545	2738.21	-2281.95144162	-2281.95144162	2.07	-2281.95144162	-2281.95144162	-2281.95144162	-2281.95144162	-2281.95144162	1.1940693855	2.4712381363	2.074710846	2.8538379669	0.7083511353	2.5771241188	-2281.95144162	-2281.95144162	-2281.95144162	2648.17	-2281.95144162	1525.75	-2281.95144162	-2281.95144162	-2281.95144162	1482.62	3600.73261837	4090.22630168	6515.74795745	834.195059281	7923.06397787	8010.36666406	758.97719408	1030.85989237	6723.74725334
Kvon2014_chr2L_14440355_14442469	A	94.4	35.99	8.79	-2220.87060906	-2220.87060906	-2220.87060906	-2220.87060906	-2220.87060906	1092.4	1209.53	6	5.195102067	-2220.87060906	-2220.87060906	-2220.87060906	3.9734358788	2.2492833138	3.1967859268	1.3427553177	4.3859033584	-2220.87060906	6.8201596737	-2220.87060906	115.48	1077.55	-2220.87060906	1246.45	-2220.87060906	1	-2220.87060906	118.27766	-2220.87060906	2381.45445974	3694.53885005	6073.23138133	1323.91588544	8134.32389366	8125.20999197	1291.0701244	1227.00544451	6862.02568947
Kvon2014_chr2L_14476156_14478269	A	91	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	1246.92	0.96	0.379103294	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	0.6650323868	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	3.0947675705	1553.4	-2119.02221641	-2119.02221641	-2119.02221641	1272.44	-2119.02221641	-2119.02221641	-2119.02221641	-2119.02221641	2728.51	3134.17457699	4031.34051869	6845.22411128	1307.58994195	7658.08732594	6087.27355267	1280.22524101	1300.64580375	6607.72458516
Kvon2014_chr2L_17381424_17383547	A	574.9	9.89	2.85	-2171.12578399	-2171.12578399	-2171.12578399	-2171.12578399	5056.09	1092.4	-2171.12578399	6	6	463	394	-2171.12578399	-2171.12578399	2.2213466167	-2171.12578399	0.9921841621	2.4266629219	1.1330518723	5.661567688	2918.97	261.13	-2171.12578399	-2171.12578399	-2171.12578399	-2171.12578399	1	-2171.12578399	273.258	1308.19	974.482401344	1575.40576882	6218.04591776	381.544607107	7658.68333539	7805.19424584	368.783990892	199.851666525	5923.6453202
Kvon2014_chr2L_1956400_1958532	A	628.7	5.3	3.63	-2250.05569141	-2250.05569141	-2250.05569141	-2250.05569141	1455.64	-2250.05569141	3753.21	5.7	3.772113295	-2250.05569141	-2250.05569141	3.7931571007	-2250.05569141	1.7547078133	2.3725743294	3.1258773804	3.081401825	0.7929430008	2.9680261612	1140.16	-2250.05569141	-2250.05569141	1202.08	-2250.05569141	-2250.05569141	-2250.05569141	1	41.3079	-2250.05569141	2054.25208174	3121.40851398	6724.47830168	1297.95795045	8044.30886858	7933.0961736	1340.09895862	1574.97020571	6677.47981476
Kvon2014_chr2L_1958014_1960258	A	628.7	5.3	3.63	-2175.67938699	-2175.67938699	-2175.67938699	-2175.67938699	1270.21	1104.78	-2175.67938699	5.7	-2175.67938699	-2175.67938699	-2175.67938699	3.7931571007	-2175.67938699	2.8421919346	2.3725743294	3.1258773804	3.081401825	0.7929430008	4.0118455887	1415.66	-2175.67938699	-2175.67938699	-2175.67938699	-2175.67938699	-2175.67938699	-2175.67938699	1	-2175.67938699	-2175.67938699	2707.13593738	3121.40851398	6601.69028659	1342.57908762	8044.30886858	7326.63354987	1468.91343522	1569.93499063	6677.47981476
