name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	0.69	6	6	248	251	1.5984025001	1.7844142914	1.7166600227	3.3386545182	1.0510287285	0.624578381	4.499727446	7.884825416	132.37	1	96.7684
Kvon2014_chrX_2322950_2325468	on	3915.8	32.7	5.01	1.72	3.0825	1.32	3.0825	12	8.22184875	0	235	2.68227911	3.85602808	3.6068725586	7.4506683349	2.9443955421	0.626852916	2.735381452	5.907520487	267.14	1	77.5599
Kvon2014_chr3R_12747382_12749489	on	1407.3	23.85	10.53	2.5	1.0815	1.361	1.0815	6	6	0	236	1.271343708	4.6415529251	3.5898003578	2.1090216636	4.4110269546	0	6.215073525	8.771819144	158.595	0	45.809
Kvon2014_chrX_18197231_18199428	on	3103.4	22.09	5.01	0	0	1.869	0	6	6	0	311	5.0378160477	3.3110532761	2.3413133621	3.4141511917	2.6753296852	2.640467077	2.015790224	8.317236095	251.645	1	48.6419
Kvon2014_chr2R_4134452_4136542	on	336.4	32.45	11.71	2.672	6.086	0	6.086	6	0	0	327	0	3.6917743683	4.0342936516	6.0401687622	3.6269817352	2.991128276	2.235120437	7.145879212	178.525	0	119.2907
Kvon2014_chr3R_17201451_17203140	on	127	5.66	0	0	0	0	0	0	3.514278574	397	252	0	1.6322646141	0	1.52542305	2.927873373	0	3.555805638	6.117614785	173.085	0	108.2098
Kvon2014_chr3R_10505242_10507354	on	2563.5	16.4	4.14	1.387	1.599	1.184	1.599	6	6	0	299	2.9111366272	3.1940975189	2.3533468246	2.2701301575	2.9052731991	5.094614691	7.339618966	14.686296931	307.04	0	185.198
Kvon2014_chrX_2324883_2326982	on	1619	21.66	5.01	1.72	2.77	1.32	2.77	12	5.301029996	0	235	2.68227911	3.85602808	3.6068725586	7.4506683349	0.6907844543	0.626852916	2.735381452	5.907520487	113.75	1	77.5599
Kvon2014_chr3R_19169758_19171858	on	1360.9	25.2	4.18	0.409	2.677	1.119	2.677	12	6.837489361	0	254	1.6059675217	1.877117157	0	4.6019434928	3.507768631	1.666225942	5.571828337	9.372446288	118.765	2	73.7076
Kvon2014_chr2L_20767347_20768825	on	1967.3	32.81	12.03	1.356	3.2495	0.82	3.2495	6	6	0	340	1.9866161346	3.7979521751	3.2058734894	6.8438768386	4.0561094284	1.973175764	4.318878136	9.448730333	245.8	1	81.0118
Kvon2014_chr3R_24412727_24414867	on	390.2	37.78	7.7	1.121	0	0	0	0	2.863279433	0	281	0	3.2108402252	2.219979763	0	6.2340714932	1.000677019	6.619741675	10.405569341	122.4	0	67.5782
Kvon2014_chr3L_17437262_17439559	on	533.2	3.91	0	0.582	0	0	0	2.42	0	0	244	0	0	1.8997120857	0	0	0	0.903253275	2.169392033	100.67	0	149.635
Kvon2014_chr3R_6443064_6445159	on	4320.8	15.43	0	0.613	1.6045	1.924	1.6045	6	6	296	373	2.5719466209	2.8361639977	2.3395709991	2.9669451714	3.0644860267	2.93180421	4.572050458	10.531812703	374.78	1	126.4413
Kvon2014_chr3R_15160880_15162972	on	354.1	0	0	0	0	0	0	1.1	2.115487841	0	321	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	0.617332882	3.91847585	5.638190406	138.745	0	64.0064
Kvon2014_chr2R_5862739_5864868	on	2411.2	19.14	12.78	2.345	2.5665	1.874	2.5665	9.31	8.48020767	0	327	4.0011930465	3.5246582031	3.5642366409	5.4760446549	4.2505507469	1.097770035	2.025248191	6.178551467	338.67	0	68.1977
Kvon2014_chrX_16113737_16115852	on	2235.7	15.86	6.03	2.138	0	0	0	6	6	0	228	0	3.04845047	3.7098698616	0.6422967911	2.3856754303	0.875609636	1.990513802	4.842922151	91.665	0	48.7865
Kvon2014_chrX_8546539_8548888	on	3237.3	15.86	5.01	1.219	2.162	1.768	2.162	6	5.522878745	0	244	3.7210998535	3.0885772705	2.8837380409	4.0987479687	6.3478355408	2.962868129	2.311612213	8.381557071	378.845	0	46.3879
Kvon2014_chr2R_16483505_16485613	on	166.5	0	0	0.608	0	1.717	0	0.58	0	0	254	3.3122763634	0	0	0.8782548904	0	0	3.106847819	5.548667636	131.28	1	0
Kvon2014_chr2R_5872688_5874770	on	1664.8	18.16	16.05	1.444	2.7485	2.908	2.7485	6	0	0	356	5.1280155182	3.1938204765	3.1094331741	6.8817224502	2.3369684219	2.184080061	1.463205934	6.702819236	162.51	0	79.1591
Kvon2014_chr4_79425_81608	on	1069.8	0	0	0	0.8725	0	0.8725	6	7.082452481	365	189	0	3.5793371201	0	3.1774539948	0	0	3.3001413	5.328487552	353.57	1	0
Kvon2014_chrX_3673654_3676071	on	111	15.01	0	-1.391	1.3025	0	1.3025	0	4.638272164	374	345	0	0	0	2.680560112	2.237200737	0	2.229477995	5.040397083	163.435	1	176.6976
Kvon2014_chr2R_5871167_5873296	on	1355.2	18.16	16.05	1.444	2.7485	2.908	2.7485	9.19	5.698970004	0	356	5.1280155182	3.1938204765	4.9500117302	6.8817224502	4.5508790016	1.370927698	2.32459004	6.751050979	265.59	1	33.3501
Kvon2014_chr2R_5861246_5863407	on	1134.3	19.14	12.78	2.57	2.5665	0	2.5665	9.13	8.48020767	0	327	0	3.5246582031	3.5642366409	5.4760446549	2.4180436134	0.547940588	2.025248191	5.62872202	158.255	0	213.897
Kvon2014_chr2R_21108595_21110685	on	2441	9.09	4.49	1.254	4.4085	2.49	4.4085	6	2.177505015	0	293	5.3699207306	3.1689620018	3.2632937431	8.0693802833	2.2767724991	0.897438947	1.16891861	4.535420278	141.385	1	0
Kvon2014_chr3L_542461_544728	on	271.8	6.68	0	0	0.2425	0	0.2425	1.28	2.668370282	389	193	0	2.295996666	2.2624211311	0.8517799377	1.0013260841	0	0.893481509	3.339825593	143.66	1	0
Kvon2014_chrX_4945256_4947456	on	2217.3	5.66	0	0	1.7385	0.743	1.7385	6	0	0	225	0	0	0	2.6704931259	0.9319667816	0.637166847	0.501138051	3.680403643	106.66	0	0
Kvon2014_chr3R_21852100_21854692	on	148.7	6.21	2.94	0.722	0	0	0	6	5.397940009	0	309	0	0	2.0954093933	2.0383663177	1.7648811341	3.516441316	4.502712138	11.228452691	209.86	2	267.0116
Kvon2014_chr3L_8661294_8663516	on	3514.8	30.74	5.56	2.325	4.0905	1.407	4.0905	6	4.327902142	0	385	3.4099502563	3.8205370903	3.2556886673	7.0631561279	2.7351660728	1.490307872	3.184874598	6.976991557	226.55	0	61.5249
Kvon2014_chr2R_7069850_7071967	on	3355.8	14.23	0	0.339	0	0	0	2.82	0	0	372	0	1.6059322357	0	0	0.7157402039	0	3.787161212	5.705861013	178.124444	1	46.1259
Kvon2014_chr3R_19019321_19021522	on	2439.9	20.67	4.29	1.101	2.3565	1.84	2.3565	12	6	0	359	4.3281931877	3.3458242416	4.800488472	6.8141613007	2.6911211014	6.255821733	7.275964489	15.843840647	135.955	0	171.0741
Kvon2014_chr4_1013286_1015477	on	258	0	0	0	0	0	0	0	0	0	219	0	0	0	0.5826778412	0	0	0	1.277868363	81.99	0	0
Kvon2014_chr2L_8844948_8847235	on	4855.1	16.44	3.42	1.074	2.2725	0	2.2725	6	6	0	374	0	3.5525808334	2.2776889801	4.6953802109	2.518646717	2.625582059	5.059636699	10.756365246	285.7	1	218.6293
Kvon2014_chr3R_11814891_11816988	on	7773.9	16.44	5.39	0	0	0	0	6	6.541422579	0	269	2.4689488411	2.730717659	3.3558526039	3.4948368073	6.0244431495	1.394376218	5.068835393	9.025245769	387.48	1	253.9171
Kvon2014_chr3R_11811918_11814017	on	1848.3	16.44	5.39	0	0	0	0	11.7	5	0	269	0	2.730717659	3.3558526039	0	7.8167512416	2.140735715	5.068835393	9.771605266	382.37	0	264.4294
Kvon2014_chrX_476757_478944	on	308.3	7.98	3.79	1.247	1.46	1.18	1.46	6	0.63344444	0	0	2.0105030537	1.7905106544	2.4302349091	2.8563499451	1.0048112869	4.478419125	4.898140069	12.484103497	264.005	0	103.5576
Kvon2014_chr3R_21019469_21021322	on	1602.9	21.52	5.32	0	0	0	0	4.68	5	0	0	2.5189933777	3.0720643997	2.896648407	3.651881218	3.87114048	0.751993881	3.410120235	5.863198533	216.75057	0	64.9375
Kvon2014_chr2R_5869684_5871848	on	661.8	18.16	16.05	0	2.7485	0	2.7485	3.19	5.698970004	0	356	0	3.1938204765	1.8405785561	6.8817224502	4.0464177132	0	2.32459004	5.380123281	103.08	1	0
Kvon2014_chr3L_20691955_20694178	on	161.9	0	0	0	0	0	0	6	6	0	0	4.0731048583	0	2.2336821556	8.0429306031	0	2.682889862	2.709759095	7.5082229	298.14	0	151.7965
Kvon2014_chr2L_18031_20238	on	0	0	0	0	0	0	0	0	1.253412502	0	100	0	0	0	0	0	0	0	0.887657859	77.38	0	0
Kvon2014_chr3R_12716036_12718170	on	553.2	21.34	5.32	0.509	1.7625	0	1.7625	6	6	0	0	0	3.3990535736	1.7626962662	3.6835465431	0.8233356476	0.645421926	5.667752154	8.269090569	143.835	1	157.414
Kvon2014_chrX_3032372_3034558	on	1780.3	21.48	0	1.167	1.612	0	1.612	10.57	8.894489815	456	189	0	2.0163450241	4.0865867138	2.5712070465	1.8702368737	0.719676644	2.37651264	6.068435624	183.62	0	0
