Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	3R	670960	681325	4.439120292664	675006	4.017496698043	FBgn0003002	3529	FBgn0003002	3529
2	2L	5471635	5475923	4.185981750488	5473999	3.796714941661	FBgn0005511	12358	FBgn0005511	12358
3	3R	171592	176622	4.093294143677	174288	3.872676266564	FBgn0001204	1916	FBgn0001204	1916
4	2L	14439300	14449799	3.973435878754	14445736	3.677693635225	FBgn0028844	5080	FBgn0005771	45126
5	2L	6371036	6377331	3.953640937805	6373030	3.640554368496	FBgn0043854	615	FBgn0043854	615
6	3L	13050501	13057396	3.924695491791	13055316	3.604438006878	FBgn0036345	5920	FBgn0010452	32904
7	2L	11444600	11456969	3.922716617584	11453018	3.776176789228	FBgn0004579	7415	FBgn0004579	7415
8	X	15478078	15482300	3.917993068695	15480469	3.629369763767	FBgn0030663	2241	FBgn0003463	19992
9	X	7386461	7390346	3.889669418335	7388023	3.637420261607	FBgn0052720	5898	FBgn0027553	185535
10	3R	2578690	2582703	3.861305713654	2581486	3.722246319056	FBgn0026564	805	FBgn0026564	805
11	X	2284269	2288566	3.856028079987	2287218	3.70685487635	FBgn0001150	2099	FBgn0001150	2099
12	2L	21863424	21865177	3.849382400513	21864689	3.571512520313	FBgn0032965	21165	FBgn0003866	48501
13	3R	20573539	20576328	3.847198486328	20575012	3.338133391212	FBgn0003719	444	FBgn0003719	444
14	2R	18195844	18200557	3.842077732086	18197872	3.134205460548	FBgn0020257	1317	FBgn0020257	1317
15	3L	9001665	9004927	3.840137481689	9003267	3.683947436015	FBgn0035956	8911	FBgn0028789	12057
16	3L	4674780	4679276	3.82436466217	4677574	3.639691661386	FBgn0042199	952	FBgn0042199	952
17	3L	8642634	8647265	3.820537090302	8644569	3.543210394242	FBgn0001168	5137	FBgn0001168	5137
18	2L	20754709	20762265	3.79795217514	20756564	3.762171387672	FBgn0000251	1764	FBgn0000986	34056
19	2L	19332662	19339128	3.786555767059	19334547	3.463232390086	FBgn0024245	24606	FBgn0024245	24606
20	X	18629053	18635836	3.776484489441	18633541	3.409654813654	FBgn0001090	1925	FBgn0001090	1925
21	3L	18324519	18328722	3.773662567139	18326943	3.603726555319	FBgn0011706	36719	FBgn0011706	36719
22	2L	12079197	12083831	3.750841140747	12081344	3.430017828941	FBgn0003145	4448	FBgn0003145	4448
23	X	6879077	6887225	3.740758419037	6885762	3.508997344971	FBgn0029931	82	FBgn0029931	82
