enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_12665181_12667293	on	1158.5	11.03	3.73	1.423	0.3135	1.254	1.192	3897.16	2432.5	-1080.28955536	6.0	5.096910013	-138.540774638	284.0	1.9985728264	1.6999077797	1.6015052795	2.2713150978	0.8671770096	2.5896019935	2.407189846	4.5584969521	-808.162744989	-51.654581424	-704.086730004	1482.69	1311.42	1316.36	2.0	1.0	90.84	-784.212239968	2018.47854109	3111.30212012	6503.27192111	1079.10828886	7923.06397787	8010.36666406	1224.10784826	1237.47043337	6723.74725334
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	-1.071117458	0.797	1.2985	-1.95191288852	1.745	4181.49	-10829.7231927	-1080.28955536	4.79	3.021819483	-138.540774638	280.0	-0.503921059384	2.7144141197	2.7202825546	2.223377943	2.6624443531	2.3374700546	-0.537019526686	3.5724534988	1616.01	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1.0	-0.296144837142	135.1676	-784.212239968	1978.42732004	2727.4050359	6859.16779601	1327.90970865	8047.08101989	8027.89275188	1291.72077653	1303.30233896	6977.36000305
Kvon2014_chr2L_12678950_12681044	on	1394.6	14.25	3.35	1.007	2.8975	-1.95191288852	1.327	-11421.256804	1216.25	1172.13	6.0	6.0	-138.540774638	291.0	-0.503921059384	2.3507757187	3.0107827187	2.0096259117	4.7475485802	3.9625964165	0.8494024277	4.040918827	-808.162744989	-51.654581424	-704.086730004	1214.28	-1098.73702073	1290.19	-0.320791411368	-0.296144837142	185.2425	-784.212239968	2270.59359344	3414.95290424	6875.94361073	1218.67239733	7923.06397787	8149.51583981	1097.27793696	1248.17433208	6837.34025888
Kvon2014_chr3L_12641178_12643551	on	1239.7	13.0	3.28	0.562	1.7775	-1.95191288852	1.079	-11421.256804	-10829.7231927	1296.77	6.0	2.527975302	-138.540774638	-92.1272047072	-0.503921059384	1.8916797638	2.942949295	2.1938958168	3.2803149223	0.6129808426	-0.537019526686	2.7328624726	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1551.93	-0.320791411368	1.0	30.3674	-784.212239968	2113.21374432	3213.23031906	6149.64425349	1397.14895378	7589.43336831	7814.69342526	1662.63020754	914.327855036	6172.50295758
Kvon2014_chr3R_12716036_12718170	on	553.2	21.34	5.32	0.509	1.7625	-1.95191288852	1.786	3711.71	-10829.7231927	-1080.28955536	6.0	6.0	-138.540774638	-92.1272047072	-0.503921059384	3.3990535736	2.219648838	1.7626962662	3.6835465431	0.8233356476	0.7259988785	5.7677645684	-808.162744989	143.835	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1.0	1.0	157.414	1196.06	2611.18320332	2980.85440588	6606.59909026	915.76690506	7917.19442559	8165.48924749	577.932005835	1175.85996026	6654.3212057
Kvon2014_chr2L_3820069_3822166	on	1422.2	13.32	-1.071117458	0.682	2.1945	-1.95191288852	1.038	1282.57	1228.63	-1080.28955536	6.0	6.0	-138.540774638	397.0	2.3643693924	2.9986009598	3.6278614998	1.9991455078	4.2161867619	2.5722570419	0.9141426086	4.7804069519	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1337.41	-658.634837531	1.0	1.0	133.2583	1457.7	2225.30898971	3016.08403576	6724.38872492	950.243517281	7969.23417653	7957.78902954	631.957130455	1175.65226849	6815.74214408
Kvon2014_chr3L_17003868_17006065	on	1224.3	10.25	5.06	0.813	0.3195	0.933	1.555	1356.74	-10829.7231927	-1080.28955536	6.0	6.0	533.0	336.0	2.2382178307	-0.611727783828	2.6668934822	-0.583052405011	2.6363277435	3.7229542732	2.3946413994	4.6213359833	-808.162744989	-51.654581424	989.89	1482.69	1571.32	2750.51	1.0	1.0	29.5238	1681.96	1864.37150214	1953.77123028	6589.08526391	876.092288248	8060.85793872	8161.8806253	1041.3176344	558.549111612	6899.51807229
Kvon2014_chr3R_12664710_12666865	on	649.9	17.75	-1.071117458	1.331	2.2175	-0.119	2.278	-11421.256804	1080.02	1234.45	6.0	5.397940009	-138.540774638	-92.1272047072	-0.503921059384	3.2197580338	1.7717337608	2.9606294632	4.10028553	1.1119847298	0.8936424255	5.7827806473	1227.82	138.53	1165.21	-634.173214937	1298.43	-658.634837531	1.0	1.0	168.377	-784.212239968	1800.95464906	3124.54462753	6859.16779601	569.514835984	8047.08101989	8027.89275188	711.133650929	630.331892259	6977.36000305
Kvon2014_chr3R_2488662_2490888	on	1160.7	-4.04903426872	-1.071117458	1.027	-0.5085	0.979	0.226	2577.5	1228.63	-1080.28955536	6.0	4.420216403	-138.540774638	-92.1272047072	2.8528375626	-0.611727783828	1.6079716682	2.0711603165	-0.887609692841	2.3322563172	-0.537019526686	3.5719032287	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1656.62	-0.320791411368	-0.296144837142	104.547	-784.212239968	1575.88530738	2794.27552122	6203.86389044	910.922567998	7794.71360333	7921.22933232	1000.10531765	1048.74815141	5850.60735977
Kvon2014_chr2R_11417613_11419772	on	2514.2	10.98	-1.071117458	0.565	2.834	-1.95191288852	0.733	1208.39	-10829.7231927	1209.53	6.0	1.788399771	508.0	261.0	-0.503921059384	1.8050765991	1.5716366768	1.7165541649	3.896206379	1.8703904152	0.7786021233	2.0960903168	-808.162744989	168.17	-704.086730004	1287.48	1610.3	1185.49	-0.320791411368	2.0	113.82965	-784.212239968	1723.95791624	2441.5266141	7236.11554229	928.846566925	8136.65228721	8497.72479221	553.786734849	359.569484137	7112.75569704
