enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_12079283_12081369	early	3469.6	26.11	8.41	1.351	1.1125	1.986	3.397	1183.67	-10829.7231927	-1080.28955536	12	10.638272164	-138.540774638	202	4.7432594299	3.7508411407	3.1831431389	2.9154040813	2.4516644478	5.0786762237	2.2710614204	4.1775231361	-808.162744989	-51.654581424	1440.7	1482.69	1350.41	2685.08	-0.3207914114	2	259.8697	1657.04	2004.25556982	2535.08384269	6083.07684255	1007.44917142	6880.37520242	7033.7017654	1187.01689598	665.578709594	6101.12390102
Kvon2014_chr2L_12080941_12083149	early	3565.1	26.11	8.41	1.351	1.1125	2.051	3.397	3748.81	1216.25	-1080.28955536	11.1	4.638272164	-138.540774638	421	4.7432594299	3.7508411407	3.1831431389	2.9154040813	2.4516644478	5.0786762237	2.2710614204	4.1775231361	-808.162744989	-51.654581424	-704.086730004	3972.25	-1098.73702073	2737.42	-0.3207914114	1	236.2787	-784.212239968	3093.7806075	3982.25122902	6083.07684255	1260.22246581	8215.69985723	8164.08977556	1637.614424	755.181990564	6101.12390102
Kvon2014_chr2L_12084893_12085799	early	3775.7	8.52	-1.071117458	0.149	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	-1080.28955536	1.44	4.886056648	-138.540774638	323	-0.5039210594	3.1817517281	3.1831431389	-0.583052405	-0.8876096928	5.0786762237	0.6103773117	4.1775231361	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	2	292.6261	-784.212239968	3396.57393096	3982.25122902	6083.07684255	1945.12352388	8215.69985723	8390.20720976	1989.23826542	1564.63221715	5791.87819374
Kvon2014_chr2L_12088676_12090844	early	764.3	27.26	-1.071117458	0.735	1.6205	1.926	0.86	-11421.256804	1228.63	-1080.28955536	5.7	-1.7120711804	-138.540774638	-92.1272047072	2.4351081848	3.1817517281	3.1831431389	2.3976783752	3.8928198814	2.1964769364	0.8314685822	4.1775231361	1240.34	147.69	2180.14	1226.48	2713.81	-658.634837531	-0.3207914114	1	64.48876	1121.31	2384.16405509	3157.5518551	6083.07684255	1123.01660517	8215.69985723	8390.20720976	1076.42320445	629.431092218	6169.93224811
Kvon2014_chr2L_12487632_12489761	early	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1393.83	-10829.7231927	2381.66	1.32	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	0.9799370766	-0.5370195267	2.0013971329	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	1.79949	2329.83	1833.91503588	633.303343504	6008.12537136	152.158704722	7335.12465271	7362.56679176	241.614649575	486.326085155	6153.37509272
Kvon2014_chr2L_12615601_12617849	early	1508.6	25.16	7.81	0.446	1.2805	-1.9519128885	1.141	2392.06	-10829.7231927	1533.58	5.1	1.22933205	-138.540774638	-92.1272047072	-0.5039210594	3.7118544579	2.4560499191	2.4693932533	3.6302905082	1.0096135139	-0.5370195267	5.5045561791	-808.162744989	118.295	1152.69	1226.48	1467.36	-658.634837531	2	-0.2961448371	18.6384	-784.212239968	1956.93987946	2917.64009702	5910.51540832	633.871499648	7964.79739928	8009.63562753	920.702162606	787.369971705	6682.18322365
Kvon2014_chr2L_12665181_12667293	early	1158.5	11.03	3.73	1.423	0.3135	1.254	1.192	3897.16	2432.5	-1080.28955536	6	5.096910013	-138.540774638	284	1.9985728264	1.6999077797	1.6015052795	2.2713150978	0.8671770096	2.5896019935	2.407189846	4.5584969521	-808.162744989	-51.654581424	-704.086730004	1482.69	1311.42	1316.36	2	1	90.84	-784.212239968	2018.47854109	3111.30212012	6503.27192111	1079.10828886	7923.06397787	8010.36666406	1224.10784826	1237.47043337	6723.74725334
Kvon2014_chr2L_13461810_13463910	early	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2614.59	1216.25	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	0.7898564339	1165.21	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1410.40617657	2653.06899903	6616.75186787	-167.913613405	7945.58912127	8129.33523074	86.2918743717	327.055711479	6458.26347713
Kvon2014_chr2L_14382957_14385160	early	792.3	8.1	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	2283.88	1359.09	5.7	1.036812102	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.0398869514	-0.583052405	-0.8876096928	0.8732306957	1.3511900902	3.2012634277	1328	-51.654581424	-704.086730004	1287.48	-1098.73702073	1224.75	-0.3207914114	-0.2961448371	-59.2812955354	1121.31	1748.94522952	3486.81477904	6095.13962387	239.246234837	7833.7216238	7891.44976738	776.193023727	1137.06575391	6777.3205187
Kvon2014_chr2L_14440355_14442469	early	94.4	35.99	8.79	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	1092.4	1209.53	6	5.195102067	-138.540774638	-92.1272047072	-0.5039210594	3.9734358788	2.2492833138	3.1967859268	1.3427553177	4.3859033584	-0.5370195267	6.8201596737	-808.162744989	115.48	1077.55	-634.173214937	1246.45	-658.634837531	1	-0.2961448371	118.27766	-784.212239968	2381.45445974	3694.53885005	6073.23138133	1323.91588544	8134.32389366	8125.20999197	1291.0701244	1227.00544451	6862.02568947
