enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr3L_12641178_12643551	on	1239.7	13	3.28	0.562	1.7775	NA	1.079	NA	NA	1296.77	6	2.527975302	NA	NA	NA	1.8916797638	2.942949295	2.1938958168	3.2803149223	0.6129808426	NA	2.7328624726	NA	NA	NA	1690.1	NA	1551.93	NA	1	30.3674	NA	2113.21374432	3213.23031906	6149.64425349	1397.14895378	7589.43336831	7814.69342526	1662.63020754	914.327855036	6172.50295758
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	NA	NA	0.618	NA	0.063	1257.84	1080.02	1309.23	6	6	470	347	NA	NA	2.8705043793	NA	2.2688522339	1.9577102661	2.6307616234	5.3300724029	1165.21	NA	NA	1226.48	NA	NA	1	1	168.6814	NA	2215.60996663	2266.92896344	6807.68190759	1062.56519833	8097.40460157	8285.99051441	1268.77232255	559.566963951	4821.42693365
Kvon2014_chrX_8667997_8670179	on	250.6	6.65	NA	-0.1	1.1875	NA	0.858	2750.57	NA	NA	5.78	2.031517051	NA	195	1.4842994213	NA	1.719823122	NA	2.7952136994	0.9778785706	NA	3.7403783798	NA	NA	NA	NA	NA	NA	NA	NA	30.24084	NA	1319.02014452	1601.08146845	6081.65133898	740.950370241	7226.26406854	7121.12068966	771.014506281	842.906186416	5798.57331118
Kvon2014_chr2L_3820069_3822166	on	1422.2	13.32	NA	0.682	2.1945	NA	1.038	1282.57	1228.63	NA	6	6	NA	397	2.3643693924	2.9986009598	3.6278614998	1.9991455078	4.2161867619	2.5722570419	0.9141426086	4.7804069519	NA	NA	NA	NA	1337.41	NA	1	1	133.2583	1457.7	2225.30898971	3016.08403576	6724.38872492	950.243517281	7969.23417653	7957.78902954	631.957130455	1175.65226849	6815.74214408
Kvon2014_chr3R_2488662_2490888	on	1160.7	NA	NA	1.027	-0.5085	0.979	0.226	2577.5	1228.63	NA	6	4.420216403	NA	NA	2.8528375626	NA	1.6079716682	2.0711603165	NA	2.3322563172	NA	3.5719032287	NA	NA	NA	1690.1	NA	1656.62	NA	NA	104.547	NA	1575.88530738	2794.27552122	6203.86389044	910.922567998	7794.71360333	7921.22933232	1000.10531765	1048.74815141	5850.60735977
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	NA	0.797	1.2985	NA	1.745	4181.49	NA	NA	4.79	3.021819483	NA	280	NA	2.7144141197	2.7202825546	2.223377943	2.6624443531	2.3374700546	NA	3.5724534988	1616.01	NA	NA	NA	NA	NA	1	NA	135.1676	NA	1978.42732004	2727.4050359	6859.16779601	1327.90970865	8047.08101989	8027.89275188	1291.72077653	1303.30233896	6977.36000305
Kvon2014_chr2R_4542035_4544178	on	3744.8	18.97	NA	NA	NA	NA	NA	1406.19	NA	NA	6	5.522878745	668	316	2.3649840355	2.4075622559	2.9271807671	2.2045168877	4.0203824043	2.3988757134	2.57837677	3.7657232285	NA	NA	NA	1226.48	NA	1211.67	NA	1	141.8715	NA	2452.9627031	3091.4658243	6225.2052378	581.744486088	7781.6059046	7770.73806078	814.250760332	928.476803466	6471.21472393
Kvon2014_chr2L_12678950_12681044	on	1394.6	14.25	3.35	1.007	2.8975	NA	1.327	NA	1216.25	1172.13	6	6	NA	291	NA	2.3507757187	3.0107827187	2.0096259117	4.7475485802	3.9625964165	0.8494024277	4.040918827	NA	NA	NA	1214.28	NA	1290.19	NA	NA	185.2425	NA	2270.59359344	3414.95290424	6875.94361073	1218.67239733	7923.06397787	8149.51583981	1097.27793696	1248.17433208	6837.34025888
Kvon2014_chr3R_12716036_12718170	on	553.2	21.34	5.32	0.509	1.7625	NA	1.786	3711.71	NA	NA	6	6	NA	NA	NA	3.3990535736	2.219648838	1.7626962662	3.6835465431	0.8233356476	0.7259988785	5.7677645684	NA	143.835	NA	NA	NA	NA	1	1	157.414	1196.06	2611.18320332	2980.85440588	6606.59909026	915.76690506	7917.19442559	8165.48924749	577.932005835	1175.85996026	6654.3212057
Kvon2014_chr2L_17753976_17756084	on	101.3	9.66	NA	NA	-0.2705	NA	NA	2490.96	NA	1209.53	6	6	NA	NA	NA	NA	1.9260807037	NA	NA	NA	NA	4.8606982231	1528.36	NA	1465.75	NA	1688.27	NA	NA	1	211.8831	NA	1839.01722593	3045.37572254	6454.72208855	697.61823386	7843.82159693	8081.89637622	572.656040481	782.842783681	6669.4688961
