enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_10388040_10390080	always	77.8	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1172.13	1.86	2.631341288	438	-92.1272047072	-0.5039210594	1.6358880997	1.5542240143	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.930152893	-808.162744989	146.41	877.19	1287.48	1402.39	1486.49	1	-0.2961448371	-59.2812955354	-784.212239968	838.264585967	2576.34870115	6705.91189481	1465.07352941	8020.69974736	7989.08567633	474.31993091	98.1882655714	6297.36041828
Kvon2014_chr2L_12606738_12608834	always	767.1	9.05	-1.071117458	1.761	0.803	-1.9519128885	1.676	3588.1	2345.81	-1080.28955536	6	0.814752574	-138.540774638	-92.1272047072	-0.5039210594	1.4777686596	0.915450573	2.4841609001	0.9402160645	0.83689785	0.9395074844	3.7024526596	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1	-0.2961448371	-59.2812955354	1308.19	2552.8548988	3274.64133385	6305.00895456	820.681518662	7964.79739928	7634.58182592	1043.59755015	891.771379766	6682.18322365
Kvon2014_chr2L_12614109_12616353	always	1675	21.48	7.81	0.326	3.086	-1.9519128885	1.961	1183.67	-10829.7231927	1533.58	5.1	3.645891561	-138.540774638	-92.1272047072	-0.5039210594	3.7118544579	2.4560499191	2.4693932533	3.6302905082	1.0096135139	-0.5370195267	3.4804253579	-808.162744989	118.295	-704.086730004	1482.69	-1098.73702073	1237.84	2	-0.2961448371	18.6384	-784.212239968	2086.45435244	3186.55685441	6305.00895456	770.651631213	7964.79739928	8009.63562753	664.661319073	974.06607679	6682.18322365
Kvon2014_chr2L_12669220_12671417	always	819.8	9.75	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	1.545	2738.21	-10829.7231927	-1080.28955536	2.07	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.1940693855	2.4712381363	2.074710846	2.8538379669	0.7083511353	2.5771241188	-808.162744989	-51.654581424	-704.086730004	2648.17	-1098.73702073	1525.75	-0.3207914114	-0.2961448371	-59.2812955354	1482.62	3600.73261837	4090.22630168	6515.74795745	834.195059281	7923.06397787	8010.36666406	758.97719408	1030.85989237	6723.74725334
Kvon2014_chr2L_12678950_12681044	always	1394.6	14.25	3.35	1.007	2.8975	-1.9519128885	1.327	-11421.256804	1216.25	1172.13	6	6	-138.540774638	291	-0.5039210594	2.3507757187	3.0107827187	2.0096259117	4.7475485802	3.9625964165	0.8494024277	4.040918827	-808.162744989	-51.654581424	-704.086730004	1214.28	-1098.73702073	1290.19	-0.3207914114	-0.2961448371	185.2425	-784.212239968	2270.59359344	3414.95290424	6875.94361073	1218.67239733	7923.06397787	8149.51583981	1097.27793696	1248.17433208	6837.34025888
Kvon2014_chr2L_14476156_14478269	always	91	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1246.92	0.96	0.379103294	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.6650323868	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	3.0947675705	1553.4	-51.654581424	-704.086730004	-634.173214937	1272.44	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	2728.51	3134.17457699	4031.34051869	6845.22411128	1307.58994195	7658.08732594	6087.27355267	1280.22524101	1300.64580375	6607.72458516
Kvon2014_chr2L_14485084_14487223	always	1111.6	27.84	4.77	1.185	3.09	-1.9519128885	2.019	-11421.256804	-10829.7231927	-1080.28955536	12	6	-138.540774638	362	-0.5039210594	3.5692324638	3.1956377029	2.5221834183	5.9046945572	2.4792566299	1.2946367264	2.9531311989	1302.95	-51.654581424	-704.086730004	-634.173214937	1350.41	1303.28	-0.3207914114	1	254.3113	1295.73	2359.87188388	4114.68036519	6269.31307638	1326.24528065	8208.24504443	8312.81634423	1179.21827984	959.284830354	6906.29923348
Kvon2014_chr2L_15323818_15325903	always	2067.5	8.41	5.32	1.909	0.654	-1.9519128885	2.211	1282.57	-10829.7231927	1346.62	6	7.330394925	-138.540774638	381	2.3637003899	1.6451091766	1.4347419739	3.2156510353	2.5901942254	3.9520077705	2.3994312286	4.792983532	-808.162744989	-51.654581424	4347.77	-634.173214937	6012.39	1211.67	1	1	115.197	1270.81	1690.65951474	3449.84233302	6113.08856287	1270.07800471	7404.79158551	7548.33679834	844.076738609	713.09352518	6259.93396181
Kvon2014_chr2L_16349327_16351503	always	63.5	8.54	-1.071117458	-2.1997145519	2.2195	-1.9519128885	-2.826286439	2540.41	-10829.7231927	-1080.28955536	1.28	1.964450197	580	250	-0.5039210594	-0.6117277838	2.4862375259	-0.583052405	3.9269237519	-0.8697067211	-0.5370195267	2.6532268524	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	86.232	-784.212239968	1144.14593616	1518.69935335	6498.98058252	227.274280035	7809.44121139	7947.81893004	607.43200506	343.46995893	7145.53591407
Kvon2014_chr2L_16643412_16645547	always	143	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2577.49	-10829.7231927	1284.31	5.22	4.744727495	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.1758089066	-0.583052405	-0.8876096928	-0.8697067211	1.2738399506	1.4465785026	1115.12	-51.654581424	3595.81	-634.173214937	3636.44	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1803.11240616	2303.20722035	5778.97091723	150.163934426	7572.976794	7737.72645496	-1037.43985583	639.098846062	6405.037945
