enhancer	status	AP	DV	A	C	P	Ectoderm	Endoderm	Mesoderm	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr2L_10388040_10390080	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	77.8	0	0	0	0	0	0	1.86	2.631341288	438	0	0	1.6358880997	0	0	0	0	1.739431745	3.265729651	146.41	1	0
Kvon2014_chr2L_12079283_12081369	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	3469.6	26.11	8.41	1.351	1.1125	1.986	1.1125	12	10.638272164	0	202	4.7432594299	3.7508411407	2.9154040813	2.4516644478	5.0786762237	1.980631768	3.810238093	8.792975181	0	0	259.8697
Kvon2014_chr2L_12080941_12083149	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	3565.1	26.11	8.41	1.351	1.1125	2.051	1.1125	11.1	4.638272164	0	421	4.7432594299	3.7508411407	2.9154040813	2.4516644478	5.0786762237	1.980631768	3.810238093	8.792975181	0	0	236.2787
Kvon2014_chr2L_12084893_12085799	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	3775.7	8.52	0	0.149	0	0	0	1.44	4.886056648	0	323	0	3.1817517281	0	0	5.0786762237	0.629879951	3.810238093	7.442223364	0	0	292.6261
Kvon2014_chr2L_12088676_12090844	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	764.3	27.26	0	0.735	1.6205	1.926	1.6205	5.7	0	0	0	2.6955213547	3.1817517281	2.3976783752	3.8928198814	2.1964769364	0.733048588	3.810238093	7.545392001	147.69	0	64.48876
Kvon2014_chr2L_12487632_12489761	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	1.32	0	0	0	0	0	0	0	0.9799370766	0	1.767967097	1.767967097	0	0	1.79949
Kvon2014_chr2L_12606738_12608834	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	767.1	9.05	0	1.761	0.803	0	0.803	6	0.814752574	0	0	0	1.4777686596	2.4841609001	0.9402160645	0.83689785	0.629398262	2.894097417	4.229528178	0	1	0
Kvon2014_chr2L_12614109_12616353	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1675	21.48	7.81	0.326	3.086	0	3.086	5.1	3.645891561	0	0	0	3.7118544579	2.4693932533	3.6302905082	1.0096135139	0	3.183051705	5.499505843	118.295	2	18.6384
Kvon2014_chr2L_12615601_12617849	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1508.6	25.16	7.81	0.446	1.2805	0	1.2805	5.1	1.22933205	0	0	0	3.7118544579	2.4693932533	3.6302905082	1.0096135139	0	4.866450206	7.182904344	118.295	2	18.6384
Kvon2014_chr2L_12665181_12667293	on	A	Endoderm	on	off	off	off	on	off	1158.5	11.03	3.73	1.423	0.3135	1.254	0.3135	6	5.096910013	0	284	1.9985728264	1.6999077797	2.2713150978	0.8671770096	2.5896019935	2.014200927	4.059187293	7.441187383	0	2	90.84
Kvon2014_chr2L_12669220_12671417	on	A	Endoderm	on	off	off	off	on	off	819.8	9.75	0	0	0	0	0	2.07	0	0	0	0	0	2.4712381363	2.074710846	2.8538379669	0.564030788	2.354524076	3.93121805	0	0	0
Kvon2014_chr2L_12678950_12681044	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	1394.6	14.25	3.35	1.007	2.8975	0	2.8975	6	6	0	291	0	2.3507757187	2.0096259117	4.7475485802	3.9625964165	0.767221563	3.743391654	7.515943239	0	0	185.2425
Kvon2014_chr2L_13461810_13463910	on	CP	Ectoderm/Endoderm	off	on	on	on	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603879015	0.603879015	0	0	0
Kvon2014_chr2L_14440355_14442469	on	A	Endoderm	on	off	off	off	on	off	94.4	35.99	8.79	0	0	0	0	6	5.195102067	0	0	0	3.9734358788	3.1967859268	1.3427553177	4.3859033584	0	6.641803056	8.674594551	115.48	1	118.27766
Kvon2014_chr2L_14476156_14478269	on	A	Ectoderm	on	off	off	on	off	off	91	0	0	0	0	0	0	0.96	0.379103294	0	0	0	0	0	0	0	0	2.372211138	3.006585369	0	0	0
Kvon2014_chr2L_14485084_14487223	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1111.6	27.84	4.77	1.185	3.09	0	3.09	12	6	0	362	0	3.5692324638	2.5221834183	5.9046945572	2.4792566299	1.094881114	2.704033908	6.629607117	0	0	254.3113
Kvon2014_chr2L_15331388_15333912	on	ACP	Ectoderm	on	on	on	on	off	off	2049.2	11.76	6.88	1.571	2.9235	1.071	2.9235	6	6	0	287	1.7934751511	2.6683726311	2.3204731941	4.2295546531	4.5431170464	3.111352444	2.629029455	8.550523969	0	1	286.8316
