enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chrX_8667997_8670179	on	250.6	6.65	-1.071117458	-0.1	1.1875	-1.95191288852	0.858	2750.57	-10829.7231927	-1080.28955536	5.78	2.031517051	-138.540774638	195	1.4842994213	-0.611727783828	1.719823122	-0.583052405011	2.7952136994	0.9778785706	-0.537019526686	3.7403783798	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	30.24084	-784.212239968	1319.02014452	1601.08146845	6081.65133898	740.950370241	7226.26406854	7121.12068966	771.014506281	842.906186416	5798.57331118
Kvon2014_chr3L_12641178_12643551	on	1239.7	13	3.28	0.562	1.7775	-1.95191288852	1.079	-11421.256804	-10829.7231927	1296.77	6	2.527975302	-138.540774638	-92.1272047072	-0.503921059384	1.8916797638	2.942949295	2.1938958168	3.2803149223	0.6129808426	-0.537019526686	2.7328624726	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1551.93	-0.320791411368	1	30.3674	-784.212239968	2113.21374432	3213.23031906	6149.64425349	1397.14895378	7589.43336831	7814.69342526	1662.63020754	914.327855036	6172.50295758
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	-1.071117458	0.797	1.2985	-1.95191288852	1.745	4181.49	-10829.7231927	-1080.28955536	4.79	3.021819483	-138.540774638	280	-0.503921059384	2.7144141197	2.7202825546	2.223377943	2.6624443531	2.3374700546	-0.537019526686	3.5724534988	1616.01	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.296144837142	135.1676	-784.212239968	1978.42732004	2727.4050359	6859.16779601	1327.90970865	8047.08101989	8027.89275188	1291.72077653	1303.30233896	6977.36000305
Kvon2014_chr3R_2488662_2490888	on	1160.7	-4.04903426872	-1.071117458	1.027	-0.5085	0.979	0.226	2577.5	1228.63	-1080.28955536	6	4.420216403	-138.540774638	-92.1272047072	2.8528375626	-0.611727783828	1.6079716682	2.0711603165	-0.887609692841	2.3322563172	-0.537019526686	3.5719032287	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1656.62	-0.320791411368	-0.296144837142	104.547	-784.212239968	1575.88530738	2794.27552122	6203.86389044	910.922567998	7794.71360333	7921.22933232	1000.10531765	1048.74815141	5850.60735977
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	-1.071117458	-2.19971455194	0.618	-1.95191288852	0.063	1257.84	1080.02	1309.23	6	6	470	347	-0.503921059384	-0.611727783828	2.8705043793	-0.583052405011	2.2688522339	1.9577102661	2.6307616234	5.3300724029	1165.21	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1	1	168.6814	-784.212239968	2215.60996663	2266.92896344	6807.68190759	1062.56519833	8097.40460157	8285.99051441	1268.77232255	559.566963951	4821.42693365
Kvon2014_chr2R_10686988_10689103	on	632.1	4.58	-1.071117458	0.281	0.9375	0.62	1.395	1455.64	-10829.7231927	-1080.28955536	8.57	0.60046126	-138.540774638	-92.1272047072	0.9347286224	-0.611727783828	2.0243473053	-0.583052405011	-0.887609692841	-0.869706721074	-0.537019526686	2.5971963406	1165.21	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	21.7384	-784.212239968	1987.8128221	2974.26278754	6603.11581721	801.300388878	7873.92409195	7905.25406333	340.51617045	835.274005332	6481.93753218
Kvon2014_chr3R_6418595_6420751	on	156.7	4.03	-1.071117458	0.166	0.3465	-1.95191288852	-2.82628643895	-11421.256804	1290.56	1234.45	6	5.698970004	-138.540774638	370	-0.503921059384	1.6264634132	2.484609127	1.567864418	0.8182115555	-0.869706721074	0.7754764557	4.838449955	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	-0.296144837142	122.3602	-784.212239968	2543.50188679	2976.11660933	6980.29579432	1285.85797892	8502.09401038	8633.75136978	1688.69470958	1067.06237144	7436.89428254
Kvon2014_chr3L_15322214_15324305	on	-488.754195154	6.16	-1.071117458	-2.19971455194	0.5615	-1.95191288852	-0.36	3847.71	-10829.7231927	-1080.28955536	5.4	5.301029996	-138.540774638	-92.1272047072	-0.503921059384	-0.611727783828	1.9942417145	-0.583052405011	-0.887609692841	2.0351381302	-0.537019526686	3.8295621872	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	1	88.61612	-784.212239968	1894.71330475	3632.25398612	6759.27499292	737.159253945	8400.29889204	8583.33333333	715.87757054	414.643851213	7117.67175121
Kvon2014_chr2R_3936099_3938380	on	66.9	3.62	-1.071117458	0.159	0.5045	1.206	-2.82628643895	-11421.256804	-10829.7231927	-1080.28955536	5.36	5.397940009	-138.540774638	349	2.4847192764	-0.611727783828	2.2561249733	-0.583052405011	1.0535178185	-0.869706721074	-0.537019526686	2.8903799057	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.320791411368	1	104.5768	-784.212239968	1607.74879439	1617.89770672	6596.79812207	900.365712209	7906.76033592	7357.32605839	654.844366506	718.237615081	6336.28507523
Kvon2014_chr2L_12606738_12608834	on	767.1	9.05	-1.071117458	1.761	0.803	-1.95191288852	1.676	3588.1	2345.81	-1080.28955536	6	0.814752574	-138.540774638	-92.1272047072	-0.503921059384	1.4777686596	0.915450573	2.4841609001	0.9402160645	0.83689785	0.9395074844	3.7024526596	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1	-0.296144837142	-59.2812955354	1308.19	2552.8548988	3274.64133385	6305.00895456	820.681518662	7964.79739928	7634.58182592	1043.59755015	891.771379766	6682.18322365
