enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_3820069_3822166	on	1422.2	13.32	-1.071117458	0.682	2.1945	-1.95191288852	1.038	1282.57	1228.63	-1080.28955536	6.0	6.0	-138.540774638	397.0	2.3643693924	2.9986009598	3.6278614998	1.9991455078	4.2161867619	2.5722570419	0.9141426086	4.7804069519	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1337.41	-658.634837531	1.0	1.0	133.2583	1457.7	2225.30898971	3016.08403576	6724.38872492	950.243517281	7969.23417653	7957.78902954	631.957130455	1175.65226849	6815.74214408
Kvon2014_chr2L_12665181_12667293	on	1158.5	11.03	3.73	1.423	0.3135	1.254	1.192	3897.16	2432.5	-1080.28955536	6.0	5.096910013	-138.540774638	284.0	1.9985728264	1.6999077797	1.6015052795	2.2713150978	0.8671770096	2.5896019935	2.407189846	4.5584969521	-808.162744989	-51.654581424	-704.086730004	1482.69	1311.42	1316.36	2.0	1.0	90.84	-784.212239968	2018.47854109	3111.30212012	6503.27192111	1079.10828886	7923.06397787	8010.36666406	1224.10784826	1237.47043337	6723.74725334
Kvon2014_chr2L_12678950_12681044	on	1394.6	14.25	3.35	1.007	2.8975	-1.95191288852	1.327	-11421.256804	1216.25	1172.13	6.0	6.0	-138.540774638	291.0	-0.503921059384	2.3507757187	3.0107827187	2.0096259117	4.7475485802	3.9625964165	0.8494024277	4.040918827	-808.162744989	-51.654581424	-704.086730004	1214.28	-1098.73702073	1290.19	-0.320791411368	-0.296144837142	185.2425	-784.212239968	2270.59359344	3414.95290424	6875.94361073	1218.67239733	7923.06397787	8149.51583981	1097.27793696	1248.17433208	6837.34025888
Kvon2014_chr2R_4542035_4544178	on	3744.8	18.97	-1.071117458	-2.19971455194	-4.19904609378	-1.95191288852	-2.82628643895	1406.19	-10829.7231927	-1080.28955536	6.0	5.522878745	668.0	316.0	2.3649840355	2.4075622559	2.9271807671	2.2045168877	4.0203824043	2.3988757134	2.57837677	3.7657232285	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	1211.67	-0.320791411368	1.0	141.8715	-784.212239968	2452.9627031	3091.4658243	6225.2052378	581.744486088	7781.6059046	7770.73806078	814.250760332	928.476803466	6471.21472393
Kvon2014_chr3R_12716036_12718170	on	553.2	21.34	5.32	0.509	1.7625	-1.95191288852	1.786	3711.71	-10829.7231927	-1080.28955536	6.0	6.0	-138.540774638	-92.1272047072	-0.503921059384	3.3990535736	2.219648838	1.7626962662	3.6835465431	0.8233356476	0.7259988785	5.7677645684	-808.162744989	143.835	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1.0	1.0	157.414	1196.06	2611.18320332	2980.85440588	6606.59909026	915.76690506	7917.19442559	8165.48924749	577.932005835	1175.85996026	6654.3212057
Kvon2014_chr3R_17978799_17980887	on	2388.4	11.92	4.72	1.162	0.145	1.21	1.418	-11421.256804	-10829.7231927	-1080.28955536	9.6	6.0	520.0	363.0	2.9693288803	2.1504812241	1.8611040115	3.0148272514	1.9966592789	2.7166767121	2.5343089103	5.7484817504	-808.162744989	-51.654581424	2042.4	2635.97	1246.45	1538.84	1.0	1.0	125.261	-784.212239968	1618.69869393	2909.11961342	6998.53734389	823.499957156	7900.70100419	8122.70471067	1115.5651341	1346.93050247	6956.43285384
Kvon2014_chr3L_17003868_17006065	on	1224.3	10.25	5.06	0.813	0.3195	0.933	1.555	1356.74	-10829.7231927	-1080.28955536	6.0	6.0	533.0	336.0	2.2382178307	-0.611727783828	2.6668934822	-0.583052405011	2.6363277435	3.7229542732	2.3946413994	4.6213359833	-808.162744989	-51.654581424	989.89	1482.69	1571.32	2750.51	1.0	1.0	29.5238	1681.96	1864.37150214	1953.77123028	6589.08526391	876.092288248	8060.85793872	8161.8806253	1041.3176344	558.549111612	6899.51807229
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	-1.071117458	-2.19971455194	0.618	-1.95191288852	0.063	1257.84	1080.02	1309.23	6.0	6.0	470.0	347.0	-0.503921059384	-0.611727783828	2.8705043793	-0.583052405011	2.2688522339	1.9577102661	2.6307616234	5.3300724029	1165.21	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1.0	1.0	168.6814	-784.212239968	2215.60996663	2266.92896344	6807.68190759	1062.56519833	8097.40460157	8285.99051441	1268.77232255	559.566963951	4821.42693365
Kvon2014_chr3R_12664710_12666865	on	649.9	17.75	-1.071117458	1.331	2.2175	-0.119	2.278	-11421.256804	1080.02	1234.45	6.0	5.397940009	-138.540774638	-92.1272047072	-0.503921059384	3.2197580338	1.7717337608	2.9606294632	4.10028553	1.1119847298	0.8936424255	5.7827806473	1227.82	138.53	1165.21	-634.173214937	1298.43	-658.634837531	1.0	1.0	168.377	-784.212239968	1800.95464906	3124.54462753	6859.16779601	569.514835984	8047.08101989	8027.89275188	711.133650929	630.331892259	6977.36000305
Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	1.015	-11421.256804	-10829.7231927	-1080.28955536	6.0	6.0	248.0	251.0	1.5984025001	1.7844142914	3.1127920151	1.7166600227	3.3386545182	1.0510287285	0.8824272156	4.9255979061	-808.162744989	132.37	2167.62	-634.173214937	2934.71	-658.634837531	1.0	-0.296144837142	96.7684	-784.212239968	860.528756957	2622.62470966	6998.53734389	834.216424805	7900.70100419	7760.24228531	1016.59651583	502.587151202	6956.43285384
