Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	X	448418	451067	3.361083984375	449653	3.072174801546	FBgn0003986	1790	FBgn0003986	1790
2	X	7164860	7167296	3.345254898071	7165950	2.962787246704	FBgn0029943	3026	FBgn0024250	12773
3	X	11677149	11680009	3.119333267212	11678619	2.70312840598	FBgn0030340	1483	FBgn0030350	42598
4	3L	1444452	1446705	2.986612319946	1445516	2.684122800827	FBgn0004635	1808	FBgn0004635	1808
5	X	15479700	15482193	2.903668880463	15480846	2.752559789022	FBgn0030663	2618	FBgn0003463	20369
6	2R	2891632	2894292	2.75193977356	2892644	2.339909329134	FBgn0033159	1038	FBgn0033159	1038
7	3R	15175096	15177208	2.722270488739	15176242	2.335654623368	FBgn0038697	24229	FBgn0000463	24307
8	2L	15473180	15477030	2.700701713562	15475983	2.338161230087	FBgn0003448	1785	FBgn0003448	1785
9	3R	21860717	21863495	2.697700500488	21861908	2.631780287799	FBgn0002633	852	FBgn0002633	852
10	3L	19526805	19528678	2.657214164734	19527697	2.344184763291	FBgn0067680	2702	FBgn0067680	2702
11	2L	5869898	5872239	2.655614852905	5871202	2.40755036298	FBgn0031745	8279	FBgn0031740	68947
12	X	6881644	6883430	2.651979446411	6882432	2.073052247365	FBgn0029931	3412	FBgn0029931	3412
13	3L	7882447	7884403	2.620707511902	7883389	2.239621667301	FBgn0003041	2509	FBgn0003041	2509
14	2R	9083162	9087561	2.554251670837	9085779	2.469814749325	FBgn0033857	4357	FBgn0033856	11327
15	2L	16318633	16320505	2.529781341553	16319590	2.308447950027	FBgn0000250	2440	FBgn0000250	2440
16	2L	15480801	15483202	2.514190196991	15482013	2.366855677436	FBgn0020371	1316	FBgn0003448	7815
17	3L	14932522	14935244	2.488724708557	14933498	2.146014494054	FBgn0026320	1108	FBgn0026320	1108
18	2R	11304454	11306608	2.478823184967	11305521	2.196743011475	FBgn0050321	2666	FBgn0050089	63260
19	2R	7309322	7312461	2.472108840942	7310307	2.160388245302	FBgn0033652	4031	FBgn0033652	4031
20	X	7141470	7143356	2.460762023926	7142389	2.214583789601	FBgn0025549	5849	FBgn0025549	5849
21	3R	8895180	8898996	2.391353607178	8896087	2.205611649682	FBgn0004666	12606	FBgn0003308	37828
22	2R	1701145	1704787	2.381904602051	1703842	2.291027218103	FBgn0033068	447	FBgn0033068	447
23	3R	13906024	13908207	2.362923622131	13907129	2.302307521596	FBgn0038566	286	FBgn0038566	286
24	3R	21849417	21851299	2.362587451935	21850499	2.049151957035	FBgn0002629	284	FBgn0002629	284
25	X	6667152	6669397	2.362560272217	6668377	2.086232483387	FBgn0029907	114	FBgn0029907	114
26	2L	9987523	9990460	2.338851928711	9988454	1.902639389038	FBgn0040965	3797	FBgn0040965	3797
27	2L	13226481	13228422	2.326529026031	13227321	2.002233336954	FBgn0032490	532	FBgn0032489	2115
28	2L	18611029	18612692	2.315017700195	18611976	1.95721357009	FBgn0032692	20	FBgn0032693	36937
29	3R	9540204	9542446	2.311305999756	9541470	2.268075185664	FBgn0054044	1544	FBgn0038175	2418
30	2L	14261274	14262956	2.305968761444	14262065	2.083766740911	FBgn0004002	1457	FBgn0028529	93015
31	3L	4674848	4678911	2.277273654938	4677460	1.830455106847	FBgn0042199	1066	FBgn0042199	1066
32	3L	14114443	14116204	2.241228580475	14115290	1.968453228474	FBgn0042630	18707	FBgn0000411	28589
33	3L	14416946	14418935	2.227783203125	14418047	1.905466645956	FBgn0036424	35456	FBgn0036424	35456
34	2R	13315617	13317704	2.227488517761	13316724	2.132766842842	FBgn0004586	928	FBgn0004586	928
35	2R	19080076	19081935	2.225774765015	19080898	2.01382261912	FBgn0015903	8401	FBgn0015903	8401
36	2R	17051885	17054591	2.204688072205	17052866	2.088062118081	FBgn0050283	4711	FBgn0010415	64116
37	3R	20122565	20124435	2.191017627716	20123424	2.104332250707	FBgn0000368	2286	FBgn0000368	2286
38	X	13061037	13062585	2.184678077698	13061798	1.644687596489	FBgn0052639	8662	FBgn0052639	8662
39	3R	15166882	15168446	2.181250572205	15167705	1.719630479813	FBgn0000463	15770	FBgn0000463	15770
40	2L	8841322	8843079	2.175276756287	8842159	1.83581466145	FBgn0029123	16534	FBgn0029123	16534
41	2R	9075845	9080741	2.122116565704	9077395	1.926349275252	FBgn0033856	2943	FBgn0033856	2943
42	3L	22068948	22070626	2.10976600647	22069747	1.720082521439	FBgn0037153	210	FBgn0000100	59864
43	2R	11405287	11407030	2.109266281128	11406150	1.70205783844	FBgn0003425	433	FBgn0003425	433
44	3R	10504484	10506669	2.095291137695	10505524	2.078653468026	FBgn0038252	16359	FBgn0051314	17533
45	3R	14812617	14814386	2.058123111725	14813496	1.869857978821	FBgn0026239	3749	FBgn0026239	3749
46	2L	1075734	1077836	2.013068199158	1076565	1.720166385174	FBgn0003310	1246	FBgn0003310	1246
47	3L	17614697	17616350	2.009697437286	17615507	1.71306329615	FBgn0052179	4028	FBgn0052179	4028
48	2L	11970425	11972001	2.009164333344	11971231	1.586830914021	FBgn0041606	137	FBgn0032390	18733
49	3R	9118340	9120175	1.983158111572	9119187	1.645331046161	FBgn0038134	267	FBgn0038134	267
50	2R	16757690	16759460	1.981545448303	16758362	1.82825763409	FBgn0034606	173	FBgn0034606	173
51	2R	3001727	3003417	1.97945022583	3002547	1.900463994344	FBgn0015930	871	FBgn0015930	871
52	2R	17030685	17032558	1.97477388382	17031418	1.732215152067	FBgn0003731	831	FBgn0010415	42668
53	2L	19332997	19335017	1.959650039673	19334201	1.75014102459	FBgn0024245	24952	FBgn0024245	24952
54	2L	8831640	8833437	1.950058937073	8832485	1.719279625837	FBgn0029123	6860	FBgn0029123	6860
55	3R	19018367	19019975	1.941777229309	19019172	1.668433427811	FBgn0039061	10530	FBgn0039066	58094
56	3L	14936939	14941391	1.936211585999	14938486	1.695390028112	FBgn0000216	558	FBgn0000216	558
57	X	15458112	15459695	1.903195858002	15458794	1.579810969035	FBgn0003463	1683	FBgn0003463	1683
58	3L	5809216	5810714	1.895176887512	5809985	1.446682425106	FBgn0003984	9576	FBgn0035640	22955
59	2R	15586754	15588193	1.879600524902	15587252	1.722490906715	FBgn0004364	39122	FBgn0004364	39122
60	3R	297693	299108	1.869595527649	298368	1.449022610982	FBgn0051523	6460	FBgn0037255	12395
61	X	440081	442061	1.868224143982	441063	1.839028775692	FBgn0003986	6800	FBgn0003986	6800
62	X	11167054	11168921	1.860970973969	11168048	1.509641223484	FBgn0003411	484	FBgn0003411	484
63	2R	7970088	7971924	1.859001159668	7971004	1.833837926388	FBgn0010238	1906	FBgn0010238	1906
64	3R	5416235	5418043	1.811918258667	5417190	1.663658078512	FBgn0037720	157	FBgn0037719	481
65	3R	5499923	5501763	1.809645652771	5500699	1.563228607178	FBgn0037727	546	FBgn0037728	2954
66	3L	15989907	15991448	1.803573608398	15990629	1.585373580456	FBgn0044028	1890	FBgn0044028	1890
67	2R	2084480	2086289	1.801802158356	2085348	1.609875230228	FBgn0033076	27443	FBgn0041145	36970
68	2R	8963023	8964589	1.789025306702	8963886	1.612293804393	FBgn0050062	1641	FBgn0050062	1641
69	3R	16368234	16370067	1.788593292236	16369373	1.562061429024	FBgn0053192	8646	FBgn0043457	14279
70	3R	27047319	27049841	1.78179359436	27048949	1.531497180462	FBgn0039831	2523	FBgn0039831	2523
71	2L	2999859	3001694	1.77917432785	3000793	1.394398885615	FBgn0025681	7829	FBgn0002989	8032
72	3L	20999772	21002109	1.777370929718	21000692	1.573812901974	FBgn0053285	22151	FBgn0037044	38956
73	2R	16053364	16054912	1.775765419006	16054230	1.41073252173	FBgn0034514	102	FBgn0034514	102
74	2R	18713600	18715343	1.771842002869	18714572	1.545450547162	FBgn0034834	4567	FBgn0003062	132252
75	3L	9002344	9004190	1.770273208618	9003221	1.622288584709	FBgn0035956	8865	FBgn0028789	12103
76	3R	21835515	21837319	1.748530387878	21836204	1.364373981953	FBgn0002732	481	FBgn0002732	481
77	2R	16554962	16556963	1.7372174263	16555753	1.698878680958	FBgn0003391	8988	FBgn0003391	8988
78	3L	15199907	15201376	1.733877658844	15200666	1.475367039442	FBgn0029114	234	FBgn0029114	234
79	3L	18553356	18554386	1.72060585022	18554049	1.376770583066	FBgn0036791	27	FBgn0036800	33904
80	X	4891501	4893818	1.717181682587	4892406	1.344775795937	FBgn0003028	1128	FBgn0004368	108037
81	2L	14445060	14446727	1.711867809296	14445885	1.449916362762	FBgn0028844	4931	FBgn0005771	44977
82	2R	9945025	9946889	1.675258159637	9945981	1.338961958885	FBgn0013725	1217	FBgn0013725	1217
83	3L	18558480	18559257	1.672929286957	18558994	1.210708141327	FBgn0003683	30	FBgn0036800	28959
84	3R	10642966	10644804	1.671813964844	10643820	1.419122078839	FBgn0038262	16293	FBgn0038258	55062
85	3L	10304025	10305709	1.670029640198	10305068	1.311906842624	FBgn0067716	11275	FBgn0000629	307009
86	3R	864048	865759	1.667294502258	864877	1.493696943919	FBgn0010313	47531	FBgn0010313	47531
87	2L	2455741	2457996	1.653349399567	2456899	1.487443506718	FBgn0012017	3145	FBgn0015816	35767
88	2L	4823131	4824863	1.653116226196	4823903	1.378227654625	FBgn0031632	2127	FBgn0031632	2127
89	2R	20389663	20391242	1.644167900085	20390376	1.374885082245	FBgn0035075	1207	FBgn0050423	6940
90	3L	7106961	7108870	1.643504142761	7107748	1.365078477299	FBgn0023001	717	FBgn0002775	8278
91	3R	934638	936327	1.640258312225	935429	1.51291437149	FBgn0037293	18381	FBgn0010313	23021
92	X	3689913	3691879	1.624025344849	3690770	1.474599031302	FBgn0000542	9437	FBgn0000542	9437
93	3L	22333329	22334839	1.616502761841	22333925	1.426980463664	FBgn0004449	7803	FBgn0004449	7803
94	2L	2749467	2751693	1.613070487976	2750586	1.453365537855	FBgn0003075	2064	FBgn0003075	2064
95	2L	18482107	18483511	1.60383272171	18482753	1.37788032083	FBgn0032682	1337	FBgn0032682	1337
96	X	18518110	18520013	1.60352563858	18518874	1.432412624359	FBgn0004959	832	FBgn0004959	832
97	2R	13194450	13196067	1.598332881927	13194994	1.282640082496	FBgn0016059	3364	FBgn0016059	3364
98	2R	13230626	13232029	1.592674255371	13231419	1.327385790208	FBgn0028494	2771	FBgn0063386	13454
99	3L	10834208	10835759	1.58961725235	10835151	1.231797726949	FBgn0026160	3312	FBgn0026160	3312
100	3L	22336110	22337699	1.589525222778	22336920	1.395546317101	FBgn0004449	4808	FBgn0004449	4808
101	3R	1036958	1038746	1.575606822968	1037926	1.340667933226	FBgn0000340	5221	FBgn0000340	5221
102	2R	18196902	18199385	1.570563793182	18198425	1.342941224575	FBgn0020257	1870	FBgn0020257	1870
103	2L	1119155	1120680	1.560449123383	1119902	1.336075973511	FBgn0031302	6914	FBgn0031302	6914
104	3R	2579403	2582172	1.556199789047	2581329	1.416205078363	FBgn0026564	648	FBgn0026564	648
105	X	20041537	20042510	1.556047439575	20041939	1.096517822959	FBgn0003654	5166	FBgn0031098	20226
106	2R	2617602	2619287	1.551565647125	2618477	1.326689046972	FBgn0033142	278	FBgn0033156	171803
107	3L	6740495	6742011	1.551180839539	6741248	1.193931551541	FBgn0052392	4055	FBgn0035714	14388
108	3R	21852218	21853701	1.549438476562	21852963	1.39753344655	FBgn0002631	2494	FBgn0002631	2494
109	2R	5611162	5612376	1.541830062866	5611757	0.97088990492	FBgn0004907	265	FBgn0033485	358
110	3R	4030686	4032399	1.541318893433	4031671	1.279338300228	FBgn0053779	1127	FBgn0037554	27558
111	3L	17380506	17382421	1.524738311768	17381351	1.353016644716	FBgn0027660	5420	FBgn0027660	5420
112	2R	3640794	3642364	1.519810199738	3641680	1.247919194839	FBgn0033267	1465	FBgn0033267	1465
113	3L	718211	719799	1.517587184906	719067	1.301644206047	FBgn0035160	3585	FBgn0000575	13871
114	3R	4633903	4635507	1.512458324432	4634821	1.313196086884	FBgn0037635	712	FBgn0037633	3469
115	3L	15676237	15677991	1.510194778442	15677094	1.355870336294	FBgn0041160	11986	FBgn0041160	11986
116	2R	1444728	1446461	1.506261348724	1445747	1.066443443298	FBgn0033046	13502	FBgn0033059	138018
117	3R	13651297	13652785	1.505572319031	13652086	1.283324241638	FBgn0051246	14820	FBgn0051246	14820
118	2R	17750063	17751386	1.503353118896	17750645	1.185411065817	FBgn0020307	900	FBgn0034704	68157
119	X	3686538	3687906	1.49858379364	3687254	1.159324556589	FBgn0000542	5921	FBgn0000542	5921
120	2R	19152667	19154389	1.49772310257	19153582	1.23694302054	FBgn0034886	11594	FBgn0016762	48016
121	3L	9829167	9830738	1.489734172821	9829960	1.35391440111	FBgn0004390	734	FBgn0015618	17363
122	2R	11380271	11382055	1.48681974411	11381116	1.351392523448	FBgn0050085	2892	FBgn0050085	2892
123	3R	20574388	20576067	1.479753017426	20575220	1.404870622298	FBgn0003719	236	FBgn0003719	236
124	3L	4840142	4841563	1.476457595825	4840925	1.301804870367	FBgn0047330	392	FBgn0035570	150222
125	X	17011574	17013164	1.470187187195	17012248	1.408158274258	FBgn0000163	17372	FBgn0000163	17372
126	2L	2164238	2165794	1.468002319336	2165061	1.285199894625	FBgn0031393	9301	FBgn0031393	9301
127	3L	8803114	8804445	1.461503982544	8803717	1.070088106043	FBgn0011577	2264	FBgn0020633	61840
128	3R	6442227	6444218	1.457805633545	6442785	1.106907606125	FBgn0001235	21601	FBgn0001235	21601
129	3R	8255860	8257476	1.453005313873	8256580	1.425877458909	FBgn0010405	467	FBgn0038046	1578
130	3R	12162025	12163534	1.449695587158	12162832	1.251621246338	FBgn0040284	4874	FBgn0040284	4874
131	2R	6914191	6915682	1.44567489624	6914836	1.215430676937	FBgn0050506	912	FBgn0082585	1499
132	2R	12094799	12096190	1.444935321808	12095546	1.227072884055	FBgn0016131	1207	FBgn0003274	5411
133	2R	15555252	15556919	1.444227695465	15556166	1.338147878647	FBgn0034480	36316	FBgn0004364	70208
134	2L	15328962	15330458	1.440211772919	15329629	1.276390552521	FBgn0001981	164	FBgn0001981	164
135	X	3682597	3684065	1.433234214783	3683223	1.303970168619	FBgn0000542	1890	FBgn0000542	1890
136	3R	15	1271	1.431942462921	530	1.138790523305	FBgn0037213	150	FBgn0037213	150
137	2R	20605478	20606699	1.422808170319	20606027	0.982316606185	FBgn0004919	14107	FBgn0001148	36447
138	3R	2819778	2821321	1.421924591064	2820539	1.26000136137	FBgn0000095	4411	FBgn0010774	85587
139	3L	9395024	9396404	1.419130325317	9395693	1.103670400732	FBgn0023129	1507	FBgn0023129	1507
140	2L	10548151	10549655	1.418616294861	10548892	1.120264625549	FBgn0051721	4011	FBgn0032268	18398
141	3L	2865375	2867008	1.400587081909	2866180	1.20416876849	FBgn0035379	9516	FBgn0035370	115652
142	3L	4391000	4392570	1.399429321289	4391826	1.230009892408	FBgn0035542	2082	FBgn0035541	3257
143	3R	15756114	15757709	1.397123098373	15756935	1.234400216271	FBgn0038753	2618	FBgn0021776	3907
144	3L	2465969	2467603	1.39680147171	2466791	1.186109991635	FBgn0035344	4766	FBgn0035346	5560
145	3R	12099910	12101222	1.390406608582	12100551	1.006809459013	FBgn0011253	2375	FBgn0011253	2375
146	3R	16117261	16119246	1.388298988342	16118123	1.241030852	FBgn0028386	865	FBgn0028386	865
147	3R	14815247	14817170	1.373911380768	14815944	1.160462491653	FBgn0026239	6197	FBgn0026239	6197
148	3R	8077684	8079256	1.373350143433	8078417	1.20434553483	FBgn0038008	1492	FBgn0037992	124498
149	X	269602	270801	1.3709025383	270274	1.072974920273	FBgn0002561	3729	FBgn0002561	3729
150	3R	11859447	11860699	1.359262466431	11859970	1.116982907057	FBgn0003117	8151	FBgn0038396	15423
151	X	19054276	19055529	1.353855133057	19054920	1.04920142889	FBgn0031001	359	FBgn0031001	359
152	2L	9145766	9147175	1.353555679321	9146500	1.194677511851	FBgn0051887	16657	FBgn0051887	16657
153	3R	9795796	9797367	1.35103559494	9796553	1.096400767565	FBgn0015270	5914	FBgn0038196	65334
154	3L	11210619	11212652	1.347841262817	11211119	1.126283347607	FBgn0036150	1234	FBgn0041094	15137
155	X	19587533	19588790	1.344547271729	19588064	1.084678377424	FBgn0031069	3327	FBgn0031070	8196
156	X	8498617	8500706	1.340323448181	8499913	1.158168063444	FBgn0004102	4027	FBgn0004102	4027
157	2L	8848826	8850153	1.339804649353	8849535	1.098774461185	FBgn0052986	13272	FBgn0029123	23910
158	3L	4213653	4215078	1.338665485382	4214428	1.285822808743	FBgn0001257	5251	FBgn0011692	11840
159	2L	1410298	1411720	1.335374832153	1410990	1.220712035894	FBgn0002543	9459	FBgn0002543	9459
160	3L	12539722	12541115	1.334665775299	12540420	1.119927048683	FBgn0036302	6049	FBgn0004926	39736
161	3L	736629	737897	1.32837677002	737150	0.92175579071	FBgn0000575	4212	FBgn0000575	4212
162	2R	15580704	15582100	1.323561191559	15581441	1.014355659485	FBgn0004364	44933	FBgn0004364	44933
163	3L	722737	724044	1.321762084961	723430	1.13218088711	FBgn0035160	778	FBgn0000575	9508
164	3L	15004382	15006496	1.321238040924	15005983	1.075182855129	FBgn0036465	1846	FBgn0036465	1846
