enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2R_2499708_2501858	on	1743.7	12.93	-1.071117458	0.354	1.8245	-0.901	0.19	2503.33	-10829.7231927	1234.45	6	3.087246696	556	353	-0.503921059384	1.7706458569	2.7138414383	1.9455704689	3.998112917	2.4241080284	0.7278368473	3.9102649689	-808.162744989	192.78	-704.086730004	1482.69	-1098.73702073	1421.06	2	1	-59.2812955354	-784.212239968	1291.88683565	2404.75657478	6129.73778563	400.027662799	8294.75703325	8335.65333333	432.292622825	611.043527628	5942.05501336
Kvon2014_chr2R_4542035_4544178	on	3744.8	18.97	-1.071117458	-2.19971455194	-4.19904609378	-1.95191288852	-2.82628643895	1406.19	-10829.7231927	-1080.28955536	6	5.522878745	668	316	2.3649840355	2.4075622559	2.9271807671	2.2045168877	4.0203824043	2.3988757134	2.57837677	3.7657232285	-808.162744989	-51.654581424	-704.086730004	1226.48	-1098.73702073	1211.67	-0.320791411368	1	141.8715	-784.212239968	2452.9627031	3091.4658243	6225.2052378	581.744486088	7781.6059046	7770.73806078	814.250760332	928.476803466	6471.21472393
Kvon2014_chr2L_3820069_3822166	on	1422.2	13.32	-1.071117458	0.682	2.1945	-1.95191288852	1.038	1282.57	1228.63	-1080.28955536	6	6	-138.540774638	397	2.3643693924	2.9986009598	3.6278614998	1.9991455078	4.2161867619	2.5722570419	0.9141426086	4.7804069519	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1337.41	-658.634837531	1	1	133.2583	1457.7	2225.30898971	3016.08403576	6724.38872492	950.243517281	7969.23417653	7957.78902954	631.957130455	1175.65226849	6815.74214408
Kvon2014_chrX_2358395_2360580	on	2668.1	13.04	4.91	0.679	0.1965	-1.95191288852	0.994	2589.86	-10829.7231927	1284.31	5.4	2.066057397	479	357	1.9658842087	1.9388036728	2.3986444473	2.7192835808	2.0405545234	2.8300256729	1.2261505127	2.7272853851	-808.162744989	-51.654581424	-704.086730004	3740.44	1350.41	1381.8	1	1	-59.2812955354	1681.96	991.945396815	1247.04805492	6338.57192254	546.407322654	7909.81121416	8022.44413257	720.915331808	684.7597254	5834.18847715
Kvon2014_chr3L_17003868_17006065	on	1224.3	10.25	5.06	0.813	0.3195	0.933	1.555	1356.74	-10829.7231927	-1080.28955536	6	6	533	336	2.2382178307	-0.611727783828	2.6668934822	-0.583052405011	2.6363277435	3.7229542732	2.3946413994	4.6213359833	-808.162744989	-51.654581424	989.89	1482.69	1571.32	2750.51	1	1	29.5238	1681.96	1864.37150214	1953.77123028	6589.08526391	876.092288248	8060.85793872	8161.8806253	1041.3176344	558.549111612	6899.51807229
Kvon2014_chr2R_11417613_11419772	on	2514.2	10.98	-1.071117458	0.565	2.834	-1.95191288852	0.733	1208.39	-10829.7231927	1209.53	6	1.788399771	508	261	-0.503921059384	1.8050765991	1.5716366768	1.7165541649	3.896206379	1.8703904152	0.7786021233	2.0960903168	-808.162744989	168.17	-704.086730004	1287.48	1610.3	1185.49	-0.320791411368	2	113.82965	-784.212239968	1723.95791624	2441.5266141	7236.11554229	928.846566925	8136.65228721	8497.72479221	553.786734849	359.569484137	7112.75569704
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	-1.071117458	-2.19971455194	0.618	-1.95191288852	0.063	1257.84	1080.02	1309.23	6	6	470	347	-0.503921059384	-0.611727783828	2.8705043793	-0.583052405011	2.2688522339	1.9577102661	2.6307616234	5.3300724029	1165.21	-51.654581424	-704.086730004	1226.48	-1098.73702073	-658.634837531	1	1	168.6814	-784.212239968	2215.60996663	2266.92896344	6807.68190759	1062.56519833	8097.40460157	8285.99051441	1268.77232255	559.566963951	4821.42693365
Kvon2014_chr2L_12678950_12681044	on	1394.6	14.25	3.35	1.007	2.8975	-1.95191288852	1.327	-11421.256804	1216.25	1172.13	6	6	-138.540774638	291	-0.503921059384	2.3507757187	3.0107827187	2.0096259117	4.7475485802	3.9625964165	0.8494024277	4.040918827	-808.162744989	-51.654581424	-704.086730004	1214.28	-1098.73702073	1290.19	-0.320791411368	-0.296144837142	185.2425	-784.212239968	2270.59359344	3414.95290424	6875.94361073	1218.67239733	7923.06397787	8149.51583981	1097.27793696	1248.17433208	6837.34025888
Kvon2014_chr2L_2752765_2754884	on	264.9	18.41	3.49	-0.424	1.0665	-1.95191288852	0.5	-11421.256804	-10829.7231927	-1080.28955536	7.79	5.522878745	466	391	1.9524536132	1.8757286072	2.9324808121	-0.583052405011	2.97174263	3.6002893448	-0.537019526686	3.4060573578	1140.16	-51.654581424	-704.086730004	-634.173214937	1389.39	-658.634837531	1	2	165.73656	-784.212239968	1848.17629891	3270.46138415	6748.57163228	561.088810123	7655.33658525	8317.68806073	1218.92135054	1158.291441	7064.99985223
Kvon2014_chr2R_4540373_4542622	on	479.4	18.97	-1.071117458	0.06	-4.19904609378	-1.95191288852	0.43	-11421.256804	-10829.7231927	1246.92	7.47	10.124938736	668	316	1.721968174	2.4075622559	2.9271807671	2.2045168877	4.0203824043	-0.869706721074	1.6210365295	5.364940405	-808.162744989	-51.654581424	-704.086730004	1421.69	-1098.73702073	1211.67	-0.320791411368	1	17.238	1407.86	2570.58747361	2625.90742934	6225.2052378	560.438989708	7781.6059046	7770.73806078	989.173125485	1156.28123123	6471.21472393
