enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_3943312_3945524	on	0	0	0	0	0	0	0	1183.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390.61	0	0	0	0	0	0	0	0	0	1740.49369253	2829.60281044	6703.7492554	820.926745655	7794.865098	7978.47238325	1033.78038979	1247.4350433	6640.28608761
Kvon2014_chr2L_12606738_12608834	on	767.1	9.05	0	1.761	0.803	0	1.676	3588.1	2345.81	0	6	0.814752574	0	0	0	1.4777686596	0.915450573	2.4841609001	0.9402160645	0.83689785	0.9395074844	3.7024526596	0	0	0	1226.48	0	0	1	0	0	1308.19	2552.8548988	3274.64133385	6305.00895456	820.681518662	7964.79739928	7634.58182592	1043.59755015	891.771379766	6682.18322365
Kvon2014_chr3L_16036410_16038639	on	910.8	0	0	0	0	0	0	1294.93	0	0	11.3	3.785156152	514	384	0	1.9797444344	2.619122982	1.8157110214	5.2259187698	0.9850406647	0	3.7374873162	1578.45	0	0	0	1779.23	0	0	1	66.1287	0	1759.25005688	2706.10861666	5361.02356296	752.875957201	7138.70253515	7286.16288326	1414.81083977	721.376846645	5656.30532309
Kvon2014_chr3R_2488662_2490888	on	1160.7	0	0	1.027	-0.5085	0.979	0.226	2577.5	1228.63	0	6	4.420216403	0	0	2.8528375626	0	1.6079716682	2.0711603165	0	2.3322563172	0	3.5719032287	0	0	0	1690.1	0	1656.62	0	0	104.547	0	1575.88530738	2794.27552122	6203.86389044	910.922567998	7794.71360333	7921.22933232	1000.10531765	1048.74815141	5850.60735977
Kvon2014_chr3L_22392640_22394735	on	2386.1	28.32	0	0	0	0	0	2664.04	0	0	6	6	558	356	1.7285728455	3.0837917328	3.3315734863	2.5265922546	5.2406597137	3.7321338654	4.1307067871	6.8357133865	0	0	889.71	0	1454.36	0	0	1	292.414	1358.03	1634.80156836	3251.95010541	6866.88790708	957.659831474	7865.78259139	8029.10321489	765.83545466	1227.02088305	6947.67606743
Kvon2014_chr3L_11236150_11238249	on	4001.6	15.64	0	0.777	-0.547	0	1.682	2664.04	0	0	6	8.086981316	629	330	0	2.4692969322	2.2470941544	2.3912477493	0.9502182007	2.2986869812	1.3024101257	5.6831727028	0	584.345	2280.32	1482.69	1337.41	1394.88	0	1	366.7858	0	662.507254632	2025.3448809	5894.93176619	312.134429036	7052.14897551	7214.96394231	278.894711768	159.526681037	5861.37504245
Kvon2014_chr3L_21338946_21341219	on	451.9	8.21	0	0	0	0	0	0	0	1172.13	6	5.522878745	430	308	2.0483384132	2.01649189	2.7008285522	1.7529411316	2.620320797	2.8087568283	0.8332719803	4.7721457481	0	0	0	0	2518.89	0	2	0	76.117	0	1063.71590965	1029.55198594	6726.64802602	835.081507945	7979.70351849	8108.37978015	573.52089287	1043.10016793	6236.20593092
Kvon2014_chr3L_14161383_14163487	on	0	0	0	0.621	0	0	0	1257.84	0	1271.84	0	1.491591496	0	0	0	0	0.5297198296	0	0	2.9748888016	0	0	0	0	0	0	1272.44	0	0	0	0	1196.06	2998.69888476	3327.63929619	6673.72329487	1089.84761562	8105.14013859	8158.65348041	964.190931152	986.426268805	6327.12397217
Kvon2014_chr3L_8672251_8674468	on	0	0	0	0	0	0	0	3946.61	0	0	2.52	0	0	0	0	0	0	0	0	0	0	0.6791160107	3721.02	0	0	0	0	0	0	0	0	0	573.236402534	2438.15038708	6368.01697935	322.179889731	7874.20953593	7903.06218205	582.808909349	547.174730155	6390.85670278
Kvon2014_chr2R_4134452_4136542	on	336.4	32.45	11.71	2.672	6.086	0	4.434	3810.62	0	0	6	0	0	327	0	3.6917743683	2.1273121834	4.0342936516	6.0401687622	3.6269817352	3.3726220131	4.8941440582	0	178.525	0	0	0	0	0	1	119.2907	0	2157.86393801	2755.51578394	6109.74066011	895.855102752	7800.6433121	7639.18542123	867.324282221	519.976668948	6714.13889658
Kvon2014_chr2R_4524687_4526814	on	358.7	4.34	0	-0.01	0.8455	0	-0.058	0	0	3977.56	9.29	6	0	0	0	0	1.4610652924	0	0.5573263168	2.2522761822	0	5.2537679673	0	0	0	0	0	0	0	1	200.727	0	2428.71285666	2928.7195297	5503.79356431	635.413816188	7440.80456118	7127.21315287	1025.56221531	1292.43728706	5523.50340136
Kvon2014_chr2L_12678950_12681044	on	1394.6	14.25	3.35	1.007	2.8975	0	1.327	0	1216.25	1172.13	6	6	0	291	0	2.3507757187	3.0107827187	2.0096259117	4.7475485802	3.9625964165	0.8494024277	4.040918827	0	0	0	1214.28	0	1290.19	0	0	185.2425	0	2270.59359344	3414.95290424	6875.94361073	1218.67239733	7923.06397787	8149.51583981	1097.27793696	1248.17433208	6837.34025888
Kvon2014_chr2R_5861246_5863407	on	1134.3	19.14	12.78	2.57	2.5665	0	1.26	1183.67	0	0	9.13	8.48020767	0	327	0	3.5246582031	3.2372131348	3.5642366409	5.4760446549	2.4180436134	0.6380410194	4.3737397194	0	158.255	0	0	0	0	0	2	213.897	0	2964.88059991	3220.801165	6665.76848719	1352.63106884	7898.46008799	7840.73697586	1606.59050428	1637.63235975	6318.08324589
Kvon2014_chr2L_3816924_3819029	on	336.4	4.29	0	0.06	1.72	0	0.516	0	0	2942.52	6	5.397940009	0	0	0	0	3.6278614998	0	2.7309713363	3.077432394	0.6680717468	4.7804069519	0	0	0	0	1441.37	0	1	0	465.0514	0	2151.54770157	2511.23128293	6724.38872492	1003.31842094	7969.23417653	7957.78902954	832.45771106	912.310298477	6815.74214408
Kvon2014_chr3R_2599634_2601734	on	92.7	0	0	0	0	0	0	0	1216.25	1246.92	0	2.102812923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2084.77894932	2686.14487652	6076.49958395	576.620831776	7542.95759412	7509.97892765	840.247601246	767.962538003	5785.06472869
Kvon2014_chr3R_6418595_6420751	on	156.7	4.03	0	0.166	0.3465	0	0	0	1290.56	1234.45	6	5.698970004	0	370	0	1.6264634132	2.484609127	1.567864418	0.8182115555	0	0.7754764557	4.838449955	0	0	0	0	0	0	0	0	122.3602	0	2543.50188679	2976.11660933	6980.29579432	1285.85797892	8502.09401038	8633.75136978	1688.69470958	1067.06237144	7436.89428254
Kvon2014_chr3L_2735988_2738074	on	0	0	0	0	0	0	0	1406.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1121.31	1344.82604267	2135.29097591	6686.67512831	1069.35102335	7708.59843246	7455.82615684	867.46239813	1513.37488015	7149.197111
Kvon2014_chr2R_5869684_5871848	on	661.8	18.16	16.05	0	2.7485	0	1.984	0	0	0	3.19	5.698970004	0	356	0	3.1938204765	3.2372131348	1.8405785561	6.8817224502	4.0464177132	0	5.327337265	0	103.08	0	0	0	0	1	1	0	1295.73	2782.83040489	2661.21534584	6665.76848719	2033.77968248	7188.26796799	7707.15724975	1829.6968597	1870.70334306	7367.05031725
Kvon2014_chr3R_2680992_2683269	on	429.1	24.09	11.89	0	0	0	0	0	0	1221.99	5.7	5.22184875	0	0	0.7215528488	3.4730556011	2.2295656204	3.5667574406	5.9127662182	3.1807017326	0.6855511665	4.125005722	0	150.08	0	0	1324.42	0	0	1	0	0	2241.89812619	3106.63648304	5825.95548089	1427.88352833	7701.66592484	7676.42664123	1531.47627381	996.53888939	6489.56021145
