Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	3R	4800500	4802902	4.63872051239	4801786	4.389635384083	FBgn0037646	4857	FBgn0022347	16881
2	2L	21863682	21865177	4.598641872406	21865141	4.474009990692	FBgn0032965	20713	FBgn0003866	48953
3	3L	8626419	8628799	4.203283309937	8627392	3.984967400046	FBgn0035922	3921	FBgn0001168	22314
4	2L	15762216	15763582	4.09255695343	15762962	3.28566237057	FBgn0001990	1284	FBgn0003936	15351
5	3R	4524202	4527699	4.060827732086	4525154	3.887875795364	FBgn0037612	1550	FBgn0001180	1614
6	2R	3757668	3761505	4.034293651581	3760114	3.771236980663	FBgn0033277	5955	FBgn0010109	15974
7	2R	9075509	9087598	4.011250495911	9085779	3.860619012047	FBgn0033857	4357	FBgn0033856	11327
8	2L	13226377	13230763	3.992164611816	13229575	3.887052311617	FBgn0032491	142	FBgn0032491	142
9	3L	18325715	18327907	3.977977752686	18326815	3.777678517734	FBgn0011706	36847	FBgn0011706	36847
10	3L	5593936	5598827	3.907381057739	5597265	3.67085238064	FBgn0035625	7665	FBgn0035625	7665
11	2L	18593207	18595932	3.859347343445	18594196	3.620462978587	FBgn0003270	1067	FBgn0032693	54717
12	3R	11853730	11855981	3.852418899536	11854714	3.552878884708	FBgn0003117	2895	FBgn0038396	20679
13	2R	18713216	18715854	3.818137168884	18714809	3.577865689993	FBgn0034834	4330	FBgn0003062	132489
14	3R	172937	175373	3.797185897827	174288	3.483248763614	FBgn0001204	1916	FBgn0001204	1916
15	3R	2773991	2775732	3.753279209137	2774891	3.58413216647	FBgn0051488	8565	FBgn0001077	84845
16	X	20544308	20547894	3.72527885437	20545306	3.476909917944	FBgn0031129	1330	FBgn0003300	40189
17	X	16054406	16056756	3.709869861603	16055212	3.632414162159	FBgn0000459	4541	FBgn0000459	4541
