enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_15320805_15322907	later	61.8	-4.0490342687	9.62	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	1253.4	1421.41	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	2.0156393051	2.6414513588	-0.583052405	1.3167228699	6.3083195686	1.4881796837	6.7419447899	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1146.22	2407.88527933	2620.39321511	6113.08856287	1132.2006945	7404.79158551	7548.33679834	1229.18931687	406.966566046	6441.48679091
Kvon2014_chr2L_15474479_15476667	later	450.2	4.28	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1334.16	2.64	3.156767222	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	3.5321755409	1.8253712654	5.3072600365	-0.8697067211	0.9258813858	10.4746870994	-808.162744989	517.935	-704.086730004	-634.173214937	2791.77	-658.634837531	-0.3207914114	1	-59.2812955354	1308.19	1945.61158678	3211.08200203	6454.52403393	1657.91473179	7875.14849068	8136.29166337	1311.50306533	725.063001677	6868.45888385
Kvon2014_chr2L_16454737_16456869	later	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-0.298	-2.826286439	-11421.256804	1216.25	1246.92	1.34	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	3029.01866934	3220.89633628	5790.7976617	1179.15934867	8012.41196167	7925.79989578	1312.16867973	1761.2822266	6376.7182317
Kvon2014_chr2L_16619865_16622081	later	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	3921.88	-10829.7231927	1246.92	2.84	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.7028245926	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1689.2834818	2815.45195885	5616.59410688	753.644721569	7572.976794	6768.12090525	674.921659657	892.418772563	6405.037945
Kvon2014_chr2L_1734275_1736475	later	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2614.58	2333.41	2606	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	600.188517914	1120.11025465	5871.70613154	-1515.74191661	7909.5537513	7769.50373356	117.5	184.409090909	6249.820757
Kvon2014_chr2L_18896979_18899202	later	615.5	-4.0490342687	-1.071117458	0.26	-4.1990460938	0.766	-2.826286439	1220.76	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	0.9557933807	-0.6117277838	1.9680933952	-0.583052405	-0.8876096928	3.5291996002	-0.5370195267	3.1263489723	3896.35	-51.654581424	1140.16	1214.28	-1098.73702073	1211.67	-0.3207914114	1	27.4524	-784.212239968	3193.96342102	3098.94099404	6534.11890352	814.574898785	7897.8179441	7852.14628372	1057.77999287	1232.35397731	6484.28184276
Kvon2014_chr2L_19631392_19633594	later	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1282.57	-10829.7231927	4152.05	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	1303.28	-0.3207914114	-0.2961448371	-59.2812955354	2317.36	2682.97131426	3321.66556612	6451.02670238	1730.76170006	7531.37682957	7630.80639411	1660.89227668	2228.34409404	6347.04895381
Kvon2014_chr2L_3818514_3820578	later	-488.754195154	4.29	-1.071117458	-2.1997145519	0.8825	-1.9519128885	0.516	4070.22	-10829.7231927	1408.94	6	5.397940009	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	3.6278614998	-0.583052405	2.7309713363	3.077432394	0.6680717468	4.7804069519	1415.66	-51.654581424	-704.086730004	-634.173214937	1337.41	-658.634837531	1	-0.2961448371	43.089	-784.212239968	1800.90683413	2914.1010152	6724.38872492	532.721203038	7969.23417653	7957.78902954	424.365901348	1090.21317829	6815.74214408
Kvon2014_chr2L_597778_599872	later	220.8	5.33	4.4	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	2382.96	1184.6	-1.8820256979	1.173659516	-138.540774638	-92.1272047072	4.6105251312	-0.6117277838	3.0976800918	1.8531637192	2.2326617241	-0.8697067211	-0.5370195267	3.1148686409	-808.162744989	-51.654581424	1252.86	-634.173214937	2583.86	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1237.37767383	2458.61668602	7189.35757184	692.473774779	8018.86213771	8201.55320956	914.036342842	886.135280271	7184.14985591
Kvon2014_chr2L_8421920_8424099	later	-488.754195154	4.98	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	2356.73	3.25	1.926354954	-138.540774638	-92.1272047072	-0.5039210594	1.909573555	5.0716190338	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.0523982049	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1385.01151504	1602.4341291	6660.17584286	468.895424163	8151.26640378	8268.72405945	294.943578438	490.334103101	7293.35925509
