name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
brk_chrX_7179320_7181320	putative	84.7	0	0	1.099	1.4865	0	1.4865	0	1.385609053	318	0	0	0	2.6170692444	2.2740426063	0	0	2.260393355	3.72923185	213.945	0	0
brk_chrX_7190012_7192012	putative	1326.6	32.99	4.8	1.747	1.5845	1.185	1.5845	6	6.686622164	0	212	3.0830516815	3.6291837692	2.8587055206	3.9246501922	0	5.186784604	3.283496913	10.827616552	449.86	1	215.413
brk_chrX_7214611_7216611	putative	1523.9	15.72	4.91	0.895	1.1965	0	1.1965	6	6	0	267	3.3660674095	2.8430867195	2.7490310669	3.5202078819	3.8751306534	6.764658038	3.913549868	13.568040244	617.815	1	565.7418
brk_chrX_7217504_7219504	putative	208.8	4.53	0	0	0	0	0	5.52	0	295	0	0	0	0	0.7160625458	0	0.641145145	1.030387461	4.561364944	192.685	2	27.7434
rho_chr3L_1461108_1463108	putative	992	15.59	4.66	1.12	0.7985	0	0.7985	8.07	6	0	320	1.7550730705	1.6685671806	2.2661995888	2.2730455398	2.0563547611	6.175497413	5.804787642	14.20461157	467.67	1	102.542
rho_chr3L_1463338_1464838	putative	299.8	6.08	0	1.12	1.1735	0	1.1735	0	0.510090715	0	0	0	0	2.2661995888	3.6226320266	0.9679069519	4.096733239	5.804787642	12.125847396	186.595	1	155.7504
sog_chrX_15518274_15519774	putative	1783.1	8.78	0	0	0	0	0	6	4.920818754	0	0	2.3189630508	2.1325831413	2.7541308403	0.968978405	0	3.833027077	2.425102333	7.804739861	500.355	0	151.4775
sog_chrX_15519805_15521305	putative	64.6	5.1	0	0	0	0	0	0	0	0	0	0	2.1325831413	2.7541308403	0.6678180695	0	3.833027077	1.338217862	6.71785539	194.895	0	0
sog_chrX_15540276_15541776	putative	3288.8	28.88	6.85	0	0	0	0	6	6	429	223	2.5759067535	3.9179930687	3.2103228569	1.9363908767	3.0505275726	6.196304091	4.128610909	13.029086012	441.975	1	687.16
sna_chr2L_15470444_15472444	putative	472.6	6.62	0	0	0	0	0	4.19	5.397940009	0	0	0	1.7355837822	0	0	4.306289196	0	2.407788494	3.620017814	211.04	1	120.356
sna_chr2L_15479275_15480775	putative	4359.7	15.83	4.39	2.418	0.5625	0.828	0.5625	6	10.958607315	0	317	2.4068827629	2.6142411232	2.472032547	3.391523838	2.7403459549	5.503599524	8.516450977	16.448382115	517.935	0	414.475
sna_chr2L_15481655_15483655	putative	898.2	7.2	0	0	1.3805	0	1.3805	6	7.038692835	0	289	0	0	0	3.0588431359	0	3.948665822	8.516450977	14.893448413	245.875	1	154.74
sna_chr2L_15485103_15487103	putative	3502.8	14.85	4.28	1.26	1.7065	0	1.7065	6	6	0	0	0.6955165863	2.4746322632	2.7415151596	4.1850023269	4.7911396026	5.626993852	7.578786426	15.554390539	404.525	1	2343.178
sna_chr2L_15491104_15492604	putative	272.4	7.8	4.58	0.47	0.9485	0	0.9485	6	5.698970004	0	0	0	0	1.9499082565	3.2237820625	3.2607693673	1.736147433	2.842194706	6.924730181	201.62	0	210.7134
sna_chr2L_15498906_15500406	putative	62.4	4.03	0	-0.942	0	0	0	3.07	0	424	0	0	0	0	0	1.8282928467	0	1.360692859	3.554277021	276.57	0	59.0396
vnd_chrX_477537_479037	putative	308.3	7.98	3.79	0.822	0.9895	0.661	0.9895	6	0.63344444	0	0	2.0105030537	1.7905106544	2.4302349091	1.7364068032	1.0048112869	4.478419125	4.101706561	11.687669989	264.005	0	103.5576
vnd_chrX_486359_487859	putative	2382.1	10.05	3.78	0.629	0.0755	1.432	0.0755	6	6	0	286	3.4710812568	1.7364516258	2.208568573	1.8726758957	2.5656886101	6.910417389	4.101706561	14.119668253	478.045	0	580.224
Kr_chr2R_21109887_21111887	putative	2441	9.09	4.49	1.206	4.4085	1.753	4.4085	6	2.177505015	0	293	5.3699207306	3.1689620018	3.2632937431	8.0693802833	2.2767724991	0.897438947	1.16891861	4.535420278	198.906008	2	0
Kr_chr2R_21112701_21114701	putative	2526.2	15.42	5.79	1.641	4.4085	0	4.4085	5.22	3.756961951	0	395	3.4243993759	3.1689620018	3.2632937431	8.0693802833	3.7404403687	0	1.06054982	3.529612541	278.935	1	45.0324
hb_chr3R_4518996_4520996	putative	2296.3	7.67	3.4	0.638	2.1135	2.303	2.1135	5.1	0.422339341	0	436	5.1933445931	1.8048601151	2.5375771523	4.481754303	3.6396965981	0.936941652	2.307757139	3.244698791	219.64	1	0
hb_chr3R_4524861_4526861	putative	4601.6	21.24	19.01	3.969	4.5225	3.626	4.5225	12	11.698970004	586	405	6.7940149307	3.6134037972	4.0608277321	8.8424143791	4.236954689	2.213321626	4.439696228	8.923198753	378.22	1	0
