name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
brk_chrX_7179339_7181339	putative	84.7	0	0	1.099	1.4865	0	1.4865	0	1.385609053	318	0	0	0	2.6170692444	2.2740426063	0	0	2.260393355	3.72923185	213.945	0	0
brk_chrX_7187658_7189158	putative	641.2	6.94	0	0	0	0	0	5.98	4.769551079	0	220	0	1.6244683266	0	0	0	0	1.3566776	3.714012635	0	2	89.5736
brk_chrX_7190274_7191774	putative	1326.6	32.99	4.8	1.747	1.5845	1.185	1.5845	8.72	6.686622164	0	212	3.0830516815	3.6291837692	2.8587055206	3.9246501922	0	5.186784604	3.283496913	10.827616552	449.86	1	215.413
brk_chrX_7193360_7195360	putative	564.1	5.38	0	0	-0.4825	0	-0.4825	2.55	3.081969663	0	187	0	0	0	0	1.050652504	0.771063614	1.36999224	4.281518888	0	1	69.803
brk_chrX_7200268_7201768	putative	919.3	10.05	0	0.11	1.372	0	1.372	7.92	5.15490196	0	221	0	0	0	2.176970005	3.0392551422	0.763257951	1.234079109	5.088268616	0	1	224.3346
brk_chrX_7214117_7215617	putative	1884.9	15.72	4.91	0.895	1.1965	0	1.1965	7.57	6	0	267	3.3660674095	2.8430867195	2.7490310669	3.5202078819	3.8751306534	7.370764796	3.913549868	14.174147002	617.815	1	596.1092
brk_chrX_7217840_7219340	putative	208.8	4.53	0	0	0	0	0	5.52	0	295	0	0	0	0	0.7160625458	0	0.641145145	1.030387461	4.561364944	192.685	2	17.238
rho_chr3L_1437483_1438983	putative	415.9	0	0	0	0	0	0	0.91	0	0	0	0	0	0	0	0	0	1.968832403	2.468219359	0	0	0
rho_chr3L_1443138_1444638	putative	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	4.684773586	5.028692667	0	0	0
rho_chr3L_1446101_1448101	putative	930.2	7.73	0	-0.068	1.8565	0	1.8565	5.15	0	0	204	0	2.0046653748	0	2.6027097702	0	0.853884921	4.827185547	6.65968158	0	0	0
