enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr2L_10072457_10074667	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	3835.35	2358.19	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	2305.37	-51.654581424	1265.39	1202.08	-1098.73702073	1290.19	-0.3207914114	-0.2961448371	-59.2812955354	1544.91	2600.28640932	3390.08691567	6174.21802492	1248.97277832	7745.58194863	7921.14051362	1631.5144559	2092.69097684	6226.97767978
Kvon2014_chr2L_10077714_10079813	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	2184.8	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	1140.16	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1308.19	2290.79954782	2097.18570916	6215.37777778	1287.67086328	7745.58194863	7921.14051362	756.651520458	1239.61085197	6161.15640621
Kvon2014_chr2L_10408376_10408800	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	232	-92.1272047072	-0.5039210594	-0.6117277838	1.3461561203	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1158.68	-1139.58433113	4065.08629653	6803.02180139	3895.45855379	8020.69974736	8272.42973296	3867.2195122	3377.87456446	6923.99816878
Kvon2014_chr2L_10455773_10457690	on	123	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1517.45	2160.03	1359.09	4.68	-1.7120711804	559	192	-0.5039210594	-0.6117277838	1.6158130169	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.819553852	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	-59.2812955354	-784.212239968	146.945967578	3262.65147405	6469.69774837	1487.35401599	8020.69974736	7961.47785085	503.740910193	739.526235839	6386.12557291
Kvon2014_chr2L_10815867_10817946	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1455.64	3562.05	-1080.28955536	6	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	1202.77	1482.69	1818.22	1407.97	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	2158.78240874	2591.86921808	6605.6103792	1062.08463354	7856.3082842	7548.39537869	1313.23446863	1352.739417	6590.96551724
Kvon2014_chr2L_10816909_10819179	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	3562.05	-1080.28955536	6	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	1202.77	-634.173214937	1818.22	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1765.25097385	2312.29200215	6605.6103792	1146.72280251	7856.3082842	6814.89759678	1553.33447815	1148.24344214	6582.28204276
Kvon2014_chr2L_10826359_10828433	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1393.83	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1793.10437442	2369.72145364	6436.42686185	860.617471872	7856.3082842	7766.97366528	502.213158247	668.834637429	6575.23347701
Kvon2014_chr2L_10831768_10833985	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1282.57	1203.86	2556.15	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	1165.21	-634.173214937	1506.34	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1457.7	1535.93238028	2778.44609457	6345.53984986	931.731494179	7853.29138662	7766.97366528	1053.42481866	1103.97951323	6575.23347701
Kvon2014_chr2L_11166863_11168963	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-0.905	1220.76	1216.25	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.7922048569	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	1553.4	-51.654581424	1490.79	-634.173214937	1545.33	-658.634837531	-0.3207914114	-0.2961448371	8.50244	1519.99	1553.95006275	2244.52912132	5720.6671106	306.05872455	8038.64548255	7902.7910143	795.65529269	509.238997969	6257.06962438
Kvon2014_chr2L_11245_11850	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	3515.10945008	3039.90842337	6296.44268775	3142.14492754	6644.44682676	6986.75407426	2433.66954851	1651.72176309	6793.53963084
Kvon2014_chr2L_11334422_11336523	on	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	0.626	1356.74	-10829.7231927	1371.55	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	977.37	-634.173214937	1337.41	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1121.31	3156.67440723	3390.58576228	6558.15262147	1251.95650686	7856.74379881	8013.90126141	1518.53848031	1721.300821	6555.59915938
Kvon2014_chr2L_11405494_11407637	on	238	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	-0.9472463599	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	1077.55	1287.48	1324.42	1355.62	-0.3207914114	1	-59.2812955354	-784.212239968	2443.77041531	3623.97314703	6381.51341435	1330.89448864	7985.70826853	8059.18615439	1559.62071729	1511.0424003	6808.34752981
