name	status	Dorsal	Hairy	Snail	Twist	bicoid	cad	giant	hunchback
Kvon2014_chrX_21312557_21314843	off	0.344933578	0	0	0	0	0	0	0
Kvon2014_chrX_4961770_4962316	off	0.346038103	0	0	0	0	0	0	0
Kvon2014_chr2R_2417645_2419715	off	0.348451504	0	0	0	0	0	0	0
Kvon2014_chr3R_19000812_19002905	off	0.348927021	0	0	0	0	0	0	0
Kvon2014_chr2R_20208788_20210910	off	0.34968853	0	0	0	0	0	0	0
Kvon2014_chr2R_5391185_5393397	off	0.352988413	0	0	0	0	0	0	0
Kvon2014_chr2L_16137160_16139353	off	0.353040457	0	0	0	0	0	0	0
Kvon2014_chrX_15756798_15759018	off	0.353508472	0	0	0	0	0	0	0
Kvon2014_chr2R_20178567_20179712	off	0.353934793	0	0	0	0	0	0	0
Kvon2014_chr2R_16478276_16480625	off	0.354292512	0	0	0	0	0	0	0
Kvon2014_chrX_15272458_15274867	off	0.355430098	0	0	0	0	0	0	0
Kvon2014_chr3R_19275290_19277537	off	0.355483055	0	0	0	0	0	0	0
Kvon2014_chr3R_19277193_19279314	off	0.355483055	0	0	0	0	0	0	0
Kvon2014_chr3R_1174048_1176147	off	0.356267452	0	0	0	0	0	0	0
Kvon2014_chr3R_1176127_1178779	off	0.356267452	0	0	0	0	0	0	0
Kvon2014_chr2L_20704096_20706214	off	0.356449274	0	0	0	0	0	0	0
Kvon2014_chr2L_20705867_20707962	off	0.356449274	0	0	0	0	0	0	0
Kvon2014_chr3R_6338971_6341104	off	0.357307995	0	0	0	0	0	0	0
Kvon2014_chr3R_6340648_6342871	off	0.357307995	0	0	0	0	0	0	0
Kvon2014_chr3R_2695379_2697581	off	0.358502997	0	0	0	0	0	0	0
Kvon2014_chrX_17297209_17299509	off	0.359464844	0	0	0	0	0	0	0
Kvon2014_chr2L_19229519_19231681	off	0.453613877	0	0	0	0	0	0	0
Kvon2014_chr4_732819_734749	off	0.455234612	0	0	0	0	0	0	0
Kvon2014_chr3R_7220891_7223088	off	0.457812881	0	0	0	0	0	0	0
Kvon2014_chr2L_5658504_5661126	off	0.458762281	0	0	0	0	0	0	0
Kvon2014_chrX_14996558_14998862	off	0.460089008	0	0	0	0	0	0	0
Kvon2014_chr3L_14133310_14135450	off	0.460157955	0	0	0	0	0	2.4116487503	0.8461742401
Kvon2014_chrX_11895853_11897995	off	0.461434394	0	0	0	0	0	0	0
Kvon2014_chr3L_21313477_21315762	off	0.46157429	0	0	0	0	0	0	0
Kvon2014_chr3L_21315240_21317459	off	0.46157429	0	0	0	0	0	0	0
Kvon2014_chr3R_7273757_7275934	off	0.461578687	0	0	0	0	0	0	0
Kvon2014_chr3R_7275163_7277284	off	0.461578687	0	0	0	0	0	0	0
