name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	0.69	6	6	248	251	1.5984025001	1.7844142914	1.7166600227	3.3386545182	1.0510287285	0.624578381	4.499727446	7.884825416	132.37	1	96.7684
Kvon2014_chr2R_20163256_20165354	on	1872.3	9.6	3.19	0	0.852	0	0.852	4.29	6	264	201	0	1.6315836906	0	0	3.1770429611	0.582350612	2.873861201	5.256086455	0	0	0
Kvon2014_chr3R_12673667_12675768	on	632.2	13.7	0	0.797	1.2985	0	1.2985	4.79	3.021819483	0	280	0	2.7144141197	2.223377943	2.6624443531	2.3374700546	0	2.796712539	5.273410966	0	1	135.1676
Kvon2014_chr3R_6418595_6420751	on	156.7	4.03	0	0.166	0.3465	0	0.3465	6	5.698970004	0	370	0	1.6264634132	1.567864418	0.8182115555	0	0.642930269	4.227974475	7.187065482	0	0	122.3602
Kvon2014_chr2R_12671212_12673370	on	2145.8	10.25	0	0	0	0	0	6	6	429	292	0	2.3780531883	2.7928557396	2.5786619187	0	0.742144529	3.168698507	5.913572901	0	0	181.4579
Kvon2014_chr2R_12672480_12674566	on	2145.8	6.46	0	0	0	0	0	6	6	429	292	0	2.3780531883	2.7928557396	2.5786619187	0	0.742144529	3.168698507	5.913572901	0	0	136.317
Kvon2014_chr3L_5972676_5974783	on	76.1	4.05	0	0.549	0.7115	0	0.7115	9.99	4.148741651	0	293	0	1.8225073814	0	2.1056761742	0	0.611555308	2.836606307	5.994272918	0	0	29.5238
Kvon2014_chrX_8667997_8670179	on	250.6	6.65	0	-0.1	1.1875	0	1.1875	5.78	2.031517051	0	195	1.4842994213	0	0	2.7952136994	0.9778785706	0	1.461765003	2.993327914	0	0	30.24084
Kvon2014_chr2R_19464331_19466551	on	1144.1	11.98	0	1.066	0.4385	0	0.4385	5.4	3.425968732	673	298	0.6710586548	1.8043985367	2.1368756294	0.7405281067	1.4067821503	0	1.310176457	4.400779332	0	0	0
Kvon2014_chr2R_20730821_20733011	on	445.1	4.8	0	1.308	1.0195	0.439	1.0195	4.52	5.096910013	0	0	0	0	1.9468955994	1.0310072899	4.0688719749	0	3.739516671	5.522858794	0	0	403.845
Kvon2014_chr2L_14382957_14385160	on	792.3	8.1	0	0	0	0	0	5.7	1.036812102	0	0	0	0	0	0	0.8732306957	1.144093037	2.828334275	4.978487295	0	0	0
Kvon2014_chr2R_18937404_18939496	on	176.2	8.54	0	0	1.1515	0	1.1515	6	8.485186705	0	0	0	2.1424751282	0	2.4002923966	2.1560268402	0	3.157357552	5.599057832	147.735	1	380.383
Kvon2014_chr3L_1167709_1169803	on	0	10.75	0	0	0	0	0	5	4.744727495	0	0	0	1.987388134	0	0.8164668083	0	0	2.742284745	4.462504745	0	1	112.934
Kvon2014_chrX_14912673_14914883	on	1559.5	7.79	0	0	0	0	0	4.27	0.591339516	0	315	0.7254829407	1.890484333	0	0	1.7380785942	0	1.60663236	3.072049554	0	0	0
Kvon2014_chr2L_15041918_15042587	on	1813.5	12.15	0	0	0	0	0	3.1	0	0	0	0.831735611	1.9486913681	1.699098587	0	0.8261976242	0.935477098	1.175203058	3.682162576	0	0	0
Kvon2014_chr3R_17201451_17203140	on	127	5.66	0	0	0	0	0	0	3.514278574	397	252	0	1.6322646141	0	1.52542305	2.927873373	0	3.555805638	6.117614785	173.085	0	108.2098
Kvon2014_chr3L_12641178_12643551	on	1239.7	13	3.28	0.562	1.7775	0	1.7775	6	2.527975302	0	0	0	1.8916797638	2.1938958168	3.2803149223	0.6129808426	0	5.077899775	7.553206167	0	0	30.3674
Kvon2014_chr2L_12606738_12608834	on	767.1	9.05	0	1.761	0.803	0	0.803	6	0.814752574	0	0	0	1.4777686596	2.4841609001	0.9402160645	0.83689785	0.629398262	2.894097417	4.229528178	0	1	0
Kvon2014_chr2L_9969903_9972058	on	71.5	5.08	0	-0.229	1.3275	0.559	1.3275	6	2.294050805	0	0	0	0	0	0.9217214584	0	0.559587479	2.966373834	4.761796753	0	0	0
Kvon2014_chr2L_12669220_12671417	on	819.8	9.75	0	0	0	0	0	2.07	0	0	0	0	0	2.4712381363	2.074710846	2.8538379669	0.564030788	2.354524076	3.93121805	0	0	0
Kvon2014_chr2R_4529759_4531908	on	529.7	13.17	0	-0.102	1.2005	0	1.2005	7.13	9.222573178	0	0	1.9502944946	1.4961557388	0	2.4326896667	2.5389957428	0.842115164	2.45143795	4.494446684	0	1	184.459
Kvon2014_chrX_2358395_2360580	on	2668.1	13.04	4.91	0.679	0.1965	0	0.1965	5.4	2.066057397	479	357	1.9658842087	1.9388036728	2.7192835808	2.0405545234	2.8300256729	1.085533089	1.31879078	4.577146709	0	1	0
Kvon2014_chrX_14636760_14638874	on	520.6	0	0	0	0	0	0	6	5.698970004	0	197	0	0	0	1.1539998055	0	0	2.825203955	3.981708288	0	0	353.668
Kvon2014_chrX_20582460_20584635	on	1219.7	10.72	0	0.29	1.2025	0	1.2025	6	0.754650223	0	0	0	1.6677222252	0	2.3949594497	0.8047995567	0.964011997	0.57625664	2.560395485	172.88	0	0
Kvon2014_chr2R_16486928_16489009	on	3053.7	12.6	0	0.524	0.0425	0.724	0.0425	6	6	622	254	2.416088581	1.8602151871	1.6066660881	0.7123270035	3.177883625	1.375255024	3.106847819	6.92392266	0	1	189.4675
Kvon2014_chr3R_12617439_12619540	on	266	8.17	0	0	0	0	0	6	1.40162539	0	0	0	1.4274950027	0	2.5870404244	0.8944673538	0.884987354	1.101326897	2.588238839	194.47	0	0
Kvon2014_chr2R_18295742_18296194	on	168.8	5.36	0	0.505	0	0	0	6	6	0	0	0	0	0	0	2.7837452889	0	3.648889363	5.519341683	0	1	1377.85
Kvon2014_chr3L_542461_544728	on	271.8	6.68	0	0	0.2425	0	0.2425	1.28	2.668370282	389	193	0	2.295996666	2.2624211311	0.8517799377	1.0013260841	0	0.893481509	3.339825593	143.66	1	0
Kvon2014_chr3L_15322214_15324305	on	0	6.16	0	0	0.5615	0	0.5615	5.4	5.301029996	0	0	0	0	0	0	2.0351381302	0	1.7520688	3.399936339	0	1	88.61612
Kvon2014_chr2L_1956400_1958532	on	628.7	5.3	3.63	0	0	0	0	5.7	3.772113295	0	0	3.7931571007	0	2.3725743294	3.1258773804	3.081401825	0.656221807	2.620386485	4.71123173	0	0	41.3079
Kvon2014_chr3R_177099_179292	on	71.5	9.81	0	0.752	0	0.667	0	1.04	5.045757491	0	0	2.1231350899	0	2.4123439789	0.6927623749	2.4167385101	0	1.90516935	2.647189929	0	0	16.3583
Kvon2014_chr2L_21843469_21845803	on	139	9.84	0	0	0	0	0	5.52	6	0	0	0	0	0	0	0.7973842621	0	4.480613393	6.787463967	0	0	154.5564
Kvon2014_chr2R_4524687_4526814	on	358.7	4.34	0	-0.01	0.8455	0	0.8455	9.29	6	0	0	0	0	0	0.5573263168	2.2522761822	0	2.45143795	3.65233152	0	0	200.727
Kvon2014_chrX_4833051_4835256	on	256.3	5.95	0	0	0	0	0	6	5.698970004	606	237	0	2.0248885155	2.2798023224	2.2501926422	2.9377851486	2.318097002	2.000994065	7.022676493	158.055	1	0
Kvon2014_chr3L_12675922_12678012	on	133.9	0	0	0.318	0	0.611	0	6	5.698970004	0	0	0	0	0	0	0	0.628173548	3.179653406	4.720517958	0	0	33.15482
Kvon2014_chr3R_15160880_15162972	on	354.1	0	0	0	0	0	0	1.1	2.115487841	0	321	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	0.617332882	3.91847585	5.638190406	138.745	0	64.0064
Kvon2014_chr3R_9737272_9739395	on	614.4	7.23	0	1.299	0.3755	1.738	0.3755	6	4.065501549	0	0	1.9210100174	0	2.6265354156	1.9060792923	0.9312934875	0.874985504	3.439183044	5.802118428	150.455	0	25.3201
Kvon2014_chr3R_21294756_21297030	on	252.3	4.57	0	0	0	0	0	6	0	0	0	0	0	0	0	0.7939357758	0.637844338	2.634814487	6.699904404	0	0	0
Kvon2014_chr3R_19167877_19170074	on	747.1	13.31	4.18	0	1.2015	0	1.2015	6	6	0	254	0	0	0	2.112958908	2.4174757004	1.045435401	5.571828337	8.751655747	0	1	627.6959
Kvon2014_chr2L_17381424_17383547	on	574.9	9.89	2.85	0	0	0	0	6	6	463	394	0	0	0	0.9921841621	2.4266629219	0.870572847	2.612665485	5.578614711	261.13	1	273.258
Kvon2014_chr3R_25088511_25090669	on	723.7	8.31	0	1.008	0.2995	0	0.2995	12	6	0	245	1.7499103546	2.1428728104	2.6214761734	1.8088026047	2.7979588509	2.110905828	3.059112533	6.77214484	0	1	47.4054
Kvon2014_chr3R_24398429_24400616	on	272.3	2.95	0	0.006	0.1585	1.047	0.1585	6	3.341988603	0	0	2.194820404	0	0	0	0	0	3.808619912	4.914538987	0	0	86.7188
Kvon2014_chr3R_15157311_15159508	on	2380.4	12.99	0	0	0	0	0	6	6	518	358	0	2.1608858109	2.9396800995	2.568420887	0.8565664291	1.765652376	4.452455193	7.868232882	0	0	203.6254
Kvon2014_chr3R_736192_738402	on	665.4	6.37	0	0	0	0	0	6	2.278434501	0	178	0	0	0	0	3.1161723137	2.705535561	1.982050001	6.77990511	0	1	119.2899
Kvon2014_chr3R_21293119_21295233	on	252.3	4.57	0	0	0	0	0	8.66	1.275445616	0	0	0	0	0	0	0.7939357758	0.637844338	2.634814487	4.054380004	0	0	0
Kvon2014_chr2R_16838480_16840613	on	1811.7	6.95	0	0.39	-0.3215	0	-0.3215	4.62	6	0	0	0	0	1.8304224014	0	0	0	1.446308613	2.891885072	0	0	82.1755
Kvon2014_chr3R_10508753_10510847	on	493.1	0	0	0.704	0	0.678	0	3.94	0	0	0	0	0	1.9712388515	0	2.3000898361	0	2.269766361	2.922306372	0	0	0
Kvon2014_chr3R_7394967_7398026	on	1119.5	4.04	0	1.151	0.7775	1.552	0.7775	6	4.187086643	0	0	2.6776461602	0	1.7678413391	0.8233795166	0	0	2.454310282	4.672064797	0	0	40.4012
Kvon2014_chr2R_7419436_7421535	on	76.7	5.99	0	0.855	0.2425	0.723	0.2425	6	5.698970004	0	0	0	0	0	0	4.8453660011	1.004246487	2.140117842	4.202731105	0	0	226.818
Kvon2014_chr2R_3936099_3938380	on	66.9	3.62	0	0.159	0.5045	1.206	0.5045	5.36	5.397940009	0	349	2.4847192764	0	0	1.0535178185	0	0	1.932281998	3.816947712	0	0	104.5768
Kvon2014_chr2L_17753976_17756084	on	101.3	9.66	0	0	-0.2705	0	-0.2705	6	6	0	0	0	0	0	0	0	0	2.284265686	3.977492332	0	0	211.8831
Kvon2014_chr2R_11791820_11794001	on	0	5.68	0	-0.042	0	0	0	6	4.080921908	0	0	0	0	0	0	0	0	4.216021714	5.010805932	0	1	0
Kvon2014_chr3L_17003868_17006065	on	1224.3	10.25	5.06	0.813	0.3195	0.933	0.3195	6	6	533	336	2.2382178307	0	0	2.6363277435	3.7229542732	2.061499774	2.978785298	7.547045461	0	1	29.5238
Kvon2014_chr3R_21282570_21284690	on	0	0	0	0	0	0	0	6.57	5.698970004	0	0	0	0	0	0	2.5102443695	0.602899339	4.84040764	6.23049535	0	0	0
Kvon2014_chr3R_10863765_10866026	on	0	0	0	0	0	0	0	6	3.860120914	0	0	0	0	0	0	0	0	4.089678064	4.58467363	137.815	0	0
Kvon2014_chr2R_9109456_9111773	on	1054.9	5.22	0	0	0.618	0	0.618	6	6	470	347	0	0	0	2.2688522339	1.9577102661	2.520279854	4.089687758	9.056475543	0	1	168.6814
Kvon2014_chrX_19247019_19249314	on	2580.5	9.35	0	0	0	0	0	1.03	0	225	232	0	1.4573624134	0	0	2.5403227807	0	1.388027072	3.922885998	0	1	33.3501
Kvon2014_chr2L_1958014_1960258	on	628.7	5.3	3.63	0	0	0	0	5.7	0	0	0	3.7931571007	0	2.3725743294	3.1258773804	3.081401825	0.656221807	3.577013517	6.638014758	0	0	0
Kvon2014_chr2R_5817792_5819902	on	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	2.976182111	4.182334354	0	0	1626.19
Kvon2014_chr2L_3827045_3829231	on	220.8	0	4.47	0.27	0	1.14	0	5.22	4.638272164	0	0	2.2359704971	0	2.0288786888	0	0.9654741287	0	4.678409583	8.159889508	0	0	131.43676
Kvon2014_chr3R_2488662_2490888	on	1160.7	0	0	1.027	-0.5085	0.979	-0.5085	6	4.420216403	0	0	2.8528375626	0	2.0711603165	0	2.3322563172	0	3.005438412	4.51208886	0	0	104.547
Kvon2014_chr2R_18689548_18691090	on	2040	10.49	3.42	0.784	0	1.244	0	5.15	6	607	306	2.0142302513	2.798825264	1.9958758354	5.0908818245	1.1362838745	0	3.775363326	6.511876702	0	0	623.325
Kvon2014_chr3R_25594900_25596969	on	1037.7	6.21	0	-0.407	0	0	0	0	5.15490196	0	338	0	0	0	0	2.722881794	0	3.261659005	5.513674708	0	0	82.8019
Kvon2014_chr2L_598791_601002	on	458.2	5.29	4.4	0	0	0	0	5.3	0.393664862	0	0	3.5880241394	0	0	2.2326617241	0	0	2.732093304	5.56445621	105.99	0	0
Kvon2014_chr2L_2752765_2754884	on	264.9	18.41	3.49	-0.424	1.0665	0	1.0665	7.79	5.522878745	466	391	1.9524536132	1.8757286072	0	2.97174263	3.6002893448	0	3.14846664	5.752418507	0	1	165.73656
Kvon2014_chr2L_3816924_3819029	on	336.4	4.29	0	0.06	1.72	0	1.72	6	5.397940009	0	0	0	0	0	2.7309713363	3.077432394	0.697087596	4.678409583	8.856977104	0	1	465.0514
Kvon2014_chrX_4945256_4947456	on	2217.3	5.66	0	0	1.7385	0.743	1.7385	6	0	0	225	0	0	0	2.6704931259	0.9319667816	0.637166847	0.501138051	3.680403643	106.66	0	0
Kvon2014_chr2L_20967302_20969446	on	328.3	5.62	0	0	0	0	0	8.38	5.522878745	0	0	0	0	0	0	0	0	2.313745677	3.612188398	0	1	140.487
Kvon2014_chr2R_10686988_10689103	on	632.1	4.58	0	0.281	0.9375	0.62	0.9375	8.57	0.60046126	0	0	0.9347286224	0	0	0	0	0	1.138363272	2.926374038	0	0	21.7384
Kvon2014_chrX_4092742_4094855	on	1716.8	6.33	0	0	0	0	0	3.52	0	0	246	0	0	0	0	0	0.653742154	0.904920006	3.152345594	0	0	0
Kvon2014_chr3L_19749804_19751961	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681626825	0.681626825	0	0	0
Kvon2014_chr3L_12703027_12705439	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681444168	0.681444168	0	0	0
Kvon2014_chr3L_21583006_21585101	off	0	0	0	0	0	0	0	0	0.540972594	0	0	0	0	0	0	0	0	0.7586282	0.7586282	0	1	0
Kvon2014_chrX_10539566_10541653	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680841923	0.680841923	0	0	0
Kvon2014_chr2R_20250936_20253013	off	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0.63362354	0.63362354	0	0	0
Kvon2014_chr2L_17430074_17431940	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680678082	0.680678082	0	0	0
Kvon2014_chrX_15320542_15322607	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676263304	0.676263304	0	0	0
Kvon2014_chr2L_21817355_21819442	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676145273	0.676145273	0	0	0
Kvon2014_chr2R_4235858_4237960	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.672241908	0.672241908	0	0	0
Kvon2014_chr2R_7107043_7108679	off	0	0	0	0	-0.5075	0	-0.5075	0	0	0	0	0	0	0	0	0	0	1.198532834	2.201828285	0	1	0
Kvon2014_chr3L_2743211_2745312	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.669197909	0.669197909	0	0	0
Kvon2014_chr2R_20408643_20411386	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.668158902	0.668158902	0	0	0
Kvon2014_chrX_4502389_4504514	off	0	0	0	0	0	0	0	0	9.213248578	0	0	0	0	0	0	0	0	0.675949153	1.5295049	0	0	0
Kvon2014_chr2L_16036821_16039010	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667352845	0.667352845	0	0	0
Kvon2014_chr3L_1055048_1057222	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666801103	0.666801103	0	0	0
Kvon2014_chrX_17895227_17897422	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66457208	0.66457208	0	0	0
Kvon2014_chrX_17896557_17898642	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66457208	0.66457208	0	0	0
Kvon2014_chrX_7537785_7539997	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663162738	0.663162738	0	0	0
Kvon2014_chrX_7536052_7538146	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663162738	0.663162738	0	0	0
Kvon2014_chr3L_3991471_3993632	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663132966	0.663132966	0	0	0
Kvon2014_chr3L_3992921_3995254	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663132966	0.663132966	0	0	0
Kvon2014_chr3L_12706738_12708876	off	0	0	0	0	0	0	0	0	0.548663438	0	0	0	0	0	0	0	0	0.522771657	0.522771657	0	0	0
Kvon2014_chr2R_1634774_1636868	off	0	0	0	-0.415	0	0	0	0	0	0	0	0	0	0	0	0	0	1.054849829	1.054849829	0	0	0
Kvon2014_chr3L_5332855_5335042	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.656753877	0.656753877	0	0	0
Kvon2014_chr3R_24393295_24395385	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519349861	0.876857118	0	0	40.3781
Kvon2014_chr3L_12298671_12300767	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.655170946	0.655170946	0	0	13.4834
Kvon2014_chr3L_12296837_12299022	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.655170946	0.655170946	0	0	0
Kvon2014_chr2R_16994231_16996353	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.654293341	0.654293341	0	0	0
Kvon2014_chr3L_1502563_1502875	off	0	4.25	0	0	-0.1875	0	-0.1875	0	0	649	0	0	0	0	0	0	0	1.208153753	2.837136437	0	1	0
Kvon2014_chr3L_1502788_1503286	off	0	4.25	0	0	-0.1875	0	-0.1875	0	0	649	0	0	0	0	0	0	0	1.208153753	2.837136437	0	1	0
Kvon2014_chr2R_18824780_18826055	off	0	4.17	0	0	-1.0355	0	-1.0355	1.83	4.161150909	636	0	0	0	0	0	0.8315086365	0	0.748195076	2.810412192	0	0	0
Kvon2014_chr3R_27432407_27434519	off	412.5	3.15	0	1.553	2.246	0	2.246	0.5	3.61530003	784	332	0	0	1.7106795311	1.3083443642	0	0	3.726030179	5.537581273	162.37	0	0
Kvon2014_chr2R_11088641_11089079	off	0	0	0	0	0	0	0	0	1.514094109	521	0	0	0	0	0	0	0	0.78878177	1.215043227	0	1	0
Kvon2014_chr3L_12567506_12569674	off	0	0	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597657681	0.597657681	0	0	38.2255
Kvon2014_chr3L_12573801_12575904	off	0	4.79	0	-0.526	-0.7595	0	-0.7595	0	0	0	0	0	0	0	0	0.7833404541	0.627437486	0.659421206	2.966568365	0	0	0
Kvon2014_chr3L_17815416_17815878	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646050135	0.646050135	0	0	0
Kvon2014_chr3R_19328837_19330963	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644815333	0.644815333	0	0	6.16306
Kvon2014_chr3L_10421897_10422888	off	0	0	0	-0.451	0	0	0	0	0	0	0	0	0	0	0	0	0	1.086829344	1.086829344	0	0	0
Kvon2014_chr2L_21857794_21859931	off	61.8	0	0	-0.565	0	0	0	0	0.443273063	0	0	0	0	0	0	0	0	0.63808924	2.641492934	0	1	16.3583
Kvon2014_chr2L_17716879_17719153	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637531	0.637531	0	0	0
Kvon2014_chrX_1546279_1548584	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634683662	0.634683662	0	0	0
Kvon2014_chr3R_18856981_18859085	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634289012	0.634289012	0	0	0
Kvon2014_chr3R_18855553_18857748	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634289012	0.634289012	0	0	4.62124
Kvon2014_chr2R_20252513_20254749	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63362354	0.63362354	0	0	15.7585
Kvon2014_chr3R_24415697_24417847	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633590937	0.633590937	0	0	19.5182
Kvon2014_chr3L_11219599_11222390	off	0	0	0	0	-0.8105	0	-0.8105	0	0	0	0	0	0	0	0	0	0	2.481211971	2.481211971	0	1	0
Kvon2014_chr2R_14968934_14971116	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631747356	0.631747356	0	0	0
Kvon2014_chr2R_14970844_14972951	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631747356	0.631747356	0	0	0
