name	status	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr3R_6418595_6420751	on	156.7	4.03	0	0.166	0.3465	0	0.3465	6	5.698970004	0	370	0	1.6264634132	1.567864418	0.8182115555	0	0.642930269	4.227974475	7.187065482	0	0Kvon2014_chr3R_17959570_17961726	on	284.3	11.47	3.24	0.511	0.69	0.848	0.69	6	6	248	251	1.5984025001	1.7844142914	1.7166600227	3.3386545182	1.0510287285	0.624578381	4.499727446	7.884825416	132.37	1Kvon2014_chr3R_17201451_17203140	on	127	5.66	0	0	0	0	0	0	3.514278574	397	252	0	1.6322646141	0	1.52542305	2.927873373	0	3.555805638	6.117614785	173.085	0Kvon2014_chrX_4833051_4835256	on	256.3	5.95	0	0	0	0	0	6	5.698970004	606	237	0	2.0248885155	2.2798023224	2.2501926422	2.9377851486	2.318097002	2.000994065	7.022676493	158.055	1Kvon2014_chrX_14636760_14638874	on	520.6	0	0	0	0	0	0	6	5.698970004	0	197	0	0	0	1.1539998055	0	0	2.825203955	3.981708288	0	0Kvon2014_chr2R_18295742_18296194	on	168.8	5.36	0	0.505	0	0	0	6	6	0	0	0	0	0	0	2.7837452889	0	3.648889363	5.519341683	0	1Kvon2014_chr2L_17381424_17383547	on	574.9	9.89	2.85	0	0	0	0	6	6	463	394	0	0	0	0.9921841621	2.4266629219	0.870572847	2.612665485	5.578614711	261.13	1Kvon2014_chr3L_5972676_5974783	on	76.1	4.05	0	0.549	0.7115	0	0.7115	9.99	4.148741651	0	293	0	1.8225073814	0	2.1056761742	0	0.611555308	2.836606307	5.994272918	0	0Kvon2014_chr2L_21843469_21845803	on	139	9.84	0	0	0	0	0	5.52	6	0	0	0	0	0	0	0.7973842621	0	4.480613393	6.787463967	0	0Kvon2014_chr3R_18352267_18354359	on	699.1	4.98	0	0	0	0	0	6	1.601070927	646	376	0	0	0	0	2.3338050842	0.698196856	3.549703717	5.977888939	107.225	1Kvon2014_chr2R_18937404_18939496	on	176.2	8.54	0	0	1.1515	0	1.1515	6	8.485186705	0	0	0	2.1424751282	0	2.4002923966	2.1560268402	0	3.157357552	5.599057832	147.735	1Kvon2014_chr3L_542461_544728	on	271.8	6.68	0	0	0.2425	0	0.2425	1.28	2.668370282	389	193	0	2.295996666	2.2624211311	0.8517799377	1.0013260841	0	0.893481509	3.339825593	143.66	1Kvon2014_chr3L_18831969_18834169	on	232.8	9.48	0	0	0	0	0	0	4.886056648	574	301	0	0	0	0	1.1425580978	0	2.13001959	3.762281567	0	1Kvon2014_chrX_8667997_8670179	on	250.6	6.65	0	-0.1	1.1875	0	1.1875	5.78	2.031517051	0	195	1.4842994213	0	0	2.7952136994	0.9778785706	0	1.461765003	2.993327914	0	0Kvon2014_chr3R_15160880_15162972	on	354.1	0	0	0	0	0	0	1.1	2.115487841	0	321	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	0.617332882	3.91847585	5.638190406	138.745	0Kvon2014_chr2R_9505005_9507128	on	238	15.03	0	0.161	0.0415	0	0.0415	6	0	0	431	0	1.9245052338	0	0	0	0	3.795399674	6.46434842	172.76	1Kvon2014_chr2L_17753976_17756084	on	101.3	9.66	0	0	-0.2705	0	-0.2705	6	6	0	0	0	0	0	0	0	0	2.284265686	3.977492332	0	0Kvon2014_chr3R_26594672_26596745	on	233.4	3.73	0	-0.675	0	0	0	5.7	6	0	0	0	0	0	0	0	0	3.875188828	4.619788134	0	0Kvon2014_chr3L_21338946_21341219	on	451.9	8.21	0	0	0	0	0	6	5.522878745	430	308	2.0483384132	2.01649189	1.7529411316	2.620320797	2.8087568283	0.745611012	2.204967916	5.558293045	0	2Kvon2014_chr2L_2752765_2754884	on	264.9	18.41	3.49	-0.424	1.0665	0	1.0665	7.79	5.522878745	466	391	1.9524536132	1.8757286072	0	2.97174263	3.6002893448	0	3.14846664	5.752418507	0	1Kvon2014_chr3R_19167877_19170074	on	747.1	13.31	4.18	0	1.2015	0	1.2015	6	6	0	254	0	0	0	2.112958908	2.4174757004	1.045435401	5.571828337	8.751655747	0	1Kvon2014_chr3R_17980445_17982647	on	264.9	0	0	0	-0.1315	0	-0.1315	3.6	0	0	363	0	0	0	0	0	0	4.686258048	6.280382991	0	1Kvon2014_chr2L_10388040_10390080	on	77.8	0	0	0	0	0	0	1.86	2.631341288	438	0	0	1.6358880997	0	0	0	0	1.739431745	3.265729651	146.41	1Kvon2014_chr2L_3816924_3819029	on	336.4	4.29	0	0.06	1.72	0	1.72	6	5.397940009	0	0	0	0	0	2.7309713363	3.077432394	0.697087596	4.678409583	8.856977104	0	1Kvon2014_chrX_19742852_19745084	on	145.3	12.32	0	0.275	-0.4715	0	-0.4715	0.81	8.806875402	392	182	0	0	0	0	2.5069556236	0	1.169829845	3.830440589	0	1Kvon2014_chr2R_18935617_18937915	on	176.2	8.54	0	0	1.1515	0	1.1515	6.73	6	0	0	0	2.1424751282	0	2.4002923966	2.1560268402	0	3.157357552	5.599057832	147.735	2Kvon2014_chrX_8567054_8569198	on	69.8	2.97	0	0	0	0	0	0	2.261377972	0	268	0	0	0	0	0	0	1.20551607	3.614254776	0	0Kvon2014_chr2R_7419436_7421535	on	76.7	5.99	0	0.855	0.2425	0.723	0.2425	6	5.698970004	0	0	0	0	0	0	4.8453660011	1.004246487	2.140117842	4.202731105	0	0Kvon2014_chr3R_12783420_12785609	on	101.3	9.44	0	0	0.0805	0	0.0805	0	0	0	492	0	0	0	0	0	0	3.880474006	6.606224144	140.115	0Kvon2014_chr2R_13783038_13785137	on	69.2	0	0	0	0	0	0	11.4	6	0	0	0	0	0	0.6473312378	0	0.752679507	2.415951788	3.715189262	0	0Kvon2014_chr2R_16474936_16477141	on	105.8	5.1	0	0	0.6955	0	0.6955	0	0	597	0	0	1.5264592171	0	0.7313308716	0.8041715622	0	0.745862961	3.702630818	93.2	0Kvon2014_chr2R_5821284_5823462	on	167.6	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	0.566899805	4.797726337	6.059420629	0	0Kvon2014_chr2L_8848475_8850634	on	206.5	7.75	0	0	0	0	0	6	5.522878745	0	0	0	3.5525808334	0	0	0.9442882538	2.979074029	5.104238398	9.391654705	0	1Kvon2014_chrX_3673654_3676071	on	111	15.01	0	-1.391	1.3025	0	1.3025	0	4.638272164	374	345	0	0	0	2.680560112	2.237200737	0	2.229477995	5.040397083	163.435	1Kvon2014_chr2R_3936099_3938380	on	66.9	3.62	0	0.159	0.5045	1.206	0.5045	5.36	5.397940009	0	349	2.4847192764	0	0	1.0535178185	0	0	1.932281998	3.816947712	0	0Kvon2014_chr2R_4540373_4542622	on	479.4	18.97	0	0.06	0	0	0	7.47	10.124938736	668	316	1.721968174	2.4075622559	2.2045168877	4.0203824043	0	1.438777719	2.651995786	6.886185432	0	0Kvon2014_chr3R_10546093_10548201	on	222	5.64	0	-0.355	0	0	0	0	4.823908741	0	381	0	0	0	0	0	0	3.358831346	5.999472194	0	2Kvon2014_chr2L_8843345_8845442	on	177.3	16.44	0	0.822	0	0	0	5.52	4.013228266	0	0	0	3.5525808334	0	4.6953802109	0	1.625494427	5.059636699	9.756277614	131.67	1Kvon2014_chr2R_10060721_10062851	on	225.4	5.47	0	-0.605	-1.1125	0	-1.1125	4.77	0	568	263	0	1.9576129913	0	0	3.1530160904	0	1.819395661	4.265621781	0	0Kvon2014_chr3R_4513181_4515317	on	95.5	3.68	0	0.825	-0.588	0.432	-0.588	3.74	11.15490196	0	0	1.8546051979	0	2.0842990875	2.5362825394	2.0258703232	0	3.623288811	4.584650107	0	1Kvon2014_chr2R_16131749_16132929	on	468.5	3.89	0	0	0	0.716	0	0	0	645	259	0.7613096237	0	0	0	0	0.602301373	0.83984504	2.731477968	0	1Kvon2014_chr3L_12669013_12671112	on	294.6	7.64	0	1.458	-0.5355	0.454	-0.5355	6	6	0	0	1.147799015	1.5230507851	2.4561200142	0	1.1766774654	0.681121707	6.862400512	8.528079259	0	0Kvon2014_chr2L_2180633_2182789	on	242.6	6.47	4.33	0.732	-0.821	0	-0.821	6	10.795880017	0	0	0	0	1.9260697365	0.9164452553	0	0.733337969	2.667411208	5.506885678	0	0Kvon2014_chr3R_6427346_6429468	on	77.2	3.7	0	0	0.5985	0	0.5985	6	6	725	673	1.503297329	0	0	2.3087453842	0	0.568200384	5.54065451	8.425015632	213.715	0Kvon2014_chr3R_10542399_10544607	on	166.5	12.03	0	0	0	0	0	6	6	687	396	0	1.8997616768	0	0	0	0.538151489	6.209414363	9.3882067	0	2Kvon2014_chr3L_16036410_16038639	on	910.8	0	0	0	0	0	0	11.3	3.785156152	514	384	0	1.9797444344	1.8157110214	5.2259187698	0.9850406647	0	1.692422152	4.246388282	0	0Kvon2014_chr2L_16349327_16351503	on	63.5	8.54	0	0	2.2195	0	2.2195	1.28	1.964450197	580	250	0	0	0	3.9269237519	0	0	2.177245528	4.304120508	0	0Kvon2014_chrX_19783001_19785201	on	246	0	0	-1.29	-0.6815	0	-0.6815	10.29	6.440894507	0	247	0	0	0	0	0.9832549095	0	2.197661195	3.607725892	0	0Kvon2014_chr4_1013286_1015477	on	258	0	0	0	0	0	0	0	0	0	219	0	0	0	0.5826778412	0	0	0	1.277868363	81.99	0Kvon2014_chr2R_20288714_20290291	on	67.5	4.12	0	-0.238	0.913	0	0.913	0	0	729	0	0	0	0	2.491522789	0	0	0.983228207	2.941279889	0	0Kvon2014_chrX_19636808_19638944	on	197.9	0	0	0	0	0	0	0	0	607	0	0	0	0	0	1.224003315	0	0.583955884	1.739538252	0	1Kvon2014_chr3R_21852100_21854692	on	148.7	6.21	2.94	0.722	0	0	0	6	5.397940009	0	309	0	0	2.0954093933	2.0383663177	1.7648811341	3.516441316	4.502712138	11.228452691	209.86	2Kvon2014_chr2R_7086913_7089020	on	536	14.13	6.96	0	0	0	0	6	6	527	296	2.8835783005	2.4127883911	3.1021499634	2.8913526535	4.0077171326	0.999844909	2.751159102	6.738625374	235.785	1Kvon2014_chr2R_9465978_9468385	on	66.9	0	0	0.356	-1.0985	1.139	-1.0985	6	4.958607315	0	0	2.1045193672	0	0	0	0	0	0.69652462	1.476969808	98.645	0Kvon2014_chr2R_16485203_16487344	on	358.7	12.6	0	1.132	0.0425	1.717	0.0425	0.36	7.422289959	622	254	3.3122763634	0	0	0.8782548904	1.5548920631	0	3.106847819	5.548667636	131.28	1Kvon2014_chr2R_4537049_4539309	on	879.8	6.36	0	-1.882	0	0	0	3.64	5.522878745	377	683	0	0	0	0	3.5422234535	0	1.971040785	4.766452712	191.82	0Kvon2014_chr2R_16483505_16485613	on	166.5	0	0	0.608	0	1.717	0	0.58	0	0	254	3.3122763634	0	0	0.8782548904	0	0	3.106847819	5.548667636	131.28	1Kvon2014_chr3R_6422000_6424236	on	923.9	29.16	0	0.646	-0.1915	-0.69	-0.1915	6	4.657577319	725	356	0	3.1060128212	1.7273874283	0	0	0	5.54065451	7.856815248	242.045	0Kvon2014_chr3R_21471304_21473433	on	1160.8	8.96	0	0	1.892	0	1.892	5.52	1.488343868	649	435	1.0539188385	1.7782936096	0	5.4619441032	2.6543684006	0	1.85569547	3.577824955	330.385	0Kvon2014_chr2R_7422999_7425114	on	74.9	4.57	0	0.549	0	0	0	11.4	0	0	0	0	0	0	0	7.6031599045	0	1.734149625	2.17522265	0	0Kvon2014_chr3R_15159101_15161276	on	354.1	0	0	0	0	0	0	1.1	2.115487841	518	679	0	3.3222904205	2.0480952263	2.2076134682	2.0409135819	1.23339476	8.370931043	12.35683279	138.745	0Kvon2014_chr3L_20691955_20694178	on	161.9	0	0	0	0	0	0	6	6	0	0	4.0731048583	0	2.2336821556	8.0429306031	0	2.682889862	2.709759095	7.5082229	298.14	0Kvon2014_chr3R_21457870_21460045	on	1146.5	9.9	4.62	1.479	1.7905	1.123	1.7905	6	3.694648631	721	334	3.4624123573	1.7893042564	2.6402568817	4.1356086731	2.396306038	1.994579587	4.259768874	8.241568664	0	0Kvon2014_chrX_476757_478944	on	308.3	7.98	3.79	1.247	1.46	1.18	1.46	6	0.63344444	0	0	2.0105030537	1.7905106544	2.4302349091	2.8563499451	1.0048112869	4.478419125	4.898140069	12.484103497	264.005	0Kvon2014_chr3R_15166068_15168266	on	1141.3	11.63	5.76	0.052	1.2215	0.437	1.2215	6	11.698970004	506	256	0.8041667938	2.0665414333	3.5779008865	2.6398582459	3.3531565666	4.157012582	5.722687483	11.772462905	200.595	0Kvon2014_chr3R_21008302_21010513	on	1194.4	13.25	3.27	1.757	0.923	1.267	0.923	6	12	755	392	2.8358654976	2.0051651001	2.9403276443	2.4518003464	4.2983083725	0.642211654	4.517587662	8.324292241	0	1Kvon2014_chr2L_14440355_14442469	on	94.4	35.99	8.79	0	0	0	0	6	5.195102067	0	0	0	3.9734358788	3.1967859268	1.3427553177	4.3859033584	0	6.641803056	8.674594551	115.48	1Kvon2014_chr3R_24412727_24414867	on	390.2	37.78	7.7	1.121	0	0	0	0	2.863279433	0	281	0	3.2108402252	2.219979763	0	6.2340714932	1.000677019	6.619741675	10.405569341	122.4	0Kvon2014_chr3R_21456236_21458310	on	437.6	15.72	4.62	2.925	1.7905	1.739	1.7905	5	5.522878745	721	334	3.4624123573	1.7893042564	2.6402568817	4.1356086731	2.396306038	1.256815658	4.259768874	7.503804735	0	0Kvon2014_chr3L_20396551_20398733	on	486.9	28.41	0	0	0	0	0	12	6	652	201	3.7598619461	4.8864202499	4.5192923545	7.9996857642	2.8766145706	3.908576573	3.666163557	10.797393154	0	1Kvon2014_chr2L_16534721_16536858	off	133.9	0	0	0	-0.322	0	-0.322	0	0	0	272	0	0	0	0	0	0	0	1.780230971	0	0	14.4312
Kvon2014_chr3R_12530048_12532179	off	77.2	0	0	-0.62	0.5595	0	0.5595	0	1.685311349	0	352	0	0	0	0	0	0	1.522344728	4.657921958	84.005	2	90.84
Kvon2014_chrX_264765_267084	off	161.3	0	0	0	0.3185	0	0.3185	0	0	0	279	0	0	0	0	4.5308761597	0	3.695725947	5.609172403	0	1	0
Kvon2014_chr2R_13637620_13637835	off	345.5	5.32	0	-0.533	0	0	0	0	0	0	343	0	0	0	0	0	0	0.773516297	1.44799264	0	1	0
Kvon2014_chrX_15709829_15711964	off	233.4	0	0	0	0	0	0	0.51	0	0	246	0	0	0	0	0	0	1.013971965	2.24800857	0	0	0
Kvon2014_chr3R_3710301_3712432	off	68.6	3.35	0	0	0	0	0	0	3.730487056	0	0	0	0	0	0	0	0	2.998928632	4.357264191	0	0	56.3514
Kvon2014_chr2R_7045773_7047900	off	100.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.678887523	4.678887523	142.14	0	0
Kvon2014_chr2R_11020406_11022585	off	542.3	16.71	0	0	0.5955	0	0.5955	6	0	510	352	0	1.5058526993	0	2.5154762268	1.0948371887	2.689835436	2.424588372	8.764561634	190.895	0	0
Kvon2014_chr3R_24400284_24402338	off	137.3	2.95	0	0.25	0	1.047	0	6	4.054148818	0	0	2.194820404	0	0	0	0	0	3.808619912	4.914538987	0	0	177.072
Kvon2014_chrX_3668551_3670689	off	130.5	15.01	0	0	1.5085	0	1.5085	0	2.647046088	553	345	0	1.9520053864	0	3.7583675384	1.2397432327	0	2.846471422	5.65739051	198.623571	1	80.0754
