enhancer	status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr3R_23713551_23715715	4_8	-524.466330692	-4.16505663273	-1.10617491287	-2.2153509263	-4.21562488626	-1.95991240005	-0.167	-11421.0120212	2519.19	-1065.24274196	2.21	-1.79799670398	-141.115644538	-95.7792146423	-0.524223928944	-0.640003572675	-0.957192460668	-0.611580116824	-0.918897276291	-0.914473556345	-0.563491230509	-1.72116961173	1578.45	-53.5767009575	1202.77	-642.758234924	2856.75	-662.424060145	-0.330351147295	-0.302426569961	-61.3608983202	1308.19	1907.72113113	2432.56113347	6978.74473925	920.473519196	7910.06305495	4362.50728844	1000.85644581	1309.89586168	6751.13282823
Kvon2014_chrX_18659198_18661429	4_8	-524.466330692	-4.16505663273	-1.10617491287	-2.2153509263	-4.21562488626	-1.95991240005	-2.83984494258	-11421.0120212	1067.63	-1065.24274196	4.92	-1.79799670398	-141.115644538	-95.7792146423	-0.524223928944	-0.640003572675	-0.957192460668	-0.611580116824	-0.918897276291	-0.914473556345	-0.563491230509	2.2585277557	-802.84336234	-53.5767009575	-701.949531003	1690.1	-1090.98983568	1682.8	-0.330351147295	-0.302426569961	-61.3608983202	-790.255910605	1671.11676842	2120.9624058	4872.28667182	1503.43862084	7453.70106762	7567.96856251	1391.95559423	1418.08376862	4691.30378876
Kvon2014_chr3R_5463853_5466046	4_8	-524.466330692	-4.16505663273	-1.10617491287	-2.2153509263	-1.0695	-1.95991240005	-2.83984494258	-11421.0120212	1228.63	-1065.24274196	-1.99036766009	-1.79799670398	429.0	-95.7792146423	-0.524223928944	-0.640003572675	0.7840566635	-0.611580116824	-0.918897276291	-0.914473556345	-0.563491230509	0.6202197075	-802.84336234	-53.5767009575	-701.949531003	-642.758234924	-1090.98983568	-662.424060145	-0.330351147295	-0.302426569961	-61.3608983202	-790.255910605	605.197870479	2527.9512411	6969.15296848	292.648854347	8129.30600903	7975.82249426	282.1837566	450.214888281	6898.76404613
Kvon2014_chr2R_6580576_6582668	4_8	-524.466330692	-4.16505663273	-1.10617491287	-0.764	-4.21562488626	-1.95991240005	-2.83984494258	-11421.0120212	1129.55	-1065.24274196	-1.99036766009	-1.79799670398	-141.115644538	-95.7792146423	-0.524223928944	-0.640003572675	-0.957192460668	-0.611580116824	-0.918897276291	-0.914473556345	-0.563491230509	-1.72116961173	1190.25	-53.5767009575	-701.949531003	-642.758234924	-1090.98983568	-662.424060145	-0.330351147295	-0.302426569961	-61.3608983202	-790.255910605	949.383151452	2270.29144469	6607.84710689	17.0236641066	7804.9522408	8295.12414725	2.3865404313	73.1835564054	7233.65083318
Kvon2014_chr3L_22400107_22401038	4_8	716.2	-4.16505663273	3.19	-2.2153509263	-4.21562488626	-1.95991240005	-2.83984494258	1233.12	1265.79	-1065.24274196	-1.99036766009	-1.79799670398	573.0	-95.7792146423	-0.524223928944	1.8419342041	3.3315734863	-0.611580116824	-0.918897276291	2.187895298	0.5345621109	1.3591060638	-802.84336234	233.73	-701.949531003	-642.758234924	-1090.98983568	-662.424060145	-0.330351147295	1.0	38.2587	-790.255910605	2147.32584709	2616.5884591	6866.88790708	729.807415924	7865.78259139	7744.02859546	1656.49009369	1519.07027366	5334.85688928
Kvon2014_chr3L_8672251_8674468	4_8	-524.466330692	-4.16505663273	-1.10617491287	-2.2153509263	-4.21562488626	-1.95991240005	-2.83984494258	3946.61	-10829.9194804	-1065.24274196	2.52	-1.79799670398	-141.115644538	-95.7792146423	-0.524223928944	-0.640003572675	-0.957192460668	-0.611580116824	-0.918897276291	-0.914473556345	-0.563491230509	0.6791160107	3721.02	-53.5767009575	-701.949531003	-642.758234924	-1090.98983568	-662.424060145	-0.330351147295	-0.302426569961	-61.3608983202	-790.255910605	573.236402534	2438.15038708	6368.01697935	322.179889731	7874.20953593	7903.06218205	582.808909349	547.174730155	6390.85670278
Kvon2014_chr3L_8656203_8658330	4_8	676.8	18.43	14.59	0.97	3.377	-1.95991240005	3.085	2367.34	-10829.9194804	1284.31	6.0	3.438898616	-141.115644538	-95.7792146423	-0.524223928944	3.1282205582	2.4221596718	3.2048916817	6.4459457397	3.9445223808	-0.563491230509	3.9372649193	-802.84336234	107.295	-701.949531003	-642.758234924	1220.46	-662.424060145	1.0	-0.302426569961	-61.3608983202	1457.7	2054.22065131	3094.16946309	6566.23641502	1190.19917186	7874.20953593	8276.56233807	1522.7860204	1215.91024774	6390.85670278
Kvon2014_chr2L_12079283_12081369	4_8	3469.6	26.11	8.41	1.351	1.1125	1.986	3.397	1183.67	-10829.9194804	-1065.24274196	12.0	10.638272164	-141.115644538	202.0	4.7432594299	3.7508411407	3.1831431389	2.9154040813	2.4516644478	5.0786762237	2.2710614204	4.1775231361	-802.84336234	-53.5767009575	1440.7	1482.69	1350.41	2685.08	-0.330351147295	2.0	259.8697	1657.04	2004.25556982	2535.08384269	6083.07684255	1007.44917142	6880.37520242	7033.7017654	1187.01689598	665.578709594	6101.12390102
Kvon2014_chr3R_21019469_21021322	4_8	1602.9	21.52	5.32	-2.2153509263	-4.21562488626	-1.95991240005	0.293	-11421.0120212	1191.48	-1065.24274196	4.68	5.0	-141.115644538	-95.7792146423	2.5189933777	3.0720643997	1.8918676376	2.896648407	3.651881218	3.87114048	0.8975543976	3.462726593	-802.84336234	216.75057	-701.949531003	2452.96	-1090.98983568	-662.424060145	-0.330351147295	1.0	64.9375	1283.27	1322.19055019	1637.37157593	6729.84083674	339.917384613	8015.93243918	8092.76542546	718.009514382	1079.13691075	6494.87068499
Kvon2014_chr2R_6717179_6719310	4_8	-524.466330692	-4.16505663273	-1.10617491287	-2.2153509263	-4.21562488626	-1.95991240005	-2.83984494258	-11421.0120212	2271.49	1321.7	5.7	-1.79799670398	-141.115644538	-95.7792146423	-0.524223928944	-0.640003572675	-0.957192460668	-0.611580116824	-0.918897276291	-0.914473556345	-0.563491230509	1.7432370185	-802.84336234	-53.5767009575	-701.949531003	-642.758234924	-1090.98983568	-662.424060145	-0.330351147295	-0.302426569961	-61.3608983202	-790.255910605	3374.85370722	3801.84405299	6978.91017588	1750.13908229	8328.63918107	8273.98264224	1950.98156085	2618.33888796	7070.00074256
